School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Dover-Sherborn - Dover-Sherborn Regional High,6550505,167,625,629,347,16.4,672,50.5,49.4,3.3,0.9,13.8,6550000,2.8,7.9,4.3,80.2,0.3,0,4.5,Dover-Sherborn,"          $24,760,650.66",1181.2,"              $20,962.28","          $26,008,146.66",1214.6,"              $21,412.93",2019
Dracut - Dracut Senior High,790505,197,545,559,395,19.3,889,48.5,51.3,19.2,2.5,11,790000,9.2,8,7.1,72.4,0.9,0,2.4,Dracut,"          $42,836,651.22",3661.9,"              $11,697.93","          $49,943,922.40",4055.8,"              $12,314.20",2019
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,260,556,564,436,18,1046,51.7,48.2,19.4,0.6,10.1,6580000,2,1.6,8.6,85.1,0.2,0.1,2.4,Dudley-Charlton Reg,"          $48,861,493.91",3817.9,"              $12,798.00","          $52,601,781.70",3917.4,"              $13,427.73",2019
Duxbury - Duxbury High,820505,351,585,573,514,16.9,988,48.7,51.3,5.8,0.2,12.8,820000,0.3,1.6,2.2,92.8,0.1,0,2.9,Duxbury,"          $47,803,494.96",2999.9,"              $15,935.03","          $50,336,078.96",3047.4,"              $16,517.71",2019
East Bridgewater - East Bridgewater JR./SR. High School,830505,159,539,517,478,21.5,1020,47.7,52.4,18.9,0.8,17.2,830000,3,0.6,1.9,91.9,0.4,0.1,2.2,East Bridgewater,"          $27,911,962.00",2251.7,"              $12,395.95","          $30,599,305.00",2333.2,"              $13,114.74",2019
East Longmeadow - East Longmeadow High,870505,212,559,564,334,17.9,833,46.9,52.9,18.9,0.8,16.5,870000,3,6.1,7.6,81.9,0.2,0.1,1.1,East Longmeadow,"          $39,964,265.31",2637.8,"              $15,150.60","          $43,866,375.31",2727.8,"              $16,081.23",2019
Easthampton - Easthampton High,860505,89,536,514,197,15.6,454,51.5,48,29.1,1.3,16.3,860000,2,3.7,12.6,78.6,0,0.2,2.9,Easthampton,"          $21,330,631.78",1566.1,"              $13,620.22","          $27,047,635.99",1899.5,"              $14,239.35",2019
Easton - Oliver Ames High,880505,348,572,572,530,18,1123,50.3,49.7,14.1,1,18.2,880000,7.5,3.4,5,80.4,0.3,0.1,3.4,Easton,"          $49,710,810.10",3621.5,"              $13,726.58","          $54,556,305.09",3723.6,"              $14,651.49",2019
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),4520505,148,440,441,197,17.8,374,65.8,34.2,66.8,11.5,19.8,4520000,38.5,0.8,57.2,2.1,0.3,0,1.1,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),"           $8,821,381.00",381.2,"              $23,141.80","           $8,821,381.00",381.2,"              $23,141.80",2019
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,8170505,363,526,501,952,17.2,1486,58,41.9,17.3,0.3,16.1,8170000,1.2,1.4,13.1,79.7,0.3,0.1,4.1,Essex North Shore Agricultural and Technical School District,"          $27,300,446.72",1397.4,"              $19,536.60","          $27,723,999.72",1404.2,"              $19,743.63",2019
Everett - Everett High,930505,418,494,492,1056,18.4,2039,48.3,51.7,51,22.5,9.9,930000,19.5,5,53.4,20.1,0.4,0.2,1.5,Everett,"          $98,837,678.00",7144.5,"              $13,834.09","         $117,989,739.00",8031.4,"              $14,691.05",2019
Excel Academy Charter (District) - Excel Academy Charter School,4100205,170,500,528,468,23.6,1354,50.2,49.8,48.7,8.8,20.4,4100000,5.8,1,79.8,11.7,0.6,0.4,0.6,Excel Academy Charter (District),"          $22,903,282.25",1295.4,"              $17,680.06","          $22,903,282.25",1295.4,"              $17,680.06",2019
Fairhaven - Fairhaven High,940505,143,553,572,351,16.2,709,53.5,46.5,24.5,1.4,14.7,940000,2,2.4,5.8,87.3,0.6,0,2,Fairhaven,"          $25,331,875.33",2030.9,"              $12,473.23","          $27,574,133.41",2089.7,"              $13,195.26",2019
Fall River - B M C Durfee High,950505,474,470,462,854,17.7,2191,50.2,49.8,64.4,17.3,15.4,950000,9.1,5.3,27.7,52.7,0.2,0.1,5,Fall River,"         $154,122,982.00",10234.6,"              $15,059.01","         $186,558,142.00",12256.2,"              $15,221.53",2019
Falmouth - Falmouth High,960505,232,567,555,724,13.4,832,50.1,49.3,24.4,2.8,11.1,960000,5.1,2.2,5.1,81.5,0.8,0,5.4,Falmouth,"          $61,882,873.36",3342.4,"              $18,514.50","          $66,955,651.36",3548.7,"              $18,867.66",2019
Fitchburg - Fitchburg High,970505,320,480,475,571,17,1247,46.7,53.3,57.1,11.2,16.8,970000,7.9,5.5,50.1,28.6,0,0,7.9,Fitchburg,"          $75,118,416.97",5292.8,"              $14,192.57","          $90,664,939.21",6029.3,"              $15,037.39",2019
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,34,598,562,202,15,180,53.9,45.6,24.4,0,13.9,4130000,0.6,1.1,7.8,83.9,0.6,0,6.1,Four Rivers Charter Public (District),"           $3,927,012.59",218.6,"              $17,967.66","           $3,927,012.59",218.6,"              $17,967.66",2019
Foxborough - Foxborough High,990505,262,559,568,532,13.7,800,49.5,50.5,17.1,0.6,16.9,990000,7,2.9,6,81.8,0.5,0,1.9,Foxborough,"          $44,593,266.89",2571.2,"              $17,343.37","          $49,445,943.10",2716.1,"              $18,204.76",2019
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,94,549,518,670,21.1,1660,52.1,48,26.6,7.5,10,4460000,49.4,10.1,5.4,29.4,0.3,0.2,5.2,Foxborough Regional Charter (District),"          $21,689,547.59",1619.3,"              $13,394.65","          $21,689,547.59",1619.3,"              $13,394.65",2019
Framingham - Framingham High School,1000515,537,547,574,1058,17.5,2366,49.7,50.3,35.9,17.6,16.2,1000000,6.9,5,30.6,53.6,0.1,0.1,3.6,Framingham,"         $162,795,056.00",8852.8,"              $18,389.10","         $187,711,485.60",9602.7,"              $19,547.78",2019
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,60,615,567,240,17.8,396,52.8,46.5,7.8,0,15.4,4780000,1,2,3,87.9,0.3,0,5.8,Francis W. Parker Charter Essential (District),"           $5,986,426.60",394.6,"              $15,170.10","           $5,986,426.60",394.6,"              $15,170.10",2019
Franklin - Franklin High,1010505,597,574,571,912,16.9,1749,50,49.9,7.7,0.5,14.2,1010000,1.4,6.5,3.3,85.9,0.2,0.3,2.3,Franklin,"          $74,748,010.83",5235.9,"              $14,276.06","          $87,057,405.39",5677.4,"              $15,334.03",2019
Freetown-Lakeville - Apponequet Regional High,6650505,200,557,567,350,15.4,717,49.8,50.2,14,0,14.4,6650000,1.1,1.1,2.5,93.9,0,0.3,1.1,Freetown-Lakeville,"          $36,927,571.06",2799.9,"              $13,188.89","          $40,843,234.72",2923.3,"              $13,971.62",2019
Frontier - Frontier Regional,6700505,93,558,566,544,12.6,647,46.2,53.8,19.2,1.1,17.6,6700000,2.5,2.9,4.6,86.6,0,0.2,3.3,Frontier,"          $11,230,352.46",655.1,"              $17,142.96","          $13,207,554.09",751.9,"              $17,565.57",2019
Gardner - Gardner High,1030505,119,525,507,337,15.3,669,47.4,52.6,45.9,5.4,20.6,1030000,3.3,2.5,22,66.1,0.3,0,5.8,Gardner,"          $31,786,923.13",2284.8,"              $13,912.34","          $35,631,726.89",2628.7,"              $13,554.89",2019
Gateway - Gateway Regional High,6720505,44,553,531,252,10,208,49.5,50.5,28.9,3.4,17.8,6720000,0,1,3.9,90.9,0.5,0,3.9,Gateway,"          $15,350,942.79",840.8,"              $18,257.54","          $16,286,947.96",943.7,"              $17,258.61",2019
Georgetown - Georgetown High School,1050505,134,578,575,317,12,374,49.5,50.5,8.6,0,16.8,1050000,0.8,1.3,2.7,93.6,0,0,1.6,Georgetown,"          $20,006,386.46",1361.6,"              $14,693.29","          $21,927,507.66",1402,"              $15,640.16",2019
Gill-Montague - Turners Fall High,6740505,39,515,527,147,10.6,183,56.3,43.7,45.9,4.9,26.8,6740000,2.2,0.6,13.1,79.2,0.6,0,4.4,Gill-Montague,"          $17,726,337.00",938.3,"              $18,891.97","          $21,146,732.37",1275.1,"              $16,584.37",2019
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,34,514,515,365,15,507,51.9,48.1,55.8,9.5,12.2,4960000,10.9,1,43.4,40,0.4,0,4.3,Global Learning Charter Public (District),"           $7,791,271.30",502.8,"              $15,494.53","           $7,791,271.30",502.8,"              $15,494.53",2019
Gloucester - Gloucester High,1070505,159,543,544,434,14.1,780,43.6,56.3,34.7,7.3,28.7,1070000,1.7,0.8,12.8,80.4,0.1,0.8,3.5,Gloucester,"          $49,643,711.05",2917.8,"              $17,014.09","          $56,556,399.92",3285.8,"              $17,212.37",2019
Grafton - Grafton High School,1100505,225,572,581,392,17.7,867,50.3,49.7,12.2,1.7,13.8,1100000,1.9,10.3,4,81.1,0,0,2.8,Grafton,"          $40,497,320.42",3168.6,"              $12,780.82","          $43,246,446.31",3274.3,"              $13,207.84",2019
Granby - Granby Jr Sr High School,1110505,33,543,542,208,14,346,44.2,55.8,24,4.1,16.2,1110000,0.3,1.2,7.8,87.6,0,0,3.2,Granby,"          $10,273,667.00",738.1,"              $13,919.07","          $11,798,519.00",833.8,"              $14,150.30",2019
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,139,508,503,906,15.8,1419,44.5,55.5,38.1,1.3,10,8210000,3.2,2.3,12.1,76.4,0.6,0.1,5.4,Greater Fall River Regional Vocational Technical,"          $28,843,459.00",1438,"              $20,058.04","          $28,938,366.00",1451.2,"              $19,940.99",2019
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,8230605,216,447,470,1728,15.5,1584,49.5,50.4,58.7,12.9,17.4,8230000,1,1.4,83.2,14.2,0.1,0,0.1,Greater Lawrence Regional Vocational Technical,"          $34,005,448.32",1535.2,"              $22,150.50","          $34,303,942.32",1541.2,"              $22,257.94",2019
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,199,500,507,1432,18.4,2241,46.7,53,45.7,7.8,18.5,8280000,4.3,16.2,35.2,41.3,0.2,0,2.7,Greater Lowell Regional Vocational Technical,"          $46,617,207.94",2259.4,"              $20,632.56","          $46,835,134.94",2297.5,"              $20,385.26",2019
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,254,513,502,1972,15.1,2113,48,52,41.2,3.6,10.5,8250000,8.5,1,24,60.8,0.2,0.1,5.4,Greater New Bedford Regional Vocational Technical,"          $42,838,819.39",2114.6,"              $20,258.59","          $42,861,302.39",2117.2,"              $20,244.33",2019
Greenfield - Greenfield High,1140505,54,567,564,326,14.3,486,45.3,54.5,48.2,5.1,17.1,1140000,2.7,2.5,21,66.3,0.2,0,7.4,Greenfield,"          $28,182,612.00",1737,"              $16,224.88","          $34,211,805.00",2163.3,"              $15,814.64",2019
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,39010900,13,490,476,244,18,687,55.5,43.7,57.8,3.8,26.5,39010000,7.6,4.5,18.5,60.4,0.2,0.4,8.4,Greenfield Commonwealth Virtual District,"           $5,757,463.87",579,"               $9,943.81","           $5,757,463.87",579,"               $9,943.81",2019
Groton-Dunstable - Groton Dunstable Regional,6730505,232,590,610,384,17.4,731,48.7,51.2,5.3,0.1,12.3,6730000,0.7,7.9,2.2,87.7,0.1,0.3,1.1,Groton-Dunstable,"          $38,089,750.00",2404.8,"              $15,839.05","          $41,541,212.00",2523.3,"              $16,463.05",2019
Hadley - Hopkins Academy,1170505,29,567,554,152,14.8,248,47.2,52.8,18.6,4,12.5,1170000,2.4,5.7,10.1,75.4,0.4,3.2,2.8,Hadley,"           $9,314,766.61",538.2,"              $17,307.26","          $11,675,308.02",686.7,"              $17,002.05",2019
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,177,600,592,314,15.6,554,53.6,46.4,6.9,0.5,14.1,6750000,0.7,4,4.7,88.3,0,0,2.4,Hamilton-Wenham,"          $31,225,904.02",1752.7,"              $17,815.89","          $35,139,313.75",1807.8,"              $19,437.61",2019
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,4990305,58,521,556,224,19.1,523,50.7,49.3,44.9,4,11.3,4990000,30.8,1.9,33.5,30.6,0.2,0,3.1,Hampden Charter School of Science East (District),"           $7,266,584.00",498.1,"              $14,587.43","           $7,266,584.00",498.1,"              $14,587.43",2019
Hampden-Wilbraham - Minnechaug Regional High,6800505,314,564,574,550,15.6,1048,52.3,47.7,14.8,0.3,13.4,6800000,3,4.3,6.6,82.9,0.5,0,2.8,Hampden-Wilbraham,"          $46,697,894.00",3045,"              $15,335.93","          $49,566,841.00",3119.4,"              $15,889.86",2019
Hampshire - Hampshire Regional High,6830505,92,587,577,547,12.9,737,54.3,45.6,17.4,1.6,23.6,6830000,0.3,1,4.3,91.6,0,0,2.9,Hampshire,"          $13,268,918.00",719,"              $18,454.68","          $15,158,018.00",824.1,"              $18,393.42",2019
Hanover - Hanover High,1220505,265,559,547,405,14.5,767,48.1,51.9,8.6,0.3,14.5,1220000,0.8,2.7,1.3,95.2,0,0,0,Hanover,"          $37,504,520.86",2658.7,"              $14,106.34","          $39,905,253.56",2723.5,"              $14,652.20",2019
Harvard - Bromfield,1250505,119,614,601,321,14.5,617,52.4,47.5,5.7,0.2,9.9,1250000,2.3,11.2,4.5,78.4,0,0,3.6,Harvard,"          $20,469,052.12",1072.1,"              $19,092.48","          $22,274,410.32",1116.1,"              $19,957.36",2019
Hatfield - Smith Academy,1270505,32,576,545,147,11.3,190,49,51.1,10.5,0,24.7,1270000,0.5,1.1,2.6,92.6,0,0,3.2,Hatfield,"           $5,865,332.00",441.1,"              $13,297.06","           $7,129,128.00",508.5,"              $14,019.92",2019
Haverhill - Haverhill High,1280505,327,541,534,1286,17.5,1943,49.9,50,40.3,6.4,18.1,1280000,4.9,1.9,33.5,58.2,0.1,0.2,1.3,Haverhill,"         $108,110,971.00",8091.6,"              $13,360.89","         $120,748,211.00",8728.4,"              $13,833.95",2019
Hingham - Hingham High,1310505,366,603,600,628,15.1,1298,48.8,51.2,6.6,0.2,9.8,1310000,1.2,3.2,3.6,89.3,0,0,2.7,Hingham,"          $59,167,727.00",4217.6,"              $14,028.77","          $64,025,240.00",4295.4,"              $14,905.54",2019
Holbrook - Holbrook Middle High School,1330505,52,493,501,332,17.4,636,49.8,50,35.1,3.3,17.1,1330000,24.1,5.8,14,47.8,0.5,0,7.9,Holbrook,"          $17,581,123.13",1259.7,"              $13,956.60","          $21,945,612.23",1360.3,"              $16,132.92",2019
Holliston - Holliston High,1360505,230,594,598,517,15.8,850,48.5,51.5,6.2,1.2,13.5,1360000,1.2,7.9,4.4,84.2,0.6,0,1.8,Holliston,"          $39,155,245.70",2887.3,"              $13,561.20","          $43,966,433.61",2978.3,"              $14,762.26",2019
Holyoke - Holyoke High,1370505,188,492,481,957,16.7,1484,47.6,52.4,72.8,22.2,22.5,1370000,2.4,0.5,79.3,16.5,0.1,0.1,1.2,Holyoke,"          $92,527,480.44",5231.4,"              $17,686.94","         $116,410,288.44",6589.8,"              $17,665.22",2019
Hopedale - Hopedale Jr Sr High,1380505,68,580,558,330,13.2,466,48.5,51.5,12,2.4,16.5,1380000,1.5,2.6,6.9,86.9,0.4,0.2,1.5,Hopedale,"          $16,585,425.00",1091,"              $15,202.04","          $18,430,731.00",1166.2,"              $15,804.09",2019
Hopkinton - Hopkinton High,1390505,309,605,620,942,18.3,1235,50.8,49.2,5.9,0.8,12.9,1390000,1.2,14.2,2.4,79.9,0.4,0,1.9,Hopkinton,"          $54,138,199.91",3715.2,"              $14,572.08","          $57,235,136.79",3793.8,"              $15,086.49",2019
Hudson - Hudson High,1410505,210,570,553,493,15.6,906,53.8,46.3,23.3,8.2,14.8,1410000,2,1.4,13,81.6,0.2,0.1,1.7,Hudson,"          $42,656,450.94",2571.5,"              $16,588.16","          $49,444,852.77",2782.3,"              $17,771.22",2019
Hull - Hull High,1420505,79,560,549,255,9.7,278,44.6,55.4,30.2,0.7,19.1,1420000,1.8,1.8,3.2,91.4,0,0,1.8,Hull,"          $18,907,854.25",878.3,"              $21,527.79","          $21,786,684.25",944.6,"              $23,064.46",2019
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,108,556,549,423,19.4,795,51.8,48.1,14.7,2.5,20.9,4350000,6.7,8.7,10.1,69.1,0.1,0,5.4,Innovation Academy Charter (District),"          $12,202,345.45",793.7,"              $15,374.20","          $12,202,345.45",793.7,"              $15,374.20",2019
Ipswich - Ipswich High,1440505,161,594,575,404,11.7,541,52.5,47.3,14.8,0.9,11.1,1440000,0.9,1.5,5.4,88,0,0,4.3,Ipswich,"          $29,545,742.58",1691.8,"              $17,464.09","          $31,785,925.58",1742.8,"              $18,238.42",2019
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,4290010,61,542,558,555,23.9,1600,50.8,49.3,53.7,14.7,12.6,4290000,19.3,3.2,68.7,5.8,0.2,0.1,2.7,KIPP Academy Lynn Charter (District),"          $26,623,282.97",1452.2,"              $18,332.69","          $26,623,282.97",1452.2,"              $18,332.69",2019
King Philip - King Philip Regional High,6900505,428,572,560,475,18.4,1239,50.2,49.7,8.8,0.3,12.5,6900000,2.1,2.4,2.8,90,0.1,0.1,2.5,King Philip,"          $29,355,493.54",2021.4,"              $14,522.36","          $35,822,665.38",2112.2,"              $16,959.88",2019
Lawrence - Lawrence High School,1490515,472,474,486,1375,18.5,3275,46.4,53.2,71.5,36.7,15.3,1490000,1.2,1.6,94.4,2.6,0,0,0.2,Lawrence,"         $214,172,063.56",13729.7,"              $15,599.18","         $254,357,918.23",15803.7,"              $16,094.83",2019
Lee - Lee Middle/High School,1500505,38,575,572,262,11.2,346,50,50,29.5,3.8,13,1500000,0.9,3.2,8.7,83.5,0.3,0,3.5,Lee,"          $13,471,287.18",706,"              $19,081.14","          $14,379,583.42",818.8,"              $17,561.78",2019
Leicester - Leicester High,1510505,117,535,519,209,19.1,462,49.1,50.4,23.4,3.3,13.6,1510000,4.8,2.6,11.3,77.9,0.2,0.2,3,Leicester,"          $21,197,210.59",1527.4,"              $13,877.97","          $24,342,730.25",1698.3,"              $14,333.59",2019
Lenox - Lenox Memorial High,1520505,59,594,578,391,12.3,460,49.6,50.4,18.7,2.2,7.8,1520000,0.7,4.6,8.7,82.8,0,0,3.3,Lenox,"          $15,181,438.92",752.4,"              $20,177.35","          $15,731,271.68",792.2,"              $19,857.70",2019
Leominster - Center For Technical Education Innovation,1530605,74,532,542,139,14.9,738,34.7,65.3,41.6,5.6,27.6,1530000,9.1,2.9,38.6,46.2,0,0.3,3,Leominster,"          $84,101,497.93",6024.1,"              $13,960.84","          $95,553,965.93",6478.7,"              $14,748.94",2019
Leominster - Leominster High School,1530505,257,528,547,675,19.1,1722,50.3,49.6,38.6,7,18.8,1530000,9.7,3.4,34,49.2,0.1,0.2,3.4,Leominster,"          $84,101,497.93",6024.1,"              $13,960.84","          $95,553,965.93",6478.7,"              $14,748.94",2019
Lexington - Lexington High,1550505,625,649,676,1110,18.9,2293,49.6,50.3,5.6,2.6,11.3,1550000,3.5,40.8,4,46,0.1,0,5.7,Lexington,"         $125,915,692.90",7261.4,"              $17,340.42","         $137,703,036.07",7381.8,"              $18,654.40",2019
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,354,613,632,1200,17.7,1522,48.6,51.5,6.2,0.7,18.9,6950000,5.1,5.3,5.2,78.3,0.1,0,6.1,Lincoln-Sudbury,"          $30,507,081.42",1493.6,"              $20,425.20","          $35,484,951.63",1559.3,"              $22,756.98",2019
Littleton - Littleton High School,1580505,138,588,587,246,12.6,434,55.5,44.2,7.1,0.7,11.8,1580000,0.5,8.5,2.8,83.9,0.5,0,3.9,Littleton,"          $24,015,657.06",1645.7,"              $14,592.97","          $28,698,611.06",1783,"              $16,095.69",2019
Longmeadow - Longmeadow High,1590505,268,606,613,411,18.4,939,49.3,50.7,7.7,0.5,16.4,1590000,2.5,10.1,3.6,80.5,0.1,0.1,3.1,Longmeadow,"          $43,190,554.01",2858.2,"              $15,111.10","          $45,745,743.44",2920.3,"              $15,664.74",2019
Lowell - Lowell High,1600505,703,511,523,2022,20.1,3076,50,50,53.9,17.9,11.3,1600000,11.9,30.5,27.7,26.7,0,0,3.2,Lowell,"         $215,310,263.84",14618.8,"              $14,728.31","         $250,167,865.84",16778.3,"              $14,910.20",2019
Ludlow - Ludlow Senior High,1610505,196,549,549,396,15.4,864,51.4,48.4,23.8,2,13.8,1610000,2.2,1,7.2,86.5,0,0.2,2.9,Ludlow,"          $42,970,855.12",2562.1,"              $16,771.73","          $45,421,275.69",2680.3,"              $16,946.34",2019
Lunenburg - Lunenburg High,1620505,115,583,576,242,14.6,459,49,51,13.5,0.4,9.2,1620000,2.6,2,7,85.4,0.9,0.4,1.7,Lunenburg,"          $22,407,777.83",1654,"              $13,547.63","          $24,595,105.83",1784.4,"              $13,783.40",2019
Lynn - Classical High,1630505,278,508,517,615,19.9,1647,48.2,51.9,54.5,27.3,11.1,1630000,8.7,9.9,59.9,18.5,0.4,0,2.6,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800,"              $14,570.76",2019
Lynn - Lynn English High,1630510,303,493,486,686,19.7,1824,48.1,51.9,57.6,31.9,9.9,1630000,9.7,9.2,67.2,11.2,0.4,0,2.3,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800,"              $14,570.76",2019
Lynn - Lynn Vocational Technical Institute,1630605,113,477,458,807,18.7,1413,42.8,57.1,60.1,13.9,19.7,1630000,6.9,5.1,70.4,14.4,0.3,0,2.9,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800,"              $14,570.76",2019
Lynnfield - Lynnfield High,1640505,197,575,574,273,15.2,602,52.3,47.5,8.1,0.7,16.8,1640000,2.5,4.8,4.3,86.5,0,0,1.8,Lynnfield,"          $34,467,564.50",2202.4,"              $15,650.00","          $36,924,659.50",2236.3,"              $16,511.50",2019
MATCH Charter Public School (District) - MATCH Charter Public School,4690505,86,477,526,355,20.4,1219,52.3,47.7,63.7,19.1,22.7,4690000,48,0.5,46.8,1.6,0.4,0.3,2.4,MATCH Charter Public School (District),"          $26,395,315.00",1220.3,"              $21,630.54","          $26,395,315.00",1220.3,"              $21,630.54",2019
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,53,718,771,24,16.6,50,56,42,0,0,0,4680000,2,56,0,38,0,0,4,,,,,,,,2019
Malden - Malden High,1650505,429,509,543,706,18.9,1791,48.8,51.1,47.6,14.2,15.8,1650000,21.7,23.1,28.8,23.5,0.3,0,2.6,Malden,"          $95,029,562.43",6483.6,"              $14,656.91","         $115,427,175.64",7560.8,"              $15,266.53",2019
Manchester Essex Regional - Manchester Essex Regional High School,6980510,137,598,590,312,13.4,486,50.2,49.8,10.1,0,9.7,6980000,0,1.4,1.4,96.5,0,0,0.6,Manchester Essex Regional,"          $25,299,971.38",1385.1,"              $18,265.81","          $26,717,041.22",1418.3,"              $18,837.37",2019
Mansfield - Mansfield High,1670505,384,582,595,730,15.1,1239,49.7,50.3,13.6,0.5,11.4,1670000,3.7,5.7,4.1,82.7,0,0,3.7,Mansfield,"          $61,443,850.13",3728.3,"              $16,480.39","          $66,765,137.06",3865.7,"              $17,271.16",2019
Marblehead - Marblehead High,1680505,343,600,593,828,11.9,1004,51.2,48.8,8.7,2.3,19.2,1680000,2.9,1.7,5.8,87.4,0,0,2.3,Marblehead,"          $50,569,014.79",3057.2,"              $16,540.96","          $57,069,202.00",3267.6,"              $17,465.17",2019
Marlborough - Marlborough High,1700505,278,526,528,680,13.7,1109,48.2,51.8,39,20.7,15,1700000,3.3,2,55.8,36.8,0.1,0,2,Marlborough,"          $77,478,896.75",4728.4,"              $16,385.86","          $92,820,538.37",5467.8,"              $16,975.85",2019
Marshfield - Marshfield High,1710505,451,565,559,544,18.2,1296,47.9,52.1,12,1.2,14.2,1710000,0.4,1.2,3.5,93.8,0,0.1,1.1,Marshfield,"          $55,062,487.88",4045.4,"              $13,611.14","          $60,496,498.48",4148.7,"              $14,582.04",2019
Martha's Vineyard - Martha's Vineyard Regional High,7000505,170,567,560,470,12.1,688,47.2,52.8,32,12.5,20.5,7000000,4.8,1.2,20.4,67,2,0.3,4.4,Martha's Vineyard,"          $20,853,356.00",618.1,"              $33,737.84","          $22,510,167.00",658.6,"              $34,178.81",2019
Masconomet - Masconomet Regional High School,7050505,355,582,588,584,15.8,1141,53.3,46.7,6.7,0.4,15.5,7050000,0.4,4.1,2.6,90.5,0.1,0.2,2.1,Masconomet,"          $32,272,185.95",1758.5,"              $18,352.11","          $35,786,300.83",1812.6,"              $19,743.08",2019
Mashpee - Mashpee High,1720505,107,544,533,312,12.4,460,50.4,49.6,25.4,0.2,13,1720000,6.1,3,4.1,75.7,5.4,0.2,5.4,Mashpee,"          $29,585,223.00",1614.6,"              $18,323.56","          $32,693,695.34",1792.1,"              $18,243.23",2019
Maynard - Maynard High,1740505,102,574,546,192,13.5,337,48.4,51.3,14.8,3.3,14.5,1740000,2.4,3,11,80.7,0.3,0,2.7,Maynard,"          $25,484,402.66",1348.5,"              $18,898.33","          $29,541,592.45",1492.6,"              $19,792.04",2019
Medfield - Medfield Senior High,1750505,250,599,607,394,17.4,806,50.4,49.6,6.5,0.3,9.1,1750000,1,5.6,2.2,87.8,0.1,0,3.2,Medfield,"          $41,284,157.10",2578.1,"              $16,013.40","          $43,987,866.29",2613.8,"              $16,829.09",2019
Medford - Medford High,1760505,328,541,545,699,14.3,1339,47.1,53,33.6,8.2,19.6,1760000,14.2,10.5,13.5,57.7,0.2,0.1,3.8,Medford,"          $76,660,900.37",4243,"              $18,067.62","          $86,669,306.11",4745.1,"              $18,265.01",2019
Medway - Medway High,1770505,243,567,572,339,14.9,685,50.2,49.8,8.6,0.2,14.2,1770000,1,3.9,4.5,88.9,0.3,0,1.3,Medway,"          $33,269,182.76",2216.4,"              $15,010.46","          $37,120,793.92",2318.5,"              $16,010.69",2019
Melrose - Melrose High,1780505,370,567,549,406,16.9,984,52.2,47.8,10,1.6,14.2,1780000,6.3,5.7,3.9,80,0,0,4.2,Melrose,"          $46,485,166.14",3949,"              $11,771.38","          $52,531,791.15",4236.1,"              $12,400.98",2019
Mendon-Upton - Nipmuc Regional High,7100510,197,568,559,354,14.7,635,53.9,46.1,9.8,0.6,10.9,7100000,1.3,2.4,4.3,89.5,0.3,0,2.4,Mendon-Upton,"          $35,593,327.18",2288.6,"              $15,552.45","          $40,183,301.18",2394.4,"              $16,782.20",2019
Methuen - Methuen High,1810505,427,511,513,1044,17.7,1990,49.1,50.9,35,7.9,9.9,1810000,2.1,4.4,41,47.8,0.1,0.1,4.6,Methuen,"          $90,399,909.48",7004.1,"              $12,906.71","         $106,243,270.84",7347.4,"              $14,459.98",2019
Middleborough - Middleborough High,1820505,170,534,531,414,16,814,48.3,51.7,22.1,1,16.5,1820000,2.8,1.1,3.7,88.1,1.2,0,3.1,Middleborough,"          $43,776,662.93",2976.9,"              $14,705.45","          $47,366,527.93",3123.9,"              $15,162.63",2019
