,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
158,11087003A260001,School,Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,HIGH SCHOOL,PK - 12,Commendable,All Students,Schoolwide Title I Program,159,98.1,,,,,,,13.2,13.2,,66.7,,176.0,93.5,,,,10.2,5.0,,,,85.4,,,,21.9,,,,,9583.99,13035.86,441.5,418.5,65.4,23.1,11.5,0.0,2021
159,110870040260001,School,Shelbyville High School,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",351,97.2,,,,,,,17.9,14.5,,34.5,,176.0,91.6,47.0,12.4,2.6,16.3,5.0,,,,87.7,,,,28.9,,,,,6164.71,9947.67,484.6,474.5,47.2,21.3,29.2,2.2,2021
160,11087005A260001,School,Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,122,98.4,,,,,,,17.2,12.3,,31.1,,176.0,94.1,,,,16.6,4.8,,,,89.5,,,,16.4,,,,,7171.69,11089.42,462.2,474.1,44.4,22.2,33.3,0.0,2021
161,110870210260001,School,Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",223,96.9,,,,,,,14.8,13.9,,33.2,,176.0,89.8,29.0,12.1,4.1,13.4,5.0,,,,91.9,,,,40.0,,,,,8166.73,14370.19,469.1,425.4,64.3,28.6,7.1,0.0,2021
162,120130100260002,School,Clay City High School,Clay City CUSD 10,Clay City,Clay,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",74,97.3,,,,,,,20.3,20.3,,44.6,14.9,176.0,88.9,,,,15.4,5.0,,,,66.7,,,,45.9,,,,,6794.27,13166.3,470.0,433.8,53.8,30.8,15.4,0.0,2021
163,120130250260001,School,North Clay Community High School,North Clay CUSD 25,Louisville,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",190,93.7,,,,,,,18.4,15.8,,45.8,8.4,176.0,89.8,24.0,12.4,,20.2,5.0,,,,87.2,,,,36.1,,,,,1231.2,11237.59,431.5,416.7,69.6,21.7,8.7,0.0,2021
164,120130350260001,School,Flora High School,Flora CUSD 35,Flora,Clay,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",353,94.3,,3.1,,,,,9.3,7.9,,34.6,9.9,176.0,89.4,56.0,15.0,7.7,18.5,5.0,,,,97.2,,,,39.0,,,,,6181.16,12835.64,458.9,414.9,71.9,24.7,3.4,0.0,2021
165,120170010260001,School,Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",103,91.3,,,,,,,19.4,19.4,,34.0,10.7,176.0,90.7,,,,11.7,5.0,,,,69.0,,,,29.0,,,,,9235.9,15506.31,491.8,425.5,72.7,22.7,4.5,0.0,2021
166,120170020260001,School,Robinson High School,Robinson CUSD 2,Robinson,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",462,91.3,,2.4,,,,3.9,11.5,11.5,,39.8,6.3,176.0,89.0,64.0,13.4,4.7,17.6,2.0,,,,91.5,,,,41.0,,,,,10032.22,12672.77,469.1,453.6,61.5,13.5,18.8,6.3,2021
167,120170030260001,School,Palestine High School,Palestine CUSD 3,Palestine,Crawford,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",85,98.8,,,,,,,27.1,21.2,,44.7,22.4,176.0,88.6,,,,10.8,5.0,,,,88.9,,,,42.9,,,,,5823.21,13025.72,487.5,466.9,43.8,37.5,18.8,0.0,2021
168,120170040260001,School,Oblong High School,Oblong CUSD 4,Oblong,Crawford,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",183,92.3,,,,,,,13.1,13.1,,45.4,,176.0,92.6,30.0,16.0,11.4,14.6,5.0,,,,86.4,,,,22.3,,,,,5629.7,11589.13,474.5,458.7,48.9,34.0,14.9,2.1,2021
169,120400010260001,School,Newton Comm High School,Jasper County CUD 1,Newton,Jasper,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,385,97.1,,,,,,,15.3,9.9,,37.4,2.9,176.0,90.8,23.0,5.7,2.7,19.9,5.0,,,,90.7,,,,34.3,,,,,12094.73,12949.78,486.0,479.8,34.5,40.5,22.6,2.4,2021
170,120510100260001,School,Red Hill Jr/Sr High School,Red Hill CUSD 10,Bridgeport,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",380,97.6,,,,,,,11.3,8.9,,51.6,3.9,176.0,87.7,75.0,19.3,7.7,14.2,5.0,,,,81.5,,,,48.0,,,,,9699.0,12414.0,479.8,435.3,57.5,35.0,7.5,0.0,2021
171,120510200260008,School,Lawrenceville High School,Lawrence County CUD 20,Lawrenceville,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",328,92.1,,3.0,,,,4.3,14.6,9.1,,57.6,3.4,176.0,85.4,50.0,14.8,7.5,18.1,3.0,,,,93.3,,,,56.0,,,,,10702.96,13473.97,461.2,424.0,65.3,26.7,8.0,0.0,2021
172,120800010260001,School,Richland County High School,Richland County CUSD 1,Olney,Richland,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,697,89.2,,5.2,,,,3.4,13.8,9.8,,37.6,3.2,176.0,92.4,174.0,23.8,6.7,22.6,5.0,,,,93.3,,,,23.4,,,,,6067.6,11771.36,471.5,452.8,49.7,27.3,21.9,1.1,2021
173,130140010260001,School,Carlyle High School,Carlyle CUSD 1,Carlyle,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",300,92.3,,,,,,,21.3,18.7,,39.3,,176.0,86.7,,,3.8,16.1,5.0,,,,88.9,,,,44.1,,,,,7796.47,13196.15,478.4,449.9,51.4,31.4,15.7,1.4,2021
174,130140030260006,School,Wesclin Sr High School,Wesclin CUSD 3,Trenton,Clinton,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",386,87.0,,7.3,,,,2.6,14.5,14.5,2.8,28.0,3.4,176.0,91.4,16.0,4.1,2.8,19.9,4.5,,,,95.8,,,,27.5,,,,,6195.25,11397.64,480.5,475.3,39.8,30.7,27.3,2.3,2021
175,130140710160001,School,Central Comm High School,Central CHSD 71,Breese,Clinton,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,Exemplary,All Students,Targeted Assistance Title I Pr,616,96.1,,3.6,,,,,14.0,11.4,,15.9,1.8,177.0,95.3,40.0,6.4,2.8,21.4,5.0,,,,93.8,,,,11.9,,,,,0.0,20142.03,512.1,529.0,28.5,25.0,32.6,13.9,2021
176,130410010260001,School,Waltonville High School,Waltonville CUSD 1,Waltonville,Jefferson,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,93,97.8,,,,,,,14.0,12.9,,44.1,,176.0,94.7,,,12.5,10.0,5.0,,,,82.6,,,,13.9,,,,,7366.27,13817.2,459.6,430.4,60.0,36.0,4.0,0.0,2021
177,130412010170001,School,Mount Vernon High School,Mt Vernon Twp HSD 201,Mount Vernon,Jefferson,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1164,73.7,12.0,4.4,1.2,,,8.7,22.6,19.6,,54.3,10.5,176.0,88.2,254.0,20.3,4.1,20.0,5.0,,,,91.4,,,,40.3,,,,,10404.63,13655.8,453.4,425.5,65.2,23.5,10.9,0.4,2021
178,130412090270001,School,Woodlawn High School,Woodlawn Unit School District 209,Woodlawn,Jefferson,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,177,94.9,,,,,,,12.4,11.9,,40.1,,176.0,94.4,,,,19.0,5.0,,,,50.0,,,,14.6,,,,,10901.28,13099.88,480.0,460.0,45.0,32.5,20.0,2.5,2021
179,130413180270001,School,Webber High School,Bluford Unit School District 318,Bluford,Jefferson,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,113,98.2,,,,,,,15.9,14.2,,40.7,,176.0,89.4,23.0,18.7,,12.9,5.0,,,,100.0,,,,33.3,,,,,10337.42,13555.74,473.1,468.6,41.7,38.9,16.7,2.8,2021
180,130581000260002,School,Patoka Sr High School,Patoka CUSD 100,Patoka,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",66,100.0,,,,,,,15.2,,,42.4,,176.0,91.8,,,,10.9,5.0,,,,86.7,,,,25.7,,,,,16179.38,17582.41,431.9,413.8,81.3,12.5,6.3,0.0,2021
181,130582000170001,School,Centralia High School,Centralia HSD 200,Centralia,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,Targeted,Children with Disabilities,Schoolwide Title I Program,849,74.7,7.7,7.1,,,,9.8,19.7,19.2,,62.5,3.3,176.0,87.6,121.0,13.4,9.9,20.2,5.0,,,,90.8,,,,39.8,,,,,13653.99,17854.85,464.9,446.3,53.4,29.3,17.2,0.0,2021
182,130584010260001,School,South Central High School,South Central CUD 401,Farina,Marion,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",216,96.8,,,,,,,14.8,13.9,,47.2,8.8,177.0,90.8,42.0,17.9,,14.1,5.0,,,,86.5,,,,34.3,,,,,5355.63,11881.44,438.4,414.1,77.6,8.2,14.3,0.0,2021
183,130585010260001,School,Sandoval Sr High School,Sandoval CUSD 501,Sandoval,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,108,88.9,,,,,,10.2,22.2,22.2,,88.9,,176.0,89.6,19.0,15.7,,11.6,5.0,,,,87.5,,,,34.4,,,,,11454.35,12443.78,420.3,384.7,80.0,20.0,0.0,0.0,2021
184,130586000160001,School,Salem Community High School,Salem CHSD 600,Salem,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,691,92.8,,,,,,4.5,15.1,13.3,,39.4,8.1,176.0,91.6,64.0,8.8,5.1,22.2,5.0,,,,97.5,,,,27.8,,,,,24972.92,24985.31,471.2,465.0,45.5,29.0,22.1,3.4,2021
185,130587220260001,School,Odin Attendance Center 9-12,Odin PSD 722,Odin,Marion,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,Schoolwide Title I Program,77,88.3,,,,,,,15.6,15.6,,83.1,,176.0,88.6,21.0,25.6,,12.7,5.0,,,,68.2,,,,41.5,,,,,4047.48,12860.89,474.6,433.1,53.8,46.2,0.0,0.0,2021
186,130950100260001,School,Okawville Jr/Sr High School,West Washington Co CUD 10,Okawville,Washington,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,Exemplary,All Students,"Eligible, but Not a Participan",255,96.5,,,,,,,18.0,13.3,,27.8,5.1,176.0,95.0,15.0,5.6,,17.4,4.6,,,,92.3,,,,15.6,,,,,9000.23,11904.61,521.6,484.9,40.0,22.2,35.6,2.2,2021
187,130950990160001,School,Nashville Comm High School,Nashville CHSD 99,Nashville,Washington,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,405,92.8,,2.5,,,,3.2,13.8,9.4,,31.6,,176.0,94.9,19.0,4.3,3.9,19.7,3.7,,,,95.9,,,,11.7,,,,,11589.73,13909.48,490.9,469.5,46.0,27.0,27.0,0.0,2021
188,150162990250001,School,Amundsen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1486,31.5,7.7,49.5,7.1,,,3.7,28.1,16.6,9.8,44.5,0.8,178.0,85.2,945.0,61.7,1.6,27.0,5.0,,,,91.6,,,,52.1,,,,,9930.73,15029.13,494.0,481.8,39.9,28.8,27.8,3.4,2021
189,150162990250003,School,Bogan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,746,,61.9,36.7,,,,,27.3,24.8,14.2,82.4,4.6,178.0,74.7,929.0,86.2,13.6,21.8,0.0,,,,91.9,,,,77.1,,,,,12261.5,18252.67,400.8,382.3,81.0,17.8,1.1,0.0,2021
190,150162990250006,School,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,407,,36.1,62.4,,,,,11.3,8.8,9.1,84.8,4.2,178.0,86.4,276.0,67.3,,20.6,1.0,,,,84.1,,,,49.1,,,,,13680.22,20863.28,443.3,420.8,64.9,27.9,7.2,0.0,2021
191,150162990250011,School,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,495,,8.7,90.1,,,,,30.5,28.3,35.2,98.6,6.1,178.0,69.2,561.0,83.9,9.6,25.4,0.0,,,,90.8,,,,80.3,,,,,15839.54,21918.42,410.4,399.5,78.3,15.1,5.7,0.9,2021
192,150162990250012,School,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,237,,97.9,,,,,,27.8,24.5,,88.6,35.4,178.0,70.9,376.0,89.3,11.4,23.6,5.0,,,,75.8,,,,84.2,,,,,15703.17,22336.58,393.3,370.6,91.0,8.0,1.0,0.0,2021
193,150162990250013,School,Foreman High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,567,4.9,16.0,78.0,,,,,29.8,24.7,38.6,92.4,4.9,178.0,73.7,545.0,70.3,10.5,25.1,5.0,,,,87.4,,,,71.9,,,,,14612.52,20517.84,412.5,404.4,69.2,26.0,4.8,0.0,2021
194,150162990250014,School,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1052,,2.1,94.6,1.8,,,,12.9,9.3,24.0,92.8,,178.0,84.4,586.0,55.5,,23.2,5.0,,,,86.4,,,,51.0,,,,,9365.75,13946.24,461.9,461.2,47.8,27.1,23.9,1.2,2021
195,150162990250015,School,Gage Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,300,,30.3,67.3,,,,,25.3,22.7,34.3,94.3,30.0,178.0,74.4,548.0,82.3,16.6,17.9,3.0,,,,94.5,,,,70.7,,,,,16125.28,21901.55,397.2,382.3,89.6,8.8,1.6,0.0,2021
196,150162990250016,School,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,297,,97.0,,,,,,29.0,24.9,,92.9,10.8,178.0,71.6,425.0,86.4,7.2,24.4,5.0,,,,91.9,,,,84.4,,,,,16315.33,22531.49,398.6,368.5,90.5,9.5,0.0,0.0,2021
197,150162990250019,School,Hirsch Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,78,,97.4,,,,,,43.6,41.0,,85.9,20.5,178.0,73.0,238.0,84.1,18.6,16.3,5.0,,,,86.4,,,,74.7,,,,,32669.4,41902.95,379.3,357.6,97.7,2.3,0.0,0.0,2021
198,150162990250020,School,Hubbard High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1809,1.1,5.5,92.9,,,,,18.2,14.5,24.9,90.6,3.4,178.0,79.9,1465.0,72.8,5.9,28.3,5.0,,,,94.1,,,,67.3,,,,,9175.19,13950.93,436.5,421.7,65.8,26.1,8.1,0.0,2021
199,150162990250021,School,Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,695,,99.0,,,,,,21.3,19.0,,98.7,8.3,178.0,80.8,696.0,87.2,4.5,22.0,4.8,,,,91.0,,,,70.5,,,,,13098.25,18839.85,411.1,393.0,80.6,16.9,2.5,0.0,2021
200,150162990250022,School,Thomas Kelly College Preparatory,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1721,2.0,4.1,80.6,12.7,,,,22.6,18.8,34.7,95.1,2.7,178.0,76.9,1419.0,71.0,6.6,24.2,0.0,,,,93.6,,,,63.9,,,,,10816.98,15947.26,429.3,419.0,68.9,19.6,10.4,1.1,2021
201,150162990250023,School,Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,Comprehensive,All Students,Schoolwide Title I Program,489,2.5,8.2,87.7,,,,,30.5,25.8,41.7,89.8,5.3,178.0,75.5,502.0,79.6,5.5,22.7,5.0,,,,88.2,,,,73.0,,,,,12064.28,17522.96,405.0,377.0,85.4,14.6,0.0,0.0,2021
202,150162990250024,School,Kennedy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1485,16.0,3.2,79.8,,,,,26.1,20.4,14.3,66.4,1.3,178.0,79.1,1147.0,71.9,5.4,26.8,5.0,,,,92.9,,,,66.5,,,,,9817.67,15152.76,451.2,425.8,62.7,27.9,9.4,0.0,2021
203,150162990250025,School,Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,Commendable,All Students,Schoolwide Title I Program,2240,4.3,87.2,4.2,2.1,,,2.0,10.9,5.3,1.1,58.9,1.4,178.0,90.3,1207.0,52.8,0.8,29.2,5.0,,,,90.8,,,,33.0,,,,,8157.97,13057.74,500.6,465.9,40.3,36.2,22.7,0.7,2021
204,150162990250026,School,Lake View High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1432,9.4,13.1,71.8,3.2,,,1.8,23.7,16.9,15.1,76.0,3.6,178.0,78.0,1044.0,69.9,1.2,27.3,5.0,,,,90.2,,,,65.4,,,,,10335.15,15406.71,458.6,445.1,51.8,33.9,14.3,0.0,2021
205,150162990250027,School,Lane Technical High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",4380,38.2,6.8,35.3,10.8,0.7,0.5,7.7,18.8,5.9,1.3,35.6,0.4,178.0,91.3,800.0,18.5,0.5,28.7,5.0,,,,94.7,,,,29.0,,,,,7614.09,12287.36,617.7,616.6,1.1,10.8,60.7,27.4,2021
206,150162990250029,School,Marshall Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,185,,95.1,,,,,,30.3,28.1,,98.4,28.6,178.0,64.5,324.0,91.3,10.8,19.2,5.0,,,,79.4,,,,86.8,,,,,18768.8,25194.24,413.0,372.0,89.8,8.5,1.7,0.0,2021
207,150162990250030,School,Mather High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1702,13.2,15.9,46.7,21.8,,0.8,1.4,22.7,16.5,29.0,78.8,2.1,178.0,81.9,1249.0,65.4,3.7,24.5,5.0,,,,92.2,,,,60.5,,,,,9378.02,14178.18,440.7,439.3,55.7,28.9,14.5,0.9,2021
208,150162990250031,School,Morgan Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,Commendable,All Students,Schoolwide Title I Program,1138,,97.0,2.2,,,,,18.8,15.4,,80.2,2.0,178.0,71.4,1145.0,89.2,2.7,22.5,0.0,,,,85.0,,,,82.1,,,,,10681.42,16145.38,415.7,395.0,76.5,22.1,1.5,0.0,2021
209,150162990250034,School,Phillips Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,505,,98.2,,,,,,25.0,23.6,,88.1,4.6,178.0,65.3,725.0,90.3,9.3,25.2,0.0,,,,86.3,,,,87.5,,,,,12359.76,17851.26,400.7,377.6,88.4,11.6,0.0,0.0,2021
210,150162990250035,School,Roosevelt High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,Children with Disabilities,Schoolwide Title I Program,1009,4.9,12.3,73.4,7.6,,,,25.6,21.7,43.1,86.0,1.8,178.0,78.5,868.0,73.4,5.0,27.7,5.0,,,,95.7,,,,66.6,,,,,10842.39,16330.6,418.3,398.1,76.4,19.0,4.6,0.0,2021
211,150162990250036,School,Schurz High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,White,Schoolwide Title I Program,1386,4.6,8.7,82.8,1.9,,,1.0,27.2,21.9,30.4,88.3,3.8,178.0,72.4,1225.0,75.7,6.3,26.3,4.8,,,,93.4,,,,74.5,,,,,11904.24,17522.93,421.4,406.9,72.1,22.7,5.2,0.0,2021
212,150162990250037,School,Senn High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1521,16.2,26.1,40.2,14.7,,,2.0,23.0,12.7,18.5,75.7,2.0,178.0,82.5,1058.0,61.7,3.5,26.0,5.0,,,,89.5,,,,55.3,,,,,9501.24,14244.25,479.2,457.7,43.5,35.5,20.3,0.7,2021
213,150162990250039,School,King College Prep High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,623,,94.7,2.4,,,,,14.6,11.6,,80.9,9.5,178.0,89.4,352.0,61.1,,26.7,5.0,,,,73.2,,,,39.9,,,,,11705.2,17421.28,476.0,473.7,34.0,46.6,19.4,0.0,2021
214,150162990250041,School,Steinmetz College Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,White,Schoolwide Title I Program,1145,4.6,18.0,73.8,1.9,,,1.0,26.1,20.4,28.5,81.8,3.4,178.0,72.3,1221.0,82.3,5.6,26.8,5.0,,,,92.3,,,,75.5,,,,,10607.19,15512.24,418.9,398.9,77.1,18.6,4.0,0.4,2021
215,150162990250042,School,Sullivan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,567,9.7,34.9,42.9,8.8,,,3.2,34.4,30.9,43.6,93.1,8.6,178.0,77.6,524.0,75.2,3.9,20.7,5.0,,,,89.0,,,,61.6,,,,,13256.29,19296.06,411.4,406.0,72.0,24.2,3.8,0.0,2021
216,150162990250043,School,Taft High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",4100,43.6,2.9,42.1,7.2,0.7,0.4,3.1,23.0,13.3,10.9,49.3,1.0,178.0,84.2,2345.0,53.8,1.6,28.1,2.8,,,,96.0,,,,50.6,,,,,8329.9,12994.21,483.1,468.6,40.7,31.5,26.1,1.7,2021
217,150162990250044,School,Tilden Career Communty Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,All Students,Schoolwide Title I Program,178,7.9,39.9,50.0,,,,,29.2,26.4,25.3,91.0,41.0,178.0,69.5,276.0,86.3,14.9,15.8,5.0,,,,89.5,,,,82.1,,,,,21253.25,28184.07,396.3,380.2,89.8,10.2,0.0,0.0,2021
218,150162990250046,School,Von Steuben Metro Science HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1673,16.9,10.2,54.0,15.8,0.8,0.6,1.8,15.5,6.0,7.1,61.8,,178.0,87.6,798.0,48.2,,26.9,5.0,,,,92.9,,,,43.7,,,,,9056.24,13662.74,498.8,493.4,29.3,35.9,32.7,2.1,2021
219,150162990250047,School,Lincoln Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",2060,32.3,20.9,31.6,9.9,,,4.9,23.9,9.6,3.1,46.4,1.3,178.0,83.8,1336.0,63.7,1.0,26.5,5.0,,,,89.7,,,,52.1,,,,,9186.0,13915.05,529.5,517.4,21.3,33.8,40.9,4.0,2021
220,150162990250048,School,Washington G High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1530,3.9,5.6,89.1,,,0.7,,21.3,17.8,18.9,86.3,2.7,178.0,80.9,1038.0,62.5,4.0,28.6,5.0,,,,89.7,,,,68.6,,,,,9363.97,14284.84,438.1,423.8,62.6,30.5,6.7,0.2,2021
221,150162990250049,School,Wells Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,312,4.5,49.7,40.7,,,,5.1,29.2,26.0,17.3,79.5,10.9,178.0,75.1,245.0,61.4,5.3,23.6,5.0,,,,89.7,,,,75.4,,,,,15073.91,21013.31,392.5,373.4,91.3,6.3,2.5,0.0,2021
