School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Dedham - Dedham High,00730505,167,543.0,561.0,     388,14.7,        728,46.4,52.3,6.2,18.3,28.3,00730000,10.7,2.6,16.2,67.5,0.0,0.0,3.0,Dedham,"          $60,569,642.57","           2,588.3","              $23,401.32","          $66,898,333.21","           2,712.7","              $24,661.16",2022
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,106,550.0,518.0,     634,13.2,        900,49.6,50.0,11.7,18.2,54.3,06450000,14.0,2.6,13.1,62.1,1.9,0.1,6.2,Dennis-Yarmouth,"          $63,534,341.21","           2,794.9","              $22,732.24","          $72,398,752.60","           3,358.4","              $21,557.51",2022
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,104,557.0,540.0,     348,15.3,        683,47.9,51.8,0.4,15.8,23.4,06500000,1.6,1.5,5.6,86.5,0.2,0.0,4.7,Dighton-Rehoboth,"          $44,527,678.09","           2,620.0","              $16,995.30","          $47,007,531.77","           2,707.6","              $17,361.33",2022
Douglas - Douglas High School,00770505,59,592.0,547.0,     186,13.1,        324,48.2,51.5,0.9,18.8,25.9,00770000,0.6,1.5,5.6,90.7,0.0,0.0,1.5,Douglas,"          $19,724,368.65","           1,174.6","              $16,792.41","          $22,119,206.71","           1,254.3","              $17,634.70",2022
Dover-Sherborn - Dover-Sherborn Regional High,06550505,171,643.0,645.0,     376,15.6,        667,50.1,49.5,0.6,13.9,6.3,06550000,3.5,12.7,6.3,70.9,0.3,0.0,6.3,Dover-Sherborn,"          $26,800,422.75","           1,173.3","              $22,841.92","          $28,103,604.75","           1,203.6","              $23,349.62",2022
Dracut - Dracut Senior High,00790505,157,522.0,526.0,     419,17.2,        855,50.4,49.1,6.3,13.2,33.1,00790000,8.8,10.5,12.9,65.7,0.5,0.0,1.6,Dracut,"          $48,788,856.45","           3,676.6","              $13,270.10","          $56,039,179.74","           4,052.9","              $13,826.93",2022
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,166,563.0,559.0,     407,17.7,        928,52.1,47.4,1.1,12.1,30.4,06580000,2.8,2.1,10.8,81.7,0.1,0.1,2.5,Dudley-Charlton Reg,"          $54,392,061.43","           3,494.6","              $15,564.60","          $58,482,317.11","           3,605.0","              $16,222.56",2022
Duxbury - Duxbury High,00820505,220,597.0,580.0,     469,17.2,        929,48.4,51.5,0.3,12.0,7.9,00820000,0.3,1.7,3.1,91.4,0.2,0.0,3.2,Duxbury,"          $50,327,864.49","           2,801.8","              $17,962.69","          $53,182,261.49","           2,855.2","              $18,626.46",2022
East Bridgewater - East Bridgewater JR./SR. High School,00830505,89,554.0,529.0,     527,19.0,        920,45.3,54.5,1.5,17.5,25.5,00830000,6.9,1.1,5.2,82.6,0.5,0.1,3.6,East Bridgewater,"          $31,014,714.10","           2,107.2","              $14,718.45","          $33,756,919.10","           2,206.5","              $15,298.85",2022
East Longmeadow - East Longmeadow High,00870505,140,582.0,573.0,     331,17.9,        817,48.4,51.5,0.5,18.1,25.5,00870000,4.4,6.4,7.8,78.0,0.0,0.0,3.4,East Longmeadow,"          $42,281,822.37","           2,511.1","              $16,837.97","          $46,472,108.07","           2,605.5","              $17,836.16",2022
Easthampton - Easthampton High,00860505,44,559.0,536.0,     188,12.8,        375,47.5,51.2,1.9,23.7,39.2,00860000,1.9,4.8,16.3,74.1,0.3,0.0,2.7,Easthampton,"          $24,133,979.01","           1,421.7","              $16,975.44","          $30,355,439.27","           1,752.6","              $17,320.23",2022
Easton - Oliver Ames High,00880505,280,568.0,566.0,     517,17.0,"      1,092",49.5,50.2,1.7,13.7,19.6,00880000,7.5,3.8,7.1,78.6,0.2,0.0,2.9,Easton,"          $53,870,339.68","           3,445.1","              $15,636.80","          $58,694,405.08","           3,528.3","              $16,635.32",2022
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,146,428.0,410.0,     185,19.0,        378,66.9,33.1,14.0,24.3,78.8,04520000,39.4,1.1,53.7,2.9,0.0,0.0,2.9,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),"          $11,343,771.00",             371.1,"              $30,571.62","          $11,343,771.00",             371.1,"              $30,571.62",2022
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,298,529.0,501.0,"   1,141",19.7,"      1,675",57.3,42.5,0.6,17.9,23.2,08170000,2.2,1.8,14.3,77.9,0.1,0.1,3.8,Essex North Shore Agricultural and Technical School District,"          $36,586,049.11","           1,641.0","              $22,294.97","          $37,058,509.11","           1,649.3","              $22,469.23",2022
Everett - Everett High,00930505,281,495.0,474.0,     951,20.0,"      2,303",49.3,50.7,27.8,13.9,71.0,00930000,14.3,5.0,63.4,15.2,0.4,0.0,1.8,Everett,"         $130,899,153.70","           7,237.2","              $18,086.99","         $150,834,789.40","           8,056.9","              $18,721.19",2022
Excel Academy Charter (District) - Excel Academy Charter School,04100205,165,475.0,484.0,     390,22.4,"      1,357",49.3,50.7,11.9,17.7,64.6,04100000,5.4,1.3,78.9,12.7,0.4,0.5,0.8,Excel Academy Charter (District),"          $26,812,760.89","           1,374.4","              $19,509.27","          $26,812,760.89","           1,374.4","              $19,509.27",2022
Fairhaven - Fairhaven High,00940505,116,542.0,555.0,     339,15.4,        633,49.6,50.2,0.8,10.1,32.7,00940000,1.4,2.2,8.2,84.4,0.5,0.0,3.3,Fairhaven,"          $29,109,354.25","           1,856.5","              $15,679.70","          $31,477,734.02","           1,929.4","              $16,314.78",2022
Fall River - B M C Durfee High,00950505,163,510.0,500.0,"   1,332",17.1,"      2,459",50.4,49.5,20.8,18.0,75.4,00950000,10.5,4.4,30.7,46.4,0.2,0.0,7.8,Fall River,"         $194,340,234.00","          10,565.0","              $18,394.72","         $230,261,525.50","          12,638.1","              $18,219.63",2022
Falmouth - Falmouth High,00960505,127,592.0,573.0,     698,13.9,        774,46.4,52.7,5.4,20.7,36.6,00960000,5.8,1.6,9.0,76.1,1.4,0.0,6.1,Falmouth,"          $70,022,534.19","           3,061.2","              $22,874.21","          $76,169,725.19","           3,300.3","              $23,079.64",2022
Fitchburg - Fitchburg High,00970505,239,467.0,454.0,     546,17.3,"      1,205",50.0,49.9,13.6,18.3,67.6,00970000,9.1,5.7,56.4,22.9,0.0,0.0,6.0,Fitchburg,"          $87,271,737.53","           5,207.8","              $16,757.89","         $104,361,535.90","           5,962.3","              $17,503.57",2022
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,25,607.0,552.0,       0,0.0,          0,0.0,0.0,0.0,0.0,0.0,04130000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Four Rivers Charter Public (District),"           $3,972,200.00",             218.7,"              $18,163.61","           $3,972,200.00",             218.7,"              $18,163.61",2022
Foxborough - Foxborough High,00990505,186,576.0,578.0,     492,14.7,        801,50.1,49.8,1.8,15.0,20.2,00990000,9.6,4.0,7.5,76.3,0.4,0.0,2.3,Foxborough,"          $48,246,684.02","           2,486.3","              $19,405.01","          $54,314,108.52","           2,639.6","              $20,576.64",2022
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,80,570.0,525.0,     707,19.1,"      1,538",52.2,47.9,6.1,9.8,41.0,04460000,62.4,7.6,5.7,18.9,0.5,0.1,4.7,Foxborough Regional Charter (District),"          $24,057,765.94","           1,665.0","              $14,449.02","          $24,057,765.94","           1,665.0","              $14,449.02",2022
Framingham - Framingham High School,01000515,460,565.0,571.0,"   1,183",16.4,"      2,587",49.6,50.1,26.5,19.8,53.2,01000000,6.0,4.3,42.3,43.7,0.0,0.0,3.7,Framingham,"         $197,884,627.00","           9,223.2","              $21,455.09","         $224,379,948.00","           9,979.4","              $22,484.31",2022
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,55,607.0,560.0,     229,17.4,        391,51.7,44.0,0.0,18.7,12.0,04780000,2.3,2.3,3.8,87.2,0.0,0.0,4.4,Francis W. Parker Charter Essential (District),"           $6,206,037.22",             382.2,"              $16,235.97","           $6,206,037.22",             382.2,"              $16,235.97",2022
Franklin - Franklin High,01010505,508,583.0,569.0,"   1,025",15.1,"      1,640",49.2,50.2,1.3,14.2,11.8,01010000,2.6,8.0,5.9,80.9,0.1,0.2,2.3,Franklin,"          $79,441,841.00","           4,788.6","              $16,589.78","          $92,932,730.20","           5,264.9","              $17,651.38",2022
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,10,510.0,479.0,     304,13.5,        595,42.4,57.7,0.2,21.9,53.5,08180000,1.0,0.2,6.2,89.2,0.2,0.3,2.9,Franklin County Regional Vocational Technical,"          $14,470,534.57",             558.7,"              $25,900.37","          $14,470,534.57",             558.7,"              $25,900.37",2022
Freetown-Lakeville - Apponequet Regional High,06650505,126,580.0,568.0,     327,15.7,        692,52.5,47.0,0.3,13.6,18.2,06650000,2.6,0.9,1.9,93.2,0.0,0.0,1.5,Freetown-Lakeville,"          $41,201,527.32","           2,769.9","              $14,874.73","          $44,909,719.54","           2,896.0","              $15,507.50",2022
Frontier - Frontier Regional,06700505,54,593.0,576.0,     580,11.4,        601,47.3,52.3,0.8,18.5,26.8,06700000,1.7,3.7,6.2,84.0,0.0,0.0,4.5,Frontier,"          $12,128,353.22",             607.7,"              $19,957.80","          $14,131,006.90",             687.9,"              $20,542.24",2022
Gardner - Gardner High,01030505,100,495.0,465.0,     345,16.9,        739,46.6,52.4,3.0,19.4,61.0,01030000,4.2,1.2,26.4,59.5,0.3,0.0,8.4,Gardner,"          $35,686,850.52","           2,287.3","              $15,602.17","          $39,761,192.62","           2,546.7","              $15,612.83",2022
Gateway - Gateway Regional High,06720505,14,595.0,549.0,     235,6.6,        169,50.3,49.7,0.0,24.9,44.4,06720000,2.4,0.0,8.3,87.6,1.2,0.0,0.6,Gateway,"          $16,844,927.11",             740.8,"              $22,738.83","          $18,137,285.11",             843.1,"              $21,512.61",2022
Georgetown - Georgetown High School,01050505,69,561.0,556.0,     290,10.5,        300,51.0,49.0,2.3,19.0,17.7,01050000,1.0,0.7,6.0,90.7,0.0,0.7,1.0,Georgetown,"          $21,624,372.21","           1,268.1","              $17,052.58","          $23,877,322.73","           1,320.1","              $18,087.51",2022
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,21,492.0,520.0,     336,16.7,        496,51.4,48.6,9.1,13.3,70.0,04960000,14.5,1.0,49.6,30.0,0.2,0.0,4.6,Global Learning Charter Public (District),"           $7,676,440.00",             501.8,"              $15,299.03","           $7,676,440.00",             501.8,"              $15,299.03",2022
Gloucester - Gloucester High,01070505,90,558.0,552.0,     432,13.7,        808,46.3,53.0,10.0,30.5,42.8,01070000,1.4,1.5,14.6,78.0,0.5,0.5,3.6,Gloucester,"          $58,024,188.61","           2,868.8","              $20,225.94","          $63,676,836.61","           3,173.7","              $20,063.91",2022
Grafton - Grafton High School,01100505,215,587.0,580.0,     447,16.3,        875,49.9,49.7,1.1,13.0,16.0,01100000,2.7,9.9,7.3,77.1,0.2,0.1,2.5,Grafton,"          $49,667,185.74","           3,156.0","              $15,737.38","          $52,898,787.57","           3,267.0","              $16,191.85",2022
Granby - Granby Jr Sr High School,01110505,35,594.0,567.0,     221,12.6,        310,44.5,55.5,3.9,20.0,32.3,01110000,0.0,1.6,9.7,87.1,0.0,0.0,1.6,Granby,"          $13,040,226.71",             708.4,"              $18,408.00","          $14,133,391.52",             792.3,"              $17,838.43",2022
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,39010900,16,577.0,560.0,     359,19.1,"      1,204",55.5,43.4,3.0,24.8,60.6,39010000,7.1,3.8,28.0,52.3,0.1,0.4,8.2,Greater Commonwealth Virtual District,"          $11,855,419.01","           1,085.4","              $10,922.63","          $11,855,419.01","           1,085.4","              $10,922.63",2022
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,62,525.0,504.0,"   1,347",13.7,"      1,405",42.1,57.2,2.1,9.8,45.6,08210000,3.4,2.2,15.2,72.9,0.5,0.0,5.8,Greater Fall River Regional Vocational Technical,"          $33,372,314.00","           1,435.2","              $23,252.73","          $33,441,121.00","           1,448.0","              $23,094.70",2022
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,67,461.0,475.0,"   1,663",16.0,"      1,692",52.3,47.5,9.3,11.6,66.3,08230000,1.6,1.0,81.3,15.7,0.0,0.0,0.5,Greater Lawrence Regional Vocational Technical,"          $51,567,506.74","           1,645.1","              $31,346.12","          $51,646,015.74","           1,657.0","              $31,168.39",2022
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,117,508.0,497.0,"   1,722",17.8,"      2,334",47.5,51.6,6.6,17.0,51.3,08280000,6.8,18.5,34.9,36.3,0.2,0.0,3.3,Greater Lowell Regional Vocational Technical,"          $55,063,374.02","           2,318.2","              $23,752.64","          $55,230,970.02","           2,347.7","              $23,525.57",2022
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,81,518.0,510.0,"   1,961",15.1,"      2,092",47.2,52.6,5.0,11.7,50.8,08250000,8.8,1.0,28.2,56.2,0.2,0.1,5.5,Greater New Bedford Regional Vocational Technical,"          $51,406,049.60","           2,088.1","              $24,618.58","          $51,462,524.60","           2,095.5","              $24,558.59",2022
Greenfield - Greenfield High,01140505,33,583.0,576.0,     308,12.5,        451,49.7,50.1,8.7,22.6,60.5,01140000,4.4,2.2,21.1,66.5,0.2,0.0,5.5,Greenfield,"          $30,758,051.52","           1,581.0","              $19,454.81","          $38,499,948.71","           1,984.1","              $19,404.24",2022
Groton-Dunstable - Groton Dunstable Regional,06730505,189,601.0,613.0,     402,15.8,        680,48.7,51.0,0.7,15.2,7.4,06730000,1.3,6.0,3.2,86.9,0.2,0.2,2.2,Groton-Dunstable,"          $43,917,937.00","           2,352.6","              $18,667.83","          $47,683,843.00","           2,458.9","              $19,392.35",2022
Hadley - Hopkins Academy,01170505,33,568.0,532.0,     134,11.7,        220,49.6,50.5,3.6,11.4,25.9,01170000,5.0,3.2,10.5,75.0,0.0,3.6,2.7,Hadley,"           $9,641,773.38",             511.3,"              $18,857.37","          $11,708,518.37",             629.0,"              $18,614.50",2022
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,106,614.0,598.0,     282,13.6,        450,54.2,45.6,0.7,12.2,10.0,06750000,0.4,5.1,3.6,88.0,0.0,0.0,2.9,Hamilton-Wenham,"          $34,370,073.77","           1,684.0","              $20,409.78","          $38,557,745.44","           1,745.3","              $22,092.33",2022
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,58,546.0,534.0,     252,18.7,        551,47.6,51.9,4.5,14.9,61.0,04990000,28.5,3.5,40.8,23.8,0.5,0.0,2.9,Hampden Charter School of Science East (District),"           $8,667,914.00",             544.6,"              $15,917.57","           $8,667,914.00",             544.6,"              $15,917.57",2022
Hampden-Wilbraham - Minnechaug Regional High,06800505,188,570.0,579.0,     503,15.7,        973,49.6,50.4,0.1,13.0,21.8,06800000,4.1,3.0,10.7,77.5,0.3,0.0,4.4,Hampden-Wilbraham,"          $51,301,384.00","           2,907.9","              $17,642.07","          $54,225,853.89","           2,999.8","              $18,076.49",2022
Hampshire - Hampshire Regional High,06830505,46,608.0,591.0,     585,11.9,        671,52.2,46.9,1.8,23.1,21.3,06830000,0.6,1.3,5.1,90.0,0.2,0.0,2.8,Hampshire,"          $14,668,674.28",             685.7,"              $21,392.26","          $16,449,289.43",             781.7,"              $21,042.97",2022
Hanover - Hanover High,01220505,159,567.0,544.0,     337,15.0,        671,47.8,52.0,0.5,17.9,12.8,01220000,1.5,2.5,2.1,93.1,0.0,0.0,0.8,Hanover,"          $40,252,413.53","           2,621.0","              $15,357.65","          $43,828,155.83","           2,697.4","              $16,248.30",2022
Harvard - Bromfield,01250505,83,642.0,631.0,     300,14.5,        560,50.7,49.1,1.6,8.0,7.5,01250000,2.9,14.5,3.0,75.4,0.0,0.0,4.3,Harvard,"          $21,452,623.96","           1,034.2","              $20,743.21","          $24,628,719.96","           1,094.3","              $22,506.37",2022
Hatfield - Smith Academy,01270505,19,623.0,542.0,     126,8.7,        134,41.8,58.2,0.0,23.1,14.2,01270000,0.0,0.8,3.7,94.8,0.0,0.0,0.8,Hatfield,"           $7,524,839.00",             386.5,"              $19,469.18","           $8,356,059.00",             461.0,"              $18,125.94",2022
Haverhill - Haverhill High,01280505,157,559.0,548.0,     896,16.5,"      2,062",47.6,52.1,10.7,21.4,54.7,01280000,5.9,1.8,40.1,50.1,0.2,0.2,1.7,Haverhill,"         $139,226,559.10","           7,853.6","              $17,727.74","         $157,560,394.20","           8,553.1","              $18,421.44",2022
Hingham - Hingham High,01310505,344,612.0,611.0,     625,13.7,"      1,158",47.0,52.7,0.2,7.3,6.9,01310000,1.6,3.8,4.1,87.4,0.1,0.0,3.1,Hingham,"          $71,521,670.09","           3,840.1","              $18,624.95","          $76,783,790.93","           3,914.6","              $19,614.72",2022
Holbrook - Holbrook Middle High School,01330505,46,545.0,529.0,     376,15.5,        653,46.1,53.6,6.9,17.3,42.4,01330000,26.5,7.5,17.5,41.2,0.3,0.0,7.0,Holbrook,"          $20,727,579.57","           1,293.8","              $16,020.70","          $24,077,688.28","           1,398.4","              $17,218.03",2022
Holliston - Holliston High,01360505,232,609.0,603.0,     516,14.8,        811,48.0,51.1,1.0,16.7,12.0,01360000,1.0,7.6,7.4,80.2,0.6,0.4,2.8,Holliston,"          $43,588,231.84","           2,837.0","              $15,364.20","          $47,942,454.91","           2,941.2","              $16,300.30",2022
Holyoke - Holyoke High,01370505,73,482.0,458.0,"   1,066",16.0,"      1,445",46.7,53.0,19.8,26.9,83.3,01370000,3.3,0.6,81.9,13.0,0.0,0.0,1.3,Holyoke,"         $115,685,724.20","           5,144.6","              $22,486.83","         $141,421,653.30","           6,396.2","              $22,110.26",2022
Hoosac Valley Regional - Hoosac Valley High School,06030505,39,530.0,510.0,     176,12.0,        328,51.8,48.2,0.9,26.8,60.1,06030000,4.0,0.3,3.4,88.7,0.0,0.0,3.7,Hoosac Valley Regional,"          $20,171,050.39","           1,019.2","              $19,791.06","          $22,283,636.39","           1,243.0","              $17,927.30",2022
Hopedale - Hopedale Jr Sr High,01380505,57,584.0,566.0,     325,12.6,        440,48.9,50.5,2.1,19.3,24.1,01380000,1.8,3.0,12.3,80.0,0.2,0.5,2.3,Hopedale,"          $18,040,488.00","           1,122.3","              $16,074.57","          $19,736,003.00","           1,178.5","              $16,746.71",2022
Hopkinton - Hopkinton High,01390505,287,620.0,635.0,"   1,013",18.2,"      1,245",49.8,49.8,1.6,13.4,9.6,01390000,1.1,21.7,5.5,67.6,0.2,0.0,3.8,Hopkinton,"          $63,383,095.28","           4,049.5","              $15,652.08","          $66,548,973.32","           4,113.8","              $16,177.01",2022
Hudson - Hudson High,01410505,94,574.0,565.0,     498,13.9,        831,53.0,46.8,11.2,16.7,37.6,01410000,2.8,1.9,17.5,75.2,0.1,0.0,2.5,Hudson,"          $48,218,059.83","           2,402.1","              $20,073.29","          $55,519,890.35","           2,676.3","              $20,745.02",2022
Hull - Hull High,01420505,55,571.0,542.0,     216,9.6,        243,43.6,55.1,2.9,17.7,31.7,01420000,1.7,0.4,3.7,93.0,0.0,0.0,1.2,Hull,"          $21,206,272.20",             804.3,"              $26,366.12","          $23,661,294.71",             851.3,"              $27,794.31",2022
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,29,638.0,650.0,     436,18.5,        793,50.4,49.1,1.4,23.6,27.1,04350000,8.5,9.0,14.0,62.4,0.4,0.0,5.8,Innovation Academy Charter (District),"          $12,296,855.00",             768.2,"              $16,007.57","          $12,296,855.00",             768.2,"              $16,007.57",2022
Ipswich - Ipswich High,01440505,126,598.0,585.0,     366,11.7,        500,52.0,47.8,1.8,16.0,19.2,01440000,1.8,1.8,8.0,84.6,0.2,0.0,3.6,Ipswich,"          $33,581,897.00","           1,642.0","              $20,451.83","          $35,524,883.00","           1,698.6","              $20,914.21",2022
King Philip - King Philip Regional High,06900505,291,591.0,578.0,     482,16.1,"      1,140",49.2,50.4,0.3,15.5,15.4,06900000,3.2,3.3,4.8,85.3,0.2,0.0,3.3,King Philip,"          $34,938,218.35","           1,895.3","              $18,434.14","          $42,441,361.02","           1,972.5","              $21,516.53",2022
Lawrence - Lawrence High School,01490515,415,426.0,423.0,"   1,312",20.1,"      3,139",46.8,52.9,42.9,14.2,82.2,01490000,1.2,1.4,94.9,2.2,0.0,0.0,0.3,Lawrence,"         $252,754,712.00","          13,176.9","              $19,181.65","         $297,905,755.80","          15,281.1","              $19,495.05",2022
Lee - Lee Middle/High School,01500505,38,543.0,514.0,     239,11.0,        322,45.3,54.4,3.7,14.6,41.9,01500000,0.6,3.4,11.2,81.4,0.0,0.0,3.4,Lee,"          $14,813,720.11",             661.6,"              $22,390.75","          $15,829,948.87",             772.0,"              $20,505.12",2022
Leicester - Leicester High,01510505,49,554.0,530.0,     244,17.1,        418,45.0,55.0,3.6,12.4,31.6,01510000,5.7,3.4,17.0,71.8,0.0,0.0,2.2,Leicester,"          $21,397,545.93","           1,408.7","              $15,189.57","          $26,096,717.33","           1,590.4","              $16,408.90",2022
Lenox - Lenox Memorial High,01520505,36,585.0,569.0,     325,12.0,        442,48.0,52.0,2.7,9.1,25.1,01520000,0.7,4.1,9.3,82.6,0.0,0.0,3.4,Lenox,"          $16,599,918.08",             733.2,"              $22,640.37","          $17,104,268.08",             777.8,"              $21,990.57",2022
Leominster - Center For Technical Education Innovation,01530605,58,537.0,532.0,     158,12.6,        771,35.0,64.7,10.9,25.8,54.6,01530000,8.8,2.3,41.5,44.4,0.0,0.1,2.9,Leominster,"          $90,303,759.38","           5,969.6","              $15,127.27","         $101,451,285.40","           6,376.3","              $15,910.68",2022
Leominster - Leominster High School,01530505,167,548.0,545.0,     638,19.4,"      1,786",47.3,52.4,10.8,19.9,52.6,01530000,9.9,4.2,40.3,42.4,0.1,0.1,3.1,Leominster,"          $90,303,759.38","           5,969.6","              $15,127.27","         $101,451,285.40","           6,376.3","              $15,910.68",2022
Lexington - Lexington High,01550505,677,663.0,688.0,"   1,183",18.0,"      2,329",50.2,49.5,3.7,12.4,7.6,01550000,3.9,45.6,4.5,39.4,0.0,0.0,6.6,Lexington,"         $146,359,764.70","           6,854.6","              $21,352.05","         $158,508,296.90","           6,971.5","              $22,736.61",2022
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,381,625.0,641.0,"   1,233",17.9,"      1,490",51.1,48.6,0.3,20.3,8.9,06950000,5.8,6.0,6.4,72.0,0.1,0.2,9.5,Lincoln-Sudbury,"          $31,907,797.00","           1,507.4","              $21,167.44","          $38,465,870.00","           1,576.4","              $24,401.08",2022
Littleton - Littleton High School,01580505,111,603.0,596.0,     246,13.8,        480,50.6,48.8,0.6,12.1,11.3,01580000,2.5,12.3,4.0,77.5,0.2,0.0,3.5,Littleton,"          $28,429,658.00","           1,649.9","              $17,231.14","          $32,242,689.00","           1,760.3","              $18,316.59",2022
Longmeadow - Longmeadow High,01590505,217,611.0,606.0,     390,17.6,        898,48.8,50.6,0.3,17.2,11.5,01590000,2.5,11.4,7.2,75.3,0.0,0.3,3.3,Longmeadow,"          $47,116,015.02","           2,824.2","              $16,682.96","          $50,620,295.18","           2,873.1","              $17,618.70",2022
Lowell - Lowell High,01600505,316,520.0,532.0,"   2,172",19.4,"      3,256",46.0,53.8,27.0,14.1,68.5,01600000,9.5,29.1,39.3,18.2,0.1,0.0,3.9,Lowell,"         $259,854,944.30","          14,210.0","              $18,286.77","         $302,509,284.40","          16,604.0","              $18,219.06",2022
Ludlow - Ludlow Senior High,01610505,123,562.0,559.0,     391,13.8,        789,48.8,51.1,2.7,16.4,31.2,01610000,1.5,0.9,10.7,84.5,0.0,0.0,2.4,Ludlow,"          $43,922,172.00","           2,348.9","              $18,699.04","          $48,089,686.94","           2,470.2","              $19,467.93",2022
Lunenburg - Lunenburg High,01620505,73,582.0,582.0,     244,13.9,        444,47.1,52.7,1.1,9.9,21.6,01620000,0.9,2.0,9.2,83.3,0.5,0.7,3.4,Lunenburg,"          $25,393,134.62","           1,599.8","              $15,872.69","          $27,364,372.31","           1,724.9","              $15,864.32",2022
Lynn - Classical High,01630505,103,513.0,507.0,     660,20.3,"      1,872",46.3,53.6,34.2,15.7,74.0,01630000,7.5,7.7,70.2,11.9,0.2,0.0,2.5,Lynn,"         $278,648,462.00","          15,975.0","              $17,442.78","         $325,363,918.00","          18,213.5","              $17,863.89",2022
Lynn - Lynn English High,01630510,86,536.0,520.0,     767,20.3,"      2,196",47.0,52.7,37.1,12.3,74.0,01630000,9.1,7.2,72.9,7.9,0.6,0.0,2.3,Lynn,"         $278,648,462.00","          15,975.0","              $17,442.78","         $325,363,918.00","          18,213.5","              $17,863.89",2022
Lynn - Lynn Vocational Technical Institute,01630605,22,469.0,450.0,     789,18.6,"      1,551",46.0,53.8,12.1,21.9,68.7,01630000,5.9,4.6,74.0,12.1,0.3,0.0,3.0,Lynn,"         $278,648,462.00","          15,975.0","              $17,442.78","         $325,363,918.00","          18,213.5","              $17,863.89",2022
Lynnfield - Lynnfield High,01640505,167,586.0,586.0,     269,14.3,        566,48.8,51.2,2.3,16.1,12.0,01640000,1.9,7.8,8.5,79.5,0.0,0.0,2.3,Lynnfield,"          $38,823,604.00","           2,185.9","              $17,760.92","          $41,025,496.00","           2,223.0","              $18,455.01",2022
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,62,471.0,485.0,     406,19.1,"      1,186",51.6,48.4,17.7,23.0,73.1,04690000,49.2,0.4,46.4,1.3,0.2,0.3,2.4,MATCH Charter Public School (District),"          $28,299,622.00","           1,208.9","              $23,409.98","          $28,299,622.00","           1,208.9","              $23,409.98",2022
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,67,720.0,762.0,      19,15.2,         48,50.0,50.0,0.0,0.0,4.2,04680000,4.2,64.6,0.0,29.2,0.0,2.1,0.0,,,,,,,,2022
Malden - Malden High,01650505,388,503.0,520.0,     723,19.0,"      1,879",49.8,50.1,18.7,15.9,62.0,01650000,20.1,21.3,31.4,23.3,0.3,0.0,3.6,Malden,"         $103,789,971.20","           6,244.1","              $16,622.09","         $123,214,011.70","           7,069.7","              $17,428.46",2022
Manchester Essex Regional - Manchester Essex Regional High School,06980510,94,613.0,606.0,     305,11.7,        416,49.5,50.2,0.2,9.6,15.4,06980000,0.0,1.9,1.2,96.2,0.0,0.0,0.7,Manchester Essex Regional,"          $28,134,235.36","           1,258.0","              $22,364.26","          $30,388,699.27","           1,295.5","              $23,457.12",2022
Mansfield - Mansfield High,01670505,258,582.0,583.0,     707,14.0,"      1,103",47.1,52.7,0.9,15.1,18.0,01670000,4.5,7.4,6.9,78.4,0.1,0.0,2.6,Mansfield,"          $67,023,856.47","           3,459.3","              $19,374.98","          $73,234,820.46","           3,584.8","              $20,429.26",2022
Marblehead - Marblehead High,01680505,233,587.0,571.0,     583,14.5,        883,49.5,49.6,2.7,12.2,12.9,01680000,3.6,1.7,7.7,84.1,0.1,0.1,2.6,Marblehead,"          $52,561,039.96","           2,621.2","              $20,052.28","          $58,927,322.04","           2,790.3","              $21,118.63",2022
