,School Name,Grade,District Name, Average % ACT Composite Score , % Students in grade 9-12 that took the ACT, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,Average ACT Reading Score,Average ACT English Score,Average ACT Math Score,Average ACT Science Score,Average ACT Composite Score, Number of Students taking AP exams , Number of AP Exams Taken ,% of Exams that scored 3 or Above,Is Open Enrollment Charter,School LEA,DLEA,Year
138,J.A. Fair High School,9-12,Little Rock School District,14.94,35%,684,85%,3%,12%,83%,1%,97%,3,684,35%,14.85,13.7,15.24,15.38,14.94,147,61,5%,0,6001063,6001000,2019
139,Jacksonville High School,9-12,Jacksonville North Pulaski School District,17.33,37%,1084,57%,32%,6%,59%,2%,68%,3,1084,37%,17.88,16.48,16.9,17.57,17.33,117,93,32%,0,6004009,6004000,2019
140,Jacksonville Lighthouse College Prep Academy High,7-12,Jacksonville Lighthouse Charter,16.72,45%,293,66%,17%,6%,73%,3%,83%,3,179,45%,16.91,15.66,16.22,17.59,16.72,70, N<10 ,20%,1,6050703,6050700,2019
141,Jasper High School,7-12,Jasper School District,18.06,44%,226,71%,96%,0%,1%,2%,4%,1,156,44%,19.24,17.18,17.41,18.09,18.06, N<10 , N<10 ,11%,0,5102006,5102000,2019
142,Jessieville High School,9-12,Jessieville School District,19.44,39%,272,66%,89%,6%,2%,3%,11%,3,272,39%,19.88,18.83,18.25,20.12,19.44,52,69,32%,0,2604030,2604000,2019
143,Joe T. Robinson High School,9-12,Pulaski County Special School District,18.62,46%,702,31%,53%,8%,36%,4%,47%,3,700,46%,19.69,17.82,17.33,18.88,18.62,174,239,41%,0,6003127,6003000,2019
144,Junction City High School,7-12,Junction City School District,17.31,50%,322,64%,59%,2%,39%,0%,41%,4,212,50%,17.92,16.85,16.25,17.65,17.31,28, N<10 ,22%,0,7003028,7003000,2019
145,Kingston High School,7-12,Jasper School District,17.5,54%,125,66%,94%,1%,0%,5%,6%,1,82,54%,18.06,16.89,17.28,17.33,17.5, N<10 , N<10 ,11%,0,5102008,5102000,2019
146,KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools,17.94,44%,156,86%,9%,4%,81%,5%,91%,5,105,44%,16.53,17.29,17.82,19.41,17.94,28,14,50%,1,5440706,5440700,2019
147,KIPP:Delta Collegiate High School,9-12,KIPP Delta Public Schools,18.23,47%,195,88%,3%,2%,95%,1%,97%,5,195,47%,18.14,18.16,16.89,18.8,18.23,39,17,6%,1,5440703,5440700,2019
148,Kirby High School,7-12,Kirby School District,19.56,56%,175,70%,87%,7%,0%,5%,13%,4,110,56%,20.48,18.8,17.88,20.32,19.56, N<10 ,10,10%,0,5503011,5503000,2019
149,Lafayette County High School,7-12,Lafayette County School District,16.64,55%,235,87%,35%,3%,59%,3%,65%,4,154,55%,17.05,15.36,16.64,17.26,16.64,22,18,RV,0,3704013,3704000,2019
150,Lake Hamilton High School,10-12,Lake Hamilton School District,19.78,65%,974,46%,77%,13%,3%,7%,23%,3,974,65%,20.33,19.2,18.83,20.14,19.78,258,288,40%,0,2605034,2605000,2019
151,Lakeside High School,9-12,Lakeside School District (Chicot),16.27,43%,257,78%,13%,12%,73%,1%,87%,5,257,43%,15.9,15.9,15.65,17.14,16.27,38,37,5%,0,903018,903000,2019
152,Lakeside High School,8-12,Lakeside School District (Garland),21.46,53%,1348,35%,72%,12%,8%,8%,28%,3,1054,53%,22.38,20.99,20.09,21.6,21.46,237,410,54%,0,2606044,2606000,2019
153,Lamar High School,8-12,Lamar School District,19,47%,512,67%,87%,6%,2%,4%,13%,1,403,47%,19.94,18.05,17.98,19.54,19,39,26,62%,0,3604019,3604000,2019
154,Lavaca High School,9-12,Lavaca School District,18.96,55%,238,45%,83%,8%,1%,9%,17%,1,238,55%,19.22,18.51,18.87,18.84,18.96,27,36,25%,0,6605057,6605000,2019
155,Lead Hill High School,7-12,Lead Hill School District,19.57,39%,172,90%,88%,5%,1%,6%,12%,1,126,39%,21.38,18.67,18.33,19.19,19.57, N<10 , N<10 ,RV,0,506032,506000,2019
156,Lee High School,7-12,Lee County School District,14.48,41%,283,87%,7%,2%,91%,0%,93%,5,175,41%,14.52,13.45,15.23,14.23,14.48,14,10,RV,0,3904011,3904000,2019
157,Lincoln High School,9-12,Lincoln School District,18.38,47%,353,66%,78%,9%,2%,11%,22%,1,349,47%,19.15,17.47,17.4,19.07,18.38,23,18,44%,0,7205706,7205000,2019
158,LISA Academy High,9-12,LISA Academy,19.14,42%,435,62%,17%,31%,44%,8%,83%,3,435,42%,19.7,18.57,18.52,19.16,19.14,145,216,39%,1,6041703,6041700,2019
159,LISA Academy North High Charter School,9-12,LISA Academy,20.83,42%,235,59%,29%,22%,37%,12%,71%,3,235,42%,20.69,21.21,20.14,20.41,20.83,79,102,26%,1,6041706,6041700,2019
160,Lonoke High School,9-12,Lonoke School District,18.26,47%,525,64%,65%,7%,23%,4%,35%,3,525,47%,18.3,17.38,18.09,18.66,18.26,62,78,31%,0,4301029,4301000,2019
161,Magazine High School,7-12,Magazine School District,18.97,48%,243,74%,91%,4%,1%,5%,9%,1,168,48%,19.16,18.63,18.34,19.03,18.97, N<10 ,10,10%,0,4202008,4202000,2019
162,Magnet Cove High School,7-12,Magnet Cove School District,19.74,46%,332,41%,95%,4%,1%,0%,5%,3,223,46%,20.31,19.02,18.44,20.57,19.74,40,46,41%,0,3003014,3003000,2019
163,Magnolia High School,10-12,Magnolia School District,17.94,61%,587,63%,40%,4%,51%,4%,60%,4,587,61%,18.12,17.42,17.2,18.53,17.94,169,225,29%,0,1402009,1402000,2019
164,Malvern High School,9-12,Malvern School District,18.96,21%,533,65%,54%,11%,28%,7%,46%,3,533,21%,19.53,18.63,18.04,19.01,18.96,157,131,14%,0,3004023,3004000,2019
165,Mammoth Spring High School,7-12,Mammoth Spring School District,19.04,40%,228,72%,97%,1%,0%,2%,3%,2,125,40%,20.16,18.64,17.28,19.56,19.04, N<10 ,10,10%,0,2501002,2501000,2019
166,Manila High School,9-12,Manila School District,20.19,44%,323,51%,91%,8%,0%,1%,9%,2,323,44%,20.06,19.37,20.12,20.65,20.19,56,56,30%,0,4712044,4712000,2019
167,Mansfield High School,9-12,Mansfield School District,19.77,39%,243,60%,88%,3%,0%,8%,12%,1,243,39%,20.65,18.86,19.65,19.56,19.77,17,40,38%,0,6606062,6606000,2019
168,Marion High School,10-12,Marion School District,18.65,64%,948,69%,39%,5%,53%,3%,61%,2,948,64%,19.24,18.41,17.53,18.71,18.65,277,377,27%,0,1804015,1804000,2019
169,Marked Tree High School,7-12,Marked Tree School District,16.78,42%,229,81%,64%,1%,34%,0%,36%,2,149,42%,16.96,15.85,16.63,17.11,16.78,31,31,19%,0,5604017,5604000,2019
170,Marmaduke High School,7-12,Marmaduke School District,19.06,35%,339,56%,97%,2%,0%,1%,3%,2,232,35%,19.51,18.38,17.26,20.38,19.06,16, N<10 ,44%,0,2803017,2803000,2019
171,Marshall High School,7-12,Searcy County School District,19.38,49%,354,69%,95%,2%,0%,3%,5%,1,228,49%,19.96,18.69,17.92,20.42,19.38,16,12,17%,0,6502006,6502000,2019
172,Marvell-Elaine High School,7-12,Marvell-Elaine School District,16.17,46%,167,96%,7%,2%,90%,1%,93%,5,114,46%,17.25,14.88,14.92,16.92,16.17,23,10,RV,0,5404032,5404000,2019
173,Maumelle Charter High School,6-12,Academics Plus Public Charter Schools,22.32,47%,545,18%,72%,6%,14%,8%,28%,3,259,47%,22.95,23.29,20.78,21.68,22.32,118,176,24%,1,6040703,6040700,2019
174,Maumelle High School,9-12,Pulaski County Special School District,19.09,49%,991,36%,44%,6%,45%,5%,56%,3,991,49%,20.03,18.49,18.19,19.12,19.09,209,256,44%,0,6003151,6003000,2019
175,Mayflower High School,9-12,Mayflower School District,17.44,52%,355,54%,79%,5%,13%,4%,21%,3,355,52%,17.78,16.67,16.87,17.77,17.44,26,34,41%,0,2305026,2305000,2019
176,Maynard High School,7-12,Maynard School District,16.73,42%,222,69%,95%,2%,0%,3%,5%,2,154,42%,16.59,15.5,16.64,17.82,16.73,39,11,9%,0,6102006,6102000,2019
177,McClellan Magnet High School,9-12,Little Rock School District,15.24,30%,709,86%,3%,15%,82%,1%,97%,3,709,30%,14.99,13.98,15.59,15.75,15.24,100,118,6%,0,6001064,6001000,2019
178,McCrory High School,7-12,McCrory School District,20.86,56%,287,58%,82%,1%,15%,1%,18%,2,195,56%,20.95,20.25,20.36,21.25,20.86,32,47,15%,0,7403013,7403000,2019
179,McGehee High School,7-12,McGehee School District,18.02,45%,533,69%,48%,5%,44%,3%,52%,5,330,45%,18.53,17.63,17.45,17.88,18.02,78,54,19%,0,2105028,2105000,2019
180,Melbourne High School,7-12,Melbourne School District,19.53,42%,400,54%,96%,2%,1%,1%,4%,2,268,42%,19.74,19.81,18.49,19.7,19.53,39,14,29%,0,3302006,3302000,2019
181,Mena High School,9-12,Mena School District,20.32,43%,521,57%,86%,6%,1%,8%,14%,4,521,43%,21.16,19.88,19.72,20.22,20.32,98,83,25%,0,5703012,5703000,2019
182,Midland High School,7-12,Midland School District,17.92,42%,245,66%,94%,4%,1%,1%,6%,2,163,42%,18.97,17.36,16.33,17.92,17.92,15,22,27%,0,3211035,3211000,2019
183,Mills University Studies High School,9-12,Pulaski County Special School District,15.79,43%,623,58%,18%,17%,62%,3%,82%,3,623,43%,15.96,14.5,15.77,16.34,15.79,78,125,22%,0,6003125,6003000,2019
184,Miner Academy,6-12,Bauxite School District,16.6,57%,16,50%,88%,13%,0%,0%,13%,3,14,57%,17.6,15.6,15.6,17,16.6, N/A , N/A ,N/A,0,6301703,6301000,2019
185,Mineral Springs High School,7-12,Mineral Springs School District,16.72,51%,173,87%,14%,13%,71%,2%,86%,4,111,51%,17,15.44,16.2,17.6,16.72,22, N<10 ,RV,0,3104006,3104000,2019
186,Monticello High School,9-12,Monticello School District,19.71,46%,508,48%,57%,5%,36%,2%,43%,5,508,46%,20.39,18.85,19.21,19.8,19.71,70,63,30%,0,2203012,2203000,2019
187,Morrilton Sr. High School,9-12,South Conway County School District,18.98,46%,680,68%,73%,7%,16%,5%,27%,1,680,46%,19.57,18.87,17.81,18.98,18.98,78,71,39%,0,1507036,1507000,2019
188,Mount Ida High School,7-12,Mount Ida School District,18.84,49%,210,66%,91%,3%,0%,6%,9%,4,143,49%,19,16.97,18.65,19.84,18.84, N<10 , N<10 ,78%,0,4902007,4902000,2019
189,Mountain Home Career Academies,9-12,Mountain Home School District,20.68,43%,1300,39%,90%,5%,1%,5%,10%,1,1296,43%,21.6,20.46,18.92,21.13,20.68,273,184,26%,0,303703,303000,2019
190,Mountain Pine High School,7-12,Mountain Pine School District,17.97,37%,266,79%,80%,4%,9%,8%,20%,3,185,37%,18.15,17.35,16.97,18.79,17.97, N<10 , N/A ,N/A,0,2607047,2607000,2019
191,Mountain View High School,9-12,Mountain View School District,19.79,44%,357,63%,94%,3%,1%,2%,6%,2,357,44%,20.97,20.44,17.79,19.57,19.79,82,66,36%,0,6901007,6901000,2019
192,Mountainburg High School,9-12,Mountainburg School District,18.13,47%,201,68%,93%,3%,0%,4%,7%,1,201,47%,18.79,17.68,17.21,18.26,18.13,16,11,45%,0,1703013,1703000,2019
193,Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,19.46,44%,174,86%,97%,1%,1%,1%,3%,1,63,44%,19.15,20.77,17.46,19.54,19.46, N<10 ,10,RV,0,5106004,5106000,2019
194,Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District,19.48,46%,248,58%,96%,0%,2%,2%,4%,3,161,46%,20.21,18.45,19.06,19.76,19.48,30,25,4%,0,2306030,2306000,2019
195,Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools,18.14,34%,126,56%,96%,1%,1%,2%,4%,1,126,34%,18.91,17.73,17.27,18.36,18.14,34,23,26%,0,1704017,1704000,2019
196,Murfreesboro High School,7-12,South Pike County School District,17.63,49%,308,65%,84%,5%,8%,4%,16%,4,197,49%,17.44,17.19,16.51,18.79,17.63, N/A , N/A ,N/A,0,5504015,5504000,2019
197,Nashville High School,10-12,Nashville School District,18.62,71%,414,70%,51%,24%,21%,4%,49%,4,414,71%,18.55,18.53,18.15,18.48,18.62,99,10,10%,0,3105011,3105000,2019
198,Nemo Vista High School,9-12,Nemo Vista School District,18.32,56%,129,57%,88%,3%,1%,9%,12%,1,129,56%,18.53,17.12,18,19.06,18.32,19,23,35%,0,1503017,1503000,2019
199,Nettleton High School,9-12,Nettleton School District,18.96,36%,985,64%,41%,9%,46%,4%,59%,2,985,36%,19.46,18.33,18.16,19.23,18.96,138,158,27%,0,1611042,1611000,2019
200,Nevada High  School,7-12,Nevada School District,17.18,54%,182,75%,53%,2%,40%,5%,47%,4,129,54%,17.54,16.68,16.43,17.21,17.18,31,21,14%,0,5008014,5008000,2019
201,Newport High School,7-12,Newport School District,17.14,42%,519,76%,54%,7%,36%,4%,46%,2,332,42%,17.51,16.26,17.33,17.1,17.14,72,49,35%,0,3403013,3403000,2019
202,Norfork High School,7-12,Norfork School District,19.57,43%,214,73%,98%,1%,0%,1%,2%,1,143,43%,20.33,18.48,18.67,20.14,19.57, N<10 , N<10 ,56%,0,304022,304000,2019
203,North Little Rock Center Of Excellence,9-12,North Little Rock School District,17.58,45%,386,74%,20%,13%,63%,3%,80%,3,386,45%,18.28,16.33,16.69,18.3,17.58,132,157,20%,0,6002703,6002000,2019
204,North Little Rock High School,9-12,North Little Rock School District,18.36,42%,2146,70%,29%,9%,59%,3%,71%,3,2141,42%,18.91,18.1,17.75,18.1,18.36,445,483,41%,0,6002082,6002000,2019
205,Northside High School,10-12,Fort Smith School District,18.38,56%,1820,75%,28%,47%,12%,13%,72%,1,1820,56%,18.77,17.3,17.95,18.95,18.38,479,733,42%,0,6601024,6601000,2019
206,Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Arkansas Classical Academy,25.94,37%,227,7%,69%,15%,2%,15%,31%,1,108,37%,28.12,25.76,24.24,25.53,25.94,19,45,60%,1,442703,442700,2019
207,Oark High School,7-12,Jasper School District,18.71,48%,84,87%,95%,4%,1%,0%,5%,1,58,48%,20.57,17.79,17.5,18.79,18.71, N/A , N/A ,N/A,0,5102024,5102000,2019
208,Oden Schools,P-12,Ouachita River School District,18.71,67%,149,79%,91%,3%,0%,7%,9%,4,42,67%,19.82,17.06,17.82,19.47,18.71, N<10 , N<10 ,RV,0,5706009,5706000,2019
209,Omaha High School,7-12,Omaha School District,19.39,38%,179,72%,90%,6%,1%,4%,10%,1,108,38%,20.52,17.83,19.17,19.96,19.39, N/A , N/A ,N/A,0,504023,504000,2019
210,Osceola High School,9-12,Osceola School District,15.31,46%,331,88%,10%,3%,84%,3%,90%,2,331,46%,15.03,13.6,15.38,16.58,15.31,35,68,4%,0,4713051,4713000,2019
211,Ouachita High School,7-12,Ouachita School District,19.54,48%,256,52%,96%,2%,0%,2%,4%,3,165,48%,19.84,19.51,17.76,20.57,19.54,25,25,12%,0,3005030,3005000,2019
212,Ozark Jr/Sr High School,8-12,Ozark School District,19.47,46%,678,58%,94%,3%,0%,3%,6%,1,536,46%,20.63,19.52,18.06,19.04,19.47,37,39,51%,0,2404017,2404000,2019
213,Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District,19.24,42%,371,86%,87%,2%,11%,0%,13%,2,240,42%,19.41,19.61,18.22,18.98,19.24, N/A , N/A ,N/A,0,6205028,6205000,2019
214,Pangburn High School,7-12,Pangburn School District,18.45,53%,432,56%,95%,3%,1%,0%,5%,2,278,53%,19.06,17.2,17.53,19.5,18.45, N<10 , N<10 ,67%,0,7309039,7309000,2019
215,Paragould High School,9-12,Paragould School District,19.02,42%,901,59%,85%,6%,4%,5%,15%,2,901,42%,19.67,19.03,17.75,18.85,19.02,186,243,52%,0,2808043,2808000,2019
216,Paris High School,9-12,Paris School District,17.84,49%,312,71%,87%,3%,4%,6%,13%,1,311,49%,18.35,17.18,17.23,18.08,17.84,33,28,32%,0,4203012,4203000,2019
217,Parkers Chapel High School,7-12,Parkers Chapel School District,20.21,59%,333,32%,85%,2%,11%,2%,15%,4,213,59%,20.54,20.11,19.63,20.02,20.21,56,38,21%,0,7007040,7007000,2019
218,Parkview Magnet High School,9-12,Little Rock School District,18.9,51%,1076,61%,14%,16%,66%,4%,86%,3,1076,51%,19.29,18.45,18.09,19.27,18.9,354,445,32%,0,6001005,6001000,2019
219,Pea Ridge High School,9-12,Pea Ridge School District,19.08,46%,701,32%,89%,8%,0%,3%,11%,1,701,46%,19.92,18.33,18.49,18.96,19.08,156,209,22%,0,407027,407000,2019
220,Perryville High School,7-12,Perryville School District,19.01,48%,441,61%,94%,2%,1%,3%,6%,1,291,48%,19.74,18.73,18.42,18.61,19.01,41,26,27%,0,5303011,5303000,2019
221,Piggott High School,7-12,Piggott School District,17.13,53%,380,54%,94%,3%,2%,2%,6%,2,260,53%,18.3,16.28,16.17,17.47,17.13,11,11,82%,0,1104018,1104000,2019
222,Pine Bluff High School,9-12,Pine Bluff School District,15.52,42%,903,78%,2%,1%,97%,0%,98%,3,903,42%,15.53,13.79,15.81,16.21,15.52,122,143,7%,0,3505042,3505000,2019
223,Pocahontas High School,10-12,Pocahontas School District,21.59,69%,434,50%,87%,3%,1%,9%,13%,2,434,69%,21.42,21.19,21.26,21.75,21.59,152,225,32%,0,6103010,6103000,2019
224,Polk County Virtual Academy,K-12,Mena School District,22,10%,23,48%,91%,9%,0%,0%,9%,4,10,10%,21,17,23,26,22, N/A , N/A ,N/A,1,5703703,5703000,2019
225,Pottsville High School,10-12,Pottsville School District,21.45,69%,365,36%,90%,7%,2%,1%,10%,1,365,69%,22.68,22.41,19.2,20.85,21.45,84,103,56%,0,5804014,5804000,2019
226,Poyen High School,7-12,Poyen School District,19.51,57%,300,50%,94%,4%,1%,1%,6%,3,196,57%,19.82,18.51,18.84,20.08,19.51,18,19,16%,0,2703010,2703000,2019
227,Prairie Grove High School,9-12,Prairie Grove School District,20.35,44%,620,35%,87%,5%,2%,6%,13%,1,620,44%,20.82,20.07,19.62,20.25,20.35,219,310,46%,0,7206703,7206000,2019
228,Premier High School of Little Rock,9-12,Responsive Ed Solutions Premier High School of Little Rock,13.85,22%,95,82%,5%,2%,92%,1%,95%,3,95,22%,14.77,12.46,14,13.69,13.85, N/A , N/A ,N/A,1,6053703,6053700,2019
229,Premier High School of North Little Rock,9-12,Responsive Ed Solutions Premier High School of North Little Rock,15.57,10%,70,86%,14%,4%,80%,1%,86%,3,70,10%,14.86,14.71,15.86,16.14,15.57, N/A , N/A ,N/A,1,6062703,6062700,2019
230,Prescott High School,9-12,Prescott School District,17.68,47%,294,67%,52%,5%,41%,2%,48%,4,294,47%,18.32,17,16.97,17.89,17.68,50,43,14%,0,5006024,5006000,2019
231,Quitman High School,9-12,Quitman School District,20.62,52%,229,51%,96%,2%,0%,1%,4%,2,229,52%,21.14,20.32,19.09,21,20.62,23,19,16%,0,1203011,1203000,2019
232,Rector High School,7-12,Rector School District,19.38,54%,263,67%,96%,3%,0%,0%,4%,2,166,54%,19.82,18.38,19.03,19.41,19.38,54,54,11%,0,1106023,1106000,2019
233,Rison High School,9-12,Cleveland County School District,19.21,50%,245,57%,67%,2%,28%,3%,33%,5,245,50%,20,17.82,18.44,20.15,19.21,48,58,14%,0,1305010,1305000,2019
234,River Valley Virtual Academy,K-12,Van Buren School District,18.43,50%,50,66%,78%,8%,6%,8%,22%,1,24,50%,20,18,17.57,18.29,18.43, N/A , N/A ,N/A,0,1705703,1705000,2019
235,Rivercrest High School,7-12,Rivercrest School District,18.91,45%,548,71%,66%,5%,28%,1%,34%,2,352,45%,18.54,18.22,18.76,19.43,18.91,42,32,19%,0,4706066,4706000,2019
236,Riverside High School,7-12,Riverside School District,19.56,46%,357,55%,90%,7%,1%,2%,10%,2,242,46%,20.67,19.56,17.94,19.22,19.56, N<10 , N<10 ,11%,0,1613021,1613000,2019
237,Riverview High School,9-12,Riverview School District,16.94,41%,375,69%,64%,21%,11%,4%,36%,2,375,41%,17.54,16.08,16.15,17.42,16.94,22,26,31%,0,7307032,7307000,2019
238,Rogers Heritage High School,9-12,Rogers School District,19.04,46%,2043,51%,42%,50%,1%,7%,58%,1,2039,46%,19.77,18.21,18.45,19.11,19.04,660,780,41%,0,405052,405000,2019
239,Rogers High School,9-12,Rogers School District,19.43,48%,2089,43%,43%,50%,2%,6%,57%,1,2083,48%,19.84,18.97,18.95,19.35,19.43,681,895,49%,0,405048,405000,2019
240,Rogers New Technology High School,9-12,Rogers School District,20.2,50%,645,55%,47%,47%,1%,5%,53%,1,645,50%,21.28,20.1,18.6,20.31,20.2,308,385,34%,0,405703,405000,2019
241,Rose Bud High School,7-12,Rose Bud School District,19.75,43%,382,52%,93%,5%,0%,2%,7%,2,253,43%,21.42,19.17,18.15,19.92,19.75,75,38,21%,0,7310043,7310000,2019
242,Rural Special High School,7-12,Mountain View School District,22.7,40%,90,67%,97%,2%,0%,1%,3%,2,65,40%,23.7,23.2,20.4,22.7,22.7, N/A , N/A ,N/A,0,6901012,6901000,2019
243,Russellville High School,10-12,Russellville School District,20.05,59%,1188,48%,62%,25%,8%,5%,38%,1,1188,59%,20.69,19.59,19.01,20.33,20.05,408,622,55%,0,5805024,5805000,2019
244,Salem High School,7-12,Salem School District,20.04,49%,399,59%,91%,3%,1%,5%,9%,2,259,49%,20.1,20.69,18.82,19.92,20.04,24,23,30%,0,2502006,2502000,2019
245,School For The Deaf,K-12,Arkansas School For The Deaf,11.83,22%,103,79%,55%,11%,27%,7%,45%,3,36,22%,10.33,10.5,13.67,12.5,11.83, N/A , N/A ,N/A,0,6092004,6092000,2019
246,Scranton High School,7-12,Scranton School District,19.2,49%,195,58%,89%,4%,1%,6%,11%,1,137,49%,19.4,18,18.54,20.11,19.2,22,39,23%,0,4204019,4204000,2019
247,Searcy High School,9-12,Searcy School District,21.02,49%,1072,42%,72%,10%,11%,7%,28%,2,1072,49%,21.69,21.2,19.57,21.08,21.02,257,185,43%,0,7311052,7311000,2019
248,Sheridan High School,9-12,Sheridan School District,20.55,46%,1225,40%,90%,4%,2%,4%,10%,3,1225,46%,21.29,20.14,19.4,20.77,20.55,297,467,40%,0,2705021,2705000,2019
249,Shirley High School,7-12,Shirley School District,19.23,41%,164,80%,96%,1%,2%,1%,4%,1,111,41%,19.82,18.5,18.41,19.55,19.23, N<10 , N<10 ,89%,0,7104015,7104000,2019
250,Siloam Springs High School Conversion Charter,9-12,Siloam Springs School District,19.92,43%,1336,43%,55%,30%,1%,13%,45%,1,1335,43%,20.53,18.82,19.88,19.85,19.92,350,434,47%,0,406703,406000,2019
251,Sloan-Hendrix High School,7-12,Sloan-Hendrix School District,18.8,42%,333,67%,98%,1%,1%,1%,2%,2,220,42%,20.44,18.42,17.02,18.76,18.8,40, N<10 ,22%,0,3806019,3806000,2019
252,Smackover High School,9-12,Smackover-Norphlet School District,18.85,49%,326,53%,71%,4%,23%,3%,29%,4,326,49%,19.51,18.48,17.98,18.68,18.85,61,54,20%,0,7008045,7008000,2019
253,South Side High School,7-12,South Side School District (Van Buren),19.07,47%,241,57%,93%,1%,0%,5%,7%,1,167,47%,19.43,18.31,18.45,19.52,19.07,23,16,13%,0,7105019,7105000,2019
254,Southeast Arkansas Preparatory High School,9-12,Southeast Arkansas Preparatory High School,14,33%,107,93%,1%,0%,99%,0%,99%,3,107,33%,13.25,11.38,15.88,15.63,14, N/A , N/A ,N/A,1,3543703,3543700,2019
255,Southside Charter High School,10-12,Southside School District (Independence),19.19,66%,433,50%,91%,6%,1%,2%,9%,2,433,66%,19.67,19.25,18.02,19.05,19.19,50,15,53%,0,3209703,3209000,2019
256,Southside High School,10-12,Fort Smith School District,22.08,66%,1342,42%,61%,12%,6%,21%,39%,1,1337,66%,22.82,22.42,20.58,21.94,22.08,419,795,67%,0,6601025,6601000,2019
257,Sparkman High School,7-12,Harmony Grove School District (Ouachita),16.6,51%,59,75%,46%,20%,34%,0%,54%,4,43,51%,17.8,14.5,16.1,17.2,16.6, N<10 ,10,RV,0,5205012,5205000,2019
258,Spring Hill High School,7-12,Spring Hill School District,19.44,60%,278,43%,83%,6%,1%,10%,17%,4,159,60%,19.61,19.66,18.1,19.71,19.44,24,10,70%,0,2906026,2906000,2019
259,Springdale High School,10-12,Springdale School District,18.18,42%,2216,79%,20%,57%,3%,20%,80%,1,2213,42%,18.24,17.11,18.37,18.46,18.18,560,448,48%,0,7207049,7207000,2019
260,St. Joe K-12 School,K-12,Ozark Mountain School District,19,33%,152,72%,95%,1%,0%,4%,5%,1,43,33%,20.6,18,16.6,20.6,19, N/A , N/A ,N/A,0,6505015,6505000,2019
261,St. Paul High School,7-12,Huntsville School District,18.31,39%,114,78%,88%,7%,0%,5%,12%,1,76,39%,17.63,17.94,18.19,18.81,18.31, N/A , N/A ,N/A,0,4401012,4401000,2019
262,Star City High School,9-12,Star City School District,18.54,50%,475,58%,70%,6%,22%,2%,30%,5,474,50%,18.89,18.45,17.64,18.69,18.54,145,146,21%,0,4003016,4003000,2019
263,Strong-Huttig Schools,K-12,Strong-Huttig School District,15.3,43%,289,93%,22%,3%,74%,1%,78%,4,83,43%,15.3,13.7,15.55,16.25,15.3, N<10 , N/A ,N/A,0,7009050,7009000,2019
264,Stuttgart High School,9-12,Stuttgart School District,18.57,53%,466,52%,50%,4%,43%,3%,50%,5,463,53%,18.95,17.78,18.42,18.55,18.57,77,116,33%,0,104025,104000,2019
265,Sylvan Hills High School,9-12,Pulaski County Special School District,18.35,45%,1428,44%,44%,6%,45%,4%,56%,3,1424,45%,18.85,17.89,17.65,18.39,18.35,238,312,40%,0,6003128,6003000,2019
266,Taylor High School,7-12,Emerson-Taylor-Bradley School District,21.23,48%,188,31%,96%,2%,2%,1%,4%,4,104,48%,23.77,20.31,19.08,21,21.23, N/A , N/A ,N/A,0,1408019,1408000,2019
267,The Academies At Jonesboro High School,10-12,Jonesboro School District,18.68,62%,1325,66%,37%,15%,44%,4%,63%,2,1323,62%,19.1,17.82,18.47,18.7,18.68,570,862,33%,0,1608027,1608000,2019
268,The Academies Of West Memphis Charter School,10-12,West Memphis School District,16.92,57%,1058,72%,19%,2%,78%,1%,81%,2,1055,57%,16.72,16.49,16.85,17.08,16.92,171,177,13%,0,1803703,1803000,2019
269,Timbo High School,7-12,Mountain View School District,17.6,47%,86,87%,97%,3%,0%,0%,3%,2,51,47%,17.8,16,17.3,18.7,17.6, N<10 , N<10 ,RV,0,6901016,6901000,2019
270,Trumann High School,9-12,Trumann School District,17.86,48%,437,70%,78%,8%,14%,1%,22%,2,429,48%,18.13,17.01,17.55,18.19,17.86,66,53,8%,0,5605023,5605000,2019
271,Tuckerman High School,8-12,Jackson Co. School District,18.22,48%,310,63%,92%,1%,6%,1%,8%,2,249,48%,19,18.1,16.96,18.29,18.22,36,29,21%,0,3405025,3405000,2019
272,Two Rivers High School,5-12,Two Rivers School District,17.35,38%,531,78%,83%,13%,1%,4%,17%,1,263,38%,18.63,16.61,15.67,17.9,17.35,17,11,27%,0,7510019,7510000,2019
273,Umpire K-12 School,K-12,Cossatot River School District,18.9,55%,107,77%,67%,29%,0%,4%,33%,4,33,55%,20.4,19.4,16.4,18.9,18.9, N/A , N/A ,N/A,0,5707024,5707000,2019
274,Valley Springs High School,9-12,Valley Springs School District,19.83,52%,276,37%,95%,2%,0%,3%,5%,1,275,52%,21.47,19.78,18.47,19.25,19.83,46,49,43%,0,505027,505000,2019
275,Valley View High School,10-12,Valley View School District,22.28,73%,657,19%,87%,4%,4%,5%,13%,2,656,73%,23.2,22.27,20.73,22.24,22.28,183,169,58%,0,1612048,1612000,2019
