RCDTS,Type,School Name,District,City,County,District Type,School Type,Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,Grades Served,Summative Designation,Summative Designation: Student Group(s),$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,Grades Served,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
150162990250012,School,Fenger Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,203,0,96.6,0,4.6,0.1,0.3,1.9,23.6,22.7,0,85.7,25.6,182.0,73.7,87.7,7.6,16.0,5.0,35.6,64.4,52.2,68.9,86439.0,118951.0,77.7,8.6,95.1,0,2.1,9 - 12,Intensive,"All Students, From Comprehensive",22577.38,33770.53,9 - 12,371.8,346.2,96.10,3.90,0.00,0.00,2023
150162990250013,School,Foreman High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,615,4.1,14.8,80.2,0,0.1,0,0,25.0,18.9,51.9,89.9,6.2,182.0,73.9,75.8,7.2,14.9,5.0,32.7,67.3,82.9,38.5,86439.0,118951.0,68.9,5.5,17.0,76.4,0,9 - 12,Intensive,"Low Graduation Rate, From Comprehensive",15239.33,22281.38,9 - 12,379.3,388.5,87.80,10.10,2.00,0.00,2023
150162990250014,School,Back of The Yards IB HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1000,1.0,1.5,95.9,1.3,0.1,0,1.9,15.7,9.0,37.5,93.3,0,182.0,86.3,49.7,3.1,20.9,5.0,56.4,43.6,81.1,64.1,86439.0,118951.0,44.6,8.6,0,92.8,0,9 - 12,Commendable,All Students,11407.6,17503.35,9 - 12,447.4,456.9,45.60,37.60,16.50,0.40,2023
150162990250015,School,Gage Park High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,346,0,28.3,70.2,4.6,0,0.3,0,20.8,17.6,50.9,94.5,25.1,182.0,73.4,89.2,7.9,13.7,3.0,39.4,60.6,83.3,60.6,86439.0,118951.0,82.2,0,46.3,52.4,2.1,9 - 12,Intensive,"All Students, From Comprehensive",15976.73,23754.84,9 - 12,366.7,363.0,96.00,4.00,0.00,0.00,2023
150162990250016,School,Harlan Community Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,206,11.1,94.2,5.3,4.6,0.1,0.3,0,25.7,18.4,5.3,93.2,11.7,182.0,72.7,85.6,11.0,8.6,5.0,45.0,55.0,73.3,30.0,86439.0,118951.0,80.4,8.6,93.9,0,2.1,9 - 12,Intensive,"All Students, From Comprehensive",24991.35,34817.12,9 - 12,357.7,359.5,92.90,7.10,0.00,0.00,2023
150162990250019,School,Hirsch Metropolitan High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,105,11.1,92.4,0,4.6,0.1,0.3,0,25.7,23.8,0,81.9,16.2,182.0,70.0,88.2,8.6,15.0,5.0,42.1,57.9,83.3,47.4,86439.0,118951.0,81.0,8.6,96.4,0,2.1,9 - 12,Intensive,"All Students, From Comprehensive",29539.51,40717.27,9 - 12,360.5,335.9,97.40,0.00,2.60,0.00,2023
150162990250020,School,Hubbard High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1666,1.5,3.8,94.1,4.6,0.1,0,0,17.6,12.9,35.2,93.5,5.1,182.0,77.4,89.2,4.6,18.0,5.0,42.0,58.0,91.6,42.5,86439.0,118951.0,77.9,0,4.9,93.5,2.1,9 - 12,Commendable,All Students,10885.58,16793.51,9 - 12,420.4,405.4,74.10,20.30,5.40,0.20,2023
150162990250021,School,Hyde Park Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,809,11.1,97.8,0,4.6,0.1,0.3,1.5,20.8,17.8,1.6,98.1,4.6,182.0,71.9,92.7,2.7,21.1,2.1,28.3,71.7,84.9,54.7,86439.0,118951.0,86.0,0,97.1,0,2.1,9 - 12,Targeted,Children with Disabilities,11825.9,18348.13,9 - 12,373.5,374.0,91.70,8.30,0.00,0.00,2023
150162990250022,School,Thomas Kelly College Preparatory,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1685,1.3,2.8,84.3,11.3,0.1,0,0,22.6,17.3,46.1,95.0,2.8,182.0,78.9,73.6,5.3,17.6,5.0,38.6,60.6,91.6,34.6,86439.0,118951.0,66.7,0,3.9,87.9,5.1,9 - 12,Commendable,All Students,12777.41,18818.5,9 - 12,403.3,397.7,80.00,15.00,4.80,0.20,2023
150162990250023,School,Kelvyn Park High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,492,0,11.2,85.8,4.6,0.1,0,0,26.4,18.7,52.6,84.3,5.1,182.0,74.9,80.5,8.4,12.1,5.0,42.2,53.3,82.7,44.4,86439.0,118951.0,73.6,0,13.9,82.0,2.1,7 - 12,Intensive,"Low Graduation Rate, From Comprehensive",14725.28,21971.28,7 - 12,374.0,369.1,93.80,4.90,1.20,0.00,2023
150162990250024,School,Kennedy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1588,12.7,3.9,82.1,0.8,0,0,0,26.0,19.5,24.2,65.3,0.9,182.0,81.1,65.6,5.5,20.3,5.0,34.1,65.0,90.0,49.3,86439.0,118951.0,60.6,14.5,6.5,79.0,2.1,9 - 12,Targeted,English Learner,10978.22,17484.83,9 - 12,440.9,417.2,69.80,24.10,6.10,0.00,2023
150162990250025,School,Kenwood Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,2294,5.4,85.0,5.8,1.2,0,0,2.4,14.5,5.1,2.6,56.5,5.1,182.0,88.4,56.1,1.9,15.4,5.0,43.8,56.3,92.2,50.8,86439.0,118951.0,39.8,7.3,82.5,0,0,7 - 12,Commendable,All Students,9752.55,15393.0,7 - 12,490.3,471.0,39.70,39.50,19.50,1.30,2023
150162990250026,School,Lake View High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1404,8.8,12.9,73.0,3.1,0,0,1.6,25.3,15.9,23.4,74.8,2.4,182.0,78.8,70.3,3.6,15.7,5.0,35.6,64.4,94.6,62.5,86439.0,118951.0,62.9,13.0,17.8,64.0,0,9 - 12,Commendable,All Students,11987.91,18073.85,9 - 12,444.2,430.5,63.90,28.70,7.40,0.00,2023
150162990250027,School,Lane Technical High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Ineligible Due to Rank,4515,36.5,6.7,34.8,10.4,0.6,0.5,10.6,23.7,8.5,3.3,36.6,0.5,182.0,91.0,18.3,0.4,14.6,5.0,36.5,62.8,91.9,55.1,86439.0,118951.0,30.4,26.4,12.6,53.1,2.6,7 - 12,Commendable,All Students,9002.46,14611.63,7 - 12,623.2,609.8,3.80,14.30,55.50,26.40,2023
150162990250029,School,Marshall Metropolitan High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,177,11.1,93.8,0,4.6,0.1,0.3,0,32.8,30.5,0,94.4,24.3,182.0,66.6,88.1,7.6,12.6,2.1,25.0,75.0,91.3,54.2,86439.0,118951.0,82.9,8.6,92.7,0,2.1,9 - 12,Intensive,"All Students, From Comprehensive",26185.04,36882.61,9 - 12,365.0,336.0,95.20,4.80,0.00,0.00,2023
150162990250030,School,Mather High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1674,12.5,14.0,51.0,20.6,0,0,1.3,22.8,16.5,43.2,81.1,5.3,182.0,83.2,56.6,4.5,18.7,5.0,25.5,74.5,90.9,54.3,86439.0,118951.0,53.7,14.2,18.2,56.4,7.9,9 - 12,Commendable,All Students,10537.12,16422.8,9 - 12,432.4,433.6,60.10,25.30,13.40,1.20,2023
150162990250031,School,Morgan Park High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1168,0,95.7,2.6,4.6,0,0.3,1.1,18.9,14.1,1.0,76.7,2.7,182.0,78.5,81.3,3.0,21.7,5.0,25.5,74.5,81.3,45.1,86439.0,118951.0,71.5,0,90.1,4.7,0,7 - 12,Commendable,All Students,12247.81,18339.95,7 - 12,403.1,389.3,87.20,11.90,0.90,0.00,2023
150162990250034,School,Phillips Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,391,11.1,95.1,3.1,0,0,0.3,0,22.5,18.9,0,93.1,0,182.0,66.3,93.3,6.5,18.5,2.1,19.4,80.6,72.7,30.6,86439.0,118951.0,89.5,0,89.3,0,2.1,9 - 12,Targeted,Children with Disabilities,18128.06,25609.26,9 - 12,383.0,369.3,88.10,11.00,0.80,0.00,2023
150162990250035,School,Roosevelt High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1094,4.7,7.1,77.7,8.0,0,0,2.1,22.8,16.5,61.5,85.9,4.3,182.0,77.3,74.8,5.2,14.1,5.0,31.0,66.7,93.5,58.6,86439.0,118951.0,67.4,7.6,8.5,76.7,0,9 - 12,Commendable,All Students,12093.32,18399.21,9 - 12,381.4,381.4,85.00,11.70,3.40,0.00,2023
150162990250036,School,Schurz High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1219,4.6,8.4,83.3,1.7,0,1.0,0.9,28.8,22.6,44.1,89.6,4.8,182.0,75.0,66.6,4.3,15.3,5.0,37.6,61.4,91.9,55.4,86439.0,118951.0,73.5,10.5,10.2,76.0,0,9 - 12,Targeted,Children with Disabilities,15106.07,21706.42,9 - 12,406.9,397.1,77.90,16.00,6.20,0.00,2023
150162990250037,School,Senn High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1448,18.4,25.4,40.3,12.7,0,0.7,2.3,25.8,12.8,27.6,74.2,2.7,182.0,79.1,73.8,3.5,15.6,5.0,42.5,56.6,80.4,76.7,86439.0,118951.0,67.4,15.4,33.2,39.8,7.5,9 - 12,Commendable,All Students,11018.63,17136.48,9 - 12,472.6,449.2,51.30,34.10,13.80,0.90,2023
150162990250039,School,King College Prep High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,692,0,95.4,2.3,0,0,0.3,0,17.8,12.3,1.7,83.8,3.6,182.0,90.5,56.3,0,18.0,5.0,41.9,58.1,72.3,67.4,86439.0,118951.0,34.8,0,90.7,0,0,9 - 12,Commendable,All Students,15751.54,22380.91,9 - 12,467.1,438.8,56.20,39.70,4.10,0.00,2023
150162990250041,School,Steinmetz College Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1164,7.3,15.5,75.8,0,0,0,0,22.4,16.6,43.1,89.4,7.2,182.0,75.6,78.5,7.3,15.5,5.0,41.8,58.2,90.4,52.0,86439.0,118951.0,73.2,9.2,14.2,74.2,0,9 - 12,Targeted,Children with Disabilities,12506.71,18861.81,9 - 12,387.8,391.9,83.40,13.40,3.10,0.00,2023
150162990250042,School,Sullivan High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,721,14.6,30.8,41.7,10.1,0,0,2.4,24.8,21.2,57.3,78.2,37.9,182.0,71.7,88.2,4.6,11.9,5.0,41.2,56.8,86.0,58.8,86439.0,118951.0,77.0,13.2,34.1,41.8,7.7,9 - 12,Targeted,Children with Disabilities,12797.86,19670.69,9 - 12,380.6,395.1,79.00,17.40,3.00,0.60,2023
150162990250043,School,Taft High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Eligible but Not Serve,4231,41.5,2.8,43.8,7.1,0.6,0.2,3.9,23.3,11.9,20.7,53.7,1.8,182.0,81.0,51.9,2.7,21.6,5.0,41.0,58.3,93.9,45.7,86439.0,118951.0,60.0,34.8,5.0,52.0,3.9,7 - 12,Commendable,All Students,9673.87,15258.01,7 - 12,473.9,451.6,51.90,29.00,17.50,1.70,2023
150162990250044,School,Tilden Career Communty Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,226,10.6,39.8,46.0,0,0.1,0.3,0,37.6,31.0,33.6,85.4,27.0,182.0,72.6,84.9,7.1,8.7,2.0,50.0,50.0,89.3,63.5,86439.0,118951.0,79.3,0,41.2,48.2,0,9 - 12,Intensive,"All Students, From Comprehensive",21765.98,31228.39,9 - 12,372.9,374.0,87.70,10.80,0.00,1.50,2023
150162990250046,School,Von Steuben Metro Science HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1668,17.1,9.7,55.5,14.4,1.0,0,1.9,21.2,6.9,13.5,60.4,0,182.0,88.3,37.6,1.4,19.3,5.0,36.1,63.9,94.0,55.6,86439.0,118951.0,42.1,18.3,11.9,60.3,9.5,9 - 12,Commendable,All Students,10385.9,16318.4,9 - 12,502.7,493.1,30.50,39.30,28.20,2.00,2023
150162990250047,School,Lincoln Park High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Ineligible Due to Rank,2094,30.8,20.4,31.3,11.3,0,0,5.4,24.4,7.0,7.5,40.1,2.3,182.0,82.4,57.7,2.5,18.9,5.0,43.3,56.7,90.0,50.6,86439.0,118951.0,59.3,20.1,51.7,19.5,0,9 - 12,Commendable,All Students,9982.48,15888.05,9 - 12,525.0,511.8,23.40,32.80,40.30,3.60,2023
150162990250048,School,Washington G High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1499,3.3,8.0,87.5,4.6,0,0,0,22.9,17.3,28.5,85.5,2.5,182.0,80.9,70.2,2.8,21.4,2.1,47.3,52.7,92.3,42.9,86439.0,118951.0,68.3,0,15.2,81.3,2.1,9 - 12,Commendable,All Students,10406.24,16306.27,9 - 12,417.5,414.9,69.90,24.40,5.20,0.50,2023
150162990250049,School,Wells Community Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,345,14.2,39.4,43.8,0,0.1,0,0,25.8,18.6,38.6,84.3,15.7,182.0,73.7,76.5,5.9,11.5,5.0,33.3,66.7,89.2,42.4,86439.0,118951.0,80.5,16.3,50.0,29.1,0,9 - 12,Commendable,All Students,15719.68,23206.77,9 - 12,376.1,359.7,88.60,10.10,1.30,0.00,2023
150162990250052,School,Crane Medical Prep HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,264,0,88.3,10.2,4.6,0,0.3,0,20.5,10.2,0,89.4,0,182.0,73.3,91.1,0,14.0,5.0,50.0,46.7,65.0,56.7,86439.0,118951.0,85.9,8.6,96.3,0,2.1,9 - 12,Commendable,All Students,20741.8,29017.93,9 - 12,394.3,377.3,92.90,7.10,0.00,0.00,2023
150162990250053,School,Disney II Magnet HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Ineligible Due to Rank,737,17.1,20.8,55.8,3.9,0.1,0,1.9,31.3,15.3,12.8,61.6,6.5,182.0,84.5,65.7,2.4,16.7,3.0,39.0,59.8,78.8,57.6,86439.0,118951.0,57.5,14.0,21.5,58.7,0,7 - 12,Commendable,All Students,,,7 - 12,479.1,425.7,63.80,29.70,6.50,0.00,2023
15016299025010C,School,Urban Prep Chtr Acad Englewood HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,91,11.1,96.7,0,4.6,0.1,0.3,1.9,25.3,23.1,0,92.3,0,182.0,92.2,48.7,0,15.5,2.1,50.8,9.2,6.7,72.4,86439.0,118951.0,26.3,8.6,100.0,49.0,2.1,9 - 12,Commendable,All Students,26523.18,32105.54,9 - 12,393.3,372.1,95.80,4.20,0.00,0.00,2023
15016299025012C,School,IHSCA Charter High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,543,0,2.9,95.6,4.6,0,0,1.9,21.9,16.0,58.2,98.9,9.0,182.0,80.8,69.7,8.0,10.1,0.0,37.9,60.3,0.0,58.9,86439.0,118951.0,57.9,0,0,95.5,2.1,9 - 12,Commendable,All Students,18096.0,20399.81,9 - 12,397.2,389.0,82.60,15.20,2.20,0.00,2023
15016299025013C,School,Urban Prep Chtr Acad Bronzeville HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,165,11.1,97.0,0,4.6,0.1,0.3,0,28.5,23.0,0,90.9,10.9,182.0,91.0,50.5,0,12.5,2.1,33.6,36.9,50.0,100.0,86439.0,118951.0,27.9,8.6,97.3,0,2.1,9 - 12,Commendable,All Students,19866.73,23441.2,9 - 12,407.7,386.7,79.50,20.50,0.00,0.00,2023
15016299025015C,School,EPIC Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,268,0,54.9,41.8,4.6,0.1,0.3,0,20.5,20.1,25.4,91.8,20.1,182.0,82.5,86.5,4.6,11.3,0.0,58.7,19.8,88.0,92.7,86439.0,118951.0,64.9,8.6,52.7,47.3,2.1,9 - 12,Commendable,All Students,7596.77,10464.02,9 - 12,409.1,380.6,87.50,10.90,1.60,0.00,2023
15016299025019C,School,Legal Prep Academy Charter HS,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,211,11.1,98.1,0,4.6,0.1,0.3,0,21.3,19.0,0,86.7,10.4,182.0,77.0,91.0,0,19.9,4.0,44.4,27.8,69.0,100.0,86439.0,118951.0,73.1,8.6,100.0,49.0,2.1,9 - 12,Commendable,All Students,24304.16,28240.01,9 - 12,373.2,364.3,91.90,8.10,0.00,0.00,2023
15016299025020C,School,IJLA Charter High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,66,0,0,90.9,4.6,0.1,0,1.9,0,0,43.9,71.2,25.8,182.0,59.6,92.9,29.7,16.3,0.0,37.9,60.3,87.4,58.9,86439.0,118951.0,89.5,8.6,38.5,0,2.1,9 - 12,Intensive,"All Students, From Comprehensive",19309.51,25385.03,9 - 12,366.2,369.5,95.00,5.00,0.00,0.00,2023
15016299025022C,School,Intrinsic Charter High School,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,937,2.9,3.1,93.5,0,0.1,0.3,0,26.5,16.8,33.9,89.8,0,182.0,87.5,65.0,1.5,10.4,2.1,56.2,27.8,72.4,52.0,86439.0,118951.0,44.2,0,0,96.4,2.1,7 - 12,Commendable,All Students,19566.17,21644.99,7 - 12,445.3,437.0,58.20,28.50,13.30,0.00,2023
15016299025028C,School,Noble St Chtr-Pritzker College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,988,0,5.0,93.1,0,0.1,0,1.9,19.5,13.1,39.2,92.6,1.8,182.0,90.8,35.4,0,28.2,0.0,33.6,38.1,77.8,96.5,86439.0,118951.0,24.5,0,0,91.5,2.1,9 - 12,Commendable,All Students,16012.01,18074.09,9 - 12,481.1,470.7,42.40,33.20,21.20,3.20,2023
15016299025029C,School,Noble St Chtr Rauner College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,597,2.3,23.6,72.5,0,0.1,0,0,19.1,13.2,25.3,81.1,3.7,182.0,88.2,52.4,1.6,23.7,0.0,36.4,45.5,73.3,100.0,86439.0,118951.0,39.5,0,38.1,57.1,2.1,9 - 12,Commendable,All Students,21527.27,23786.29,9 - 12,421.7,421.1,67.80,24.70,7.50,0.00,2023
15016299025030C,School,Noble St Chtr-Rowe-Clark MS Acad,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,343,11.1,85.4,13.7,4.6,0.1,0.3,0,23.0,21.3,9.0,99.1,16.0,182.0,81.8,74.5,2.9,23.1,0.0,56.5,30.4,54.0,95.7,86439.0,118951.0,64.2,8.6,89.2,0,2.1,9 - 12,Targeted,Children with Disabilities,24258.72,26898.33,9 - 12,412.2,380.9,78.10,21.90,0.00,0.00,2023
15016299025031C,School,Noble St Chtr-Golder College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,642,1.9,27.4,69.2,0,0,0,0,19.0,14.8,29.4,90.7,1.9,182.0,87.8,63.5,2.0,22.2,0.0,40.8,36.5,70.4,100.0,86439.0,118951.0,43.7,0,33.7,61.2,2.1,9 - 12,Commendable,All Students,17165.43,19392.93,9 - 12,438.1,427.5,59.00,30.10,9.60,1.20,2023
15016299025032C,School,Noble St Chtr-Comer College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1011,0,96.9,1.8,4.6,0.1,0,1.1,20.3,15.2,1.2,86.2,8.7,182.0,85.5,74.6,2.4,21.1,0.0,35.6,31.1,67.5,95.6,86439.0,118951.0,52.7,8.6,96.2,0,2.1,6 - 12,Commendable,All Students,20366.0,22418.48,6 - 12,413.6,405.0,74.80,22.00,1.60,1.60,2023
15016299025033C,School,Noble St Chtr-UIC College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,927,1.6,42.2,50.7,4.9,0,0,0,19.5,11.8,16.4,82.6,5.1,182.0,85.5,67.9,3.0,23.4,0.0,56.2,20.3,69.2,97.9,86439.0,118951.0,53.1,0,49.5,46.8,0,9 - 12,Commendable,All Students,18464.77,20551.25,9 - 12,444.9,422.8,67.80,22.00,9.80,0.50,2023
15016299025034C,School,Noble St Chtr-Chicago Bulls Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1152,1.1,50.4,47.4,0,0.1,0,0,22.6,18.0,15.9,86.8,1.3,182.0,87.4,60.8,0,21.3,0.0,45.9,23.0,70.0,98.6,86439.0,118951.0,44.0,0,60.9,37.7,2.1,9 - 12,Commendable,All Students,15802.59,17827.22,9 - 12,418.7,414.5,69.80,22.60,6.70,0.80,2023
15016299025035C,School,Noble St Chtr-Muchin College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,936,1.2,44.3,48.8,5.1,0,0,0,16.9,12.2,17.0,77.0,6.3,182.0,88.1,44.3,2.2,18.9,0.0,41.5,32.1,72.1,100.0,86439.0,118951.0,41.8,0,50.0,41.5,0,9 - 12,Commendable,All Students,20476.65,22561.7,9 - 12,439.4,429.6,58.00,28.80,11.80,1.40,2023
15016299025036C,School,Noble St Chtr-Johnson College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,457,0,94.7,4.2,4.6,0,0,0,24.1,21.7,0,90.6,14.0,182.0,83.7,76.9,3.2,17.7,0.0,56.3,25.0,67.2,100.0,86439.0,118951.0,59.0,0,96.3,0,2.1,9 - 12,Commendable,All Students,23116.11,25532.04,9 - 12,377.8,393.7,85.60,13.30,1.10,0.00,2023
15016299025037C,School,Noble St Chtr-Hansberry College Prep - Silver,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,514,0,98.1,0,4.6,0.1,0.3,0,23.7,20.2,0,82.5,8.4,182.0,87.2,68.0,2.7,31.5,0.0,56.9,33.8,74.1,96.9,86439.0,118951.0,50.6,8.6,98.1,0,2.1,9 - 12,Commendable,All Students,23441.55,25789.77,9 - 12,408.7,393.5,78.70,18.50,2.80,0.00,2023
15016299025038C,School,Noble St Chtr-DRW Trading College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,367,11.1,97.8,0,4.6,0.1,0.3,0,26.2,22.9,0,91.8,32.7,182.0,81.6,82.8,7.5,20.9,0.0,40.7,40.7,51.2,100.0,86439.0,118951.0,68.9,8.6,100.0,49.0,2.1,9 - 12,Commendable,All Students,25553.96,28163.36,9 - 12,401.5,392.2,76.70,17.40,5.80,0.00,2023
15016299025039C,School,Noble St Chtr-Butler College Prep - Crimson,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,620,0,94.4,5.2,4.6,0.1,0.3,0,19.0,17.4,2.6,89.8,6.8,182.0,86.2,77.2,0,27.4,0.0,48.9,23.4,74.1,100.0,86439.0,118951.0,52.8,8.6,92.3,0,2.1,9 - 12,Commendable,All Students,22404.38,24637.1,9 - 12,410.8,395.9,81.70,13.70,4.60,0.00,2023
15016299025040C,School,Noble St Chtr-Baker Campus,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,239,11.1,80.3,18.0,4.6,0.1,0.3,0,28.0,23.8,14.6,94.6,14.2,182.0,83.9,61.2,4.4,19.4,0.0,47.4,31.6,46.7,94.7,86439.0,118951.0,59.2,8.6,89.1,0,2.1,9 - 12,Commendable,All Students,30465.52,33459.78,9 - 12,431.3,399.8,75.40,23.00,1.60,0.00,2023
15016299025041C,School,Noble St Chtr-Noble Campus,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,672,2.4,16.1,78.3,1.6,0.1,0,0,20.2,11.6,26.5,78.3,1.9,182.0,90.0,46.9,0,21.5,0.0,37.8,46.7,79.5,100.0,86439.0,118951.0,34.4,8.6,14.3,81.0,0,9 - 12,Commendable,All Students,21264.67,23468.33,9 - 12,447.9,467.5,51.60,22.60,21.90,3.90,2023
15016299025042C,School,Noble St Chtr-ITW Speer Acad,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,1098,1.2,10.6,87.5,0,0.1,0,0,20.4,14.1,35.5,79.6,0,182.0,89.4,54.9,1.5,27.7,0.0,48.1,33.6,76.0,98.5,86439.0,118951.0,34.2,0,13.8,83.6,2.1,9 - 12,Commendable,All Students,15836.35,17865.33,9 - 12,453.8,461.0,46.40,35.40,17.90,0.40,2023
15016299025043C,School,Noble St Chtr-The Noble Academy,Chicago Public Schools District 299,Chicago,Cook,Unit Distrcts,High School,Title 1 Schoolwide,522,0,45.6,48.9,2.3,0,0,0,17.4,12.5,20.7,83.7,4.2,182.0,86.2,57.8,3.3,19.2,0.0,44.7,15.8,62.3,100.0,86439.0,118951.0,48.3,0,46.6,49.3,0,9 - 12,Commendable,All Students,20372.75,22707.29,9 - 12,444.4,413.4,68.30,27.90,3.80,0.00,2023
