,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
130,Heber Springs High School,9-12,Heber Springs School District,32%,69%,46%,29%,20%,478,33%,90%,6%,0%,3%,10%,2,122,96,79%,19.7,20.6,20,20.2,0,CLEBURNE,1202006,1202000,2023
131,Hector High School,7-12,Hector School District,9%,33%,27%,18%,9%,324,72%,94%,4%,0%,2%,6%,1,54,33,61%,16.2,16.8,17.5,19.6,0,POPE,5803010,5803000,2023
132,Hermitage High School,7-12,Hermitage School District,5%,24%,7%,2%,2%,202,69%,59%,27%,14%,0%,41%,5,43,41,95%,15.8,14.6,15,16.7,0,BRADLEY,601007,601000,2023
133,Highland High School,9-12,Highland School District,20%,44%,26%,23%,9%,515,70%,94%,4%,1%,2%,6%,2,113,90,80%,18.1,17.5,18.4,19.1,0,SHARP,6804010,6804000,2023
134,Hillcrest High School,7-12,Hillcrest School District,16%,48%,28%,20%,12%,181,80%,96%,3%,0%,1%,4%,2,29,25,86%,16.6,18.5,18.8,18.3,0,LAWRENCE,3809023,3809000,2023
135,Hope High School,9-12,Hope School District,8%,26%,16%,10%,5%,606,73%,24%,36%,38%,2%,76%,4,155,131,85%,15.2,14.5,16.1,16.9,0,HEMPSTEAD,2903012,2903000,2023
136,Horatio High School,7-12,Horatio School District,12%,29%,14%,17%,7%,328,80%,66%,28%,2%,4%,34%,4,55,42,76%,17.4,15.6,17.5,18.9,0,SEVIER,6703013,6703000,2023
137,Hot Springs World Class High School,10-12,Hot Springs School District,5%,31%,20%,16%,4%,767,73%,32%,24%,33%,11%,68%,3,269,213,79%,15.7,15.8,16.9,17.6,0,GARLAND,2603703,2603000,2023
138,Hoxie High School,7-12,Hoxie School District,16%,50%,22%,19%,5%,345,67%,93%,2%,1%,3%,7%,2,69,58,84%,17,17.6,17.3,18.1,0,LAWRENCE,3804010,3804000,2023
139,Huntsville High School,9-12,Huntsville School District,17%,45%,23%,17%,7%,604,65%,79%,12%,1%,8%,21%,1,171,110,64%,16.9,16.4,18,18.4,0,MADISON,4401003,4401000,2023
140,Izard Co. Cons. High School,9-12,Izard County Consolidated School District,20%,36%,34%,22%,16%,191,72%,96%,2%,1%,1%,4%,2,59,50,85%,17.3,17.1,18.9,17.8,0,IZARD,3306015,3306000,2023
141,Jacksonville High School,9-12,Jacksonville North Pulaski School District,3%,18%,15%,7%,1%,1165,57%,27%,9%,58%,6%,73%,3,276,207,75%,15.3,13.7,15.8,16.4,0,PULASKI,6004009,6004000,2023
142,Jacksonville Lighthouse College Prep Academy High,9-12,Jacksonville Lighthouse Charter,8%,33%,17%,17%,8%,78,71%,10%,4%,79%,6%,90%,3,13,12,92%,14.3,15.2,16.7,16.4,1,PULASKI,6050703,6050700,2023
143,Jasper High School,7-12,Jasper School District,RV,38%,20%,5%,RV,204,63%,99%,0%,0%,0%,1%,1,43,40,93%,15.6,16.1,17.6,17.3,0,NEWTON,5102006,5102000,2023
144,Jessieville High School,9-12,Jessieville School District,34%,57%,43%,36%,21%,259,66%,79%,8%,2%,12%,21%,3,64,44,69%,18.7,19.7,19.8,20.1,0,GARLAND,2604030,2604000,2023
145,Joe T. Robinson High School,9-12,Pulaski County Special School District,20%,48%,33%,23%,15%,845,25%,50%,9%,34%,8%,50%,3,189,168,89%,17.5,17.8,19,18.8,0,PULASKI,6003127,6003000,2023
146,Junction City High School,7-12,Junction City School District,5%,40%,26%,14%,2%,310,67%,53%,2%,44%,1%,47%,4,51,43,84%,15.3,17.1,17.8,17.6,0,UNION,7003028,7003000,2023
147,Kingston High School,7-12,Jasper School District,7%,27%,27%,20%,7%,100,55%,87%,3%,0%,10%,13%,1,15,15,100%,15.5,14.8,17.2,17.9,0,NEWTON,5102008,5102000,2023
148,KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools,RV,14%,7%,RV,RV,133,86%,10%,7%,81%,2%,90%,5,18,14,78%,15.1,14.3,15.1,14.7,1,PHILLIPS,5440706,5440700,2023
149,KIPP Delta Collegiate High School,9-12,KIPP Delta Public Schools,5%,9%,RV,RV,RV,201,89%,4%,1%,95%,0%,96%,5,57,44,77%,13.3,11.4,13.2,15.3,1,PHILLIPS,5440703,5440700,2023
150,Kirby High School,7-12,Kirby School District,4%,18%,21%,11%,4%,199,70%,82%,14%,1%,4%,18%,4,36,28,78%,15.3,14,16.3,15.7,0,PIKE,5503011,5503000,2023
151,Lafayette County High School,7-12,Lafayette County School District,RV,9%,9%,RV,RV,236,92%,26%,6%,63%,5%,74%,4,37,23,62%,14.3,11.9,13.8,14.9,0,LAFAYETTE,3704013,3704000,2023
152,Lake Hamilton High School,10-12,Lake Hamilton School District,25%,59%,37%,29%,17%,901,61%,74%,14%,3%,9%,26%,3,312,223,71%,18.5,19.5,19.6,19.7,0,GARLAND,2605034,2605000,2023
153,Lakeside High School,9-12,Lakeside School District (Chicot),3%,21%,9%,9%,RV,268,78%,7%,15%,76%,2%,93%,5,65,58,89%,14.9,13,15.1,16.3,0,CHICOT,903018,903000,2023
154,Lakeside High School,9-12,Lakeside School District (Garland),22%,65%,45%,30%,14%,1114,40%,71%,13%,8%,8%,29%,3,268,242,90%,18.4,19.9,21.2,20.1,0,GARLAND,2606044,2606000,2023
155,Lamar High School,9-12,Lamar School District,37%,49%,34%,29%,19%,360,70%,87%,8%,2%,4%,13%,1,93,65,70%,19.9,17.8,18.7,19.9,0,JOHNSON,3604019,3604000,2023
156,Lavaca High School,9-12,Lavaca School District,18%,50%,35%,19%,13%,268,45%,81%,9%,0%,10%,19%,1,71,68,96%,17.5,17.7,18.9,18.5,0,SEBASTIAN,6605057,6605000,2023
157,Lead Hill High School,7-12,Lead Hill School District,5%,50%,35%,10%,5%,178,72%,93%,2%,0%,6%,7%,1,32,20,63%,15.9,17.8,18.7,18.2,0,BOONE,506032,506000,2023
158,Lee High School,7-12,Lee County School District,RV,7%,4%,RV,RV,279,87%,7%,5%,87%,1%,93%,5,48,45,94%,13.9,11.8,13.5,14.2,0,LEE,3904011,3904000,2023
159,Lincoln High School,9-12,Lincoln School District,12%,49%,40%,23%,12%,359,64%,75%,13%,1%,10%,25%,1,99,57,58%,17,17.7,19.4,19.2,0,WASHINGTON,7205706,7205000,2023
160,Lisa Academy Arkansas Hybrid School,K-12,Lisa Academy,6%,28%,33%,6%,6%,251,48%,26%,12%,48%,14%,74%,3,19,18,95%,14.9,15.1,16.8,16.9,1,PULASKI,6041709,6041700,2023
161,Lisa Academy North High School,9-12,Lisa Academy,28%,49%,44%,32%,21%,288,59%,25%,28%,37%,10%,75%,3,64,57,89%,19.5,17.9,19.1,18.9,1,PULASKI,6041706,6041700,2023
162,Lisa Academy West High  School,9-12,Lisa Academy,20%,42%,25%,20%,14%,386,73%,11%,41%,40%,7%,89%,3,82,79,96%,17.5,16.8,17.6,18.3,1,PULASKI,6041703,6041700,2023
163,Little Rock Hall Steam Magnet High School,9-12,Little Rock School District,9%,27%,21%,11%,2%,305,77%,9%,10%,80%,2%,91%,3,87,44,51%,15.6,15,16.2,16.3,0,PULASKI,6001083,6001000,2023
164,Little Rock Southwest High School,9-12,Little Rock School District,3%,16%,9%,3%,1%,2163,81%,5%,34%,60%,2%,95%,3,506,340,67%,14.4,12.9,14.4,15.8,0,PULASKI,6001082,6001000,2023
165,Little Rock West High School Of Innovation,9-12,Little Rock School District,9%,21%,19%,8%,2%,270,63%,32%,9%,56%,4%,68%,3,76,67,88%,15.5,14.6,16.2,15.6,0,PULASKI,6001081,6001000,2023
166,Lonoke High School,9-12,Lonoke School District,5%,28%,22%,14%,1%,493,59%,59%,10%,27%,3%,41%,3,130,96,74%,16.1,15.6,17.1,17.8,0,LONOKE,4301029,4301000,2023
167,Magazine High School,7-12,Magazine School District,25%,41%,38%,34%,19%,203,70%,93%,2%,0%,4%,7%,1,36,32,89%,18.3,17.4,19.9,19,0,LOGAN,4202008,4202000,2023
168,Magnet Cove High School,7-12,Magnet Cove School District,23%,65%,36%,32%,13%,311,47%,92%,1%,1%,6%,8%,3,40,31,78%,18.8,19.2,19.9,20.7,0,HOT SPRING,3003014,3003000,2023
169,Magnolia High School,9-12,Magnolia School District,12%,31%,21%,17%,9%,807,71%,35%,7%,54%,4%,65%,4,201,173,86%,16.8,15.7,17.5,17.9,0,COLUMBIA,1402009,1402000,2023
170,Malvern High School,9-12,Malvern School District,17%,42%,20%,18%,10%,575,74%,45%,12%,32%,11%,55%,3,150,114,76%,17.3,17.1,17.3,18.3,0,HOT SPRING,3004023,3004000,2023
171,Mammoth Spring High School,7-12,Mammoth Spring School District,10%,43%,38%,14%,5%,220,72%,96%,1%,0%,2%,4%,2,41,21,51%,16.9,16.6,19.1,16.7,0,FULTON,2501002,2501000,2023
172,Manila High School,7-12,Manila School District,9%,29%,29%,10%,4%,493,52%,97%,3%,0%,0%,3%,2,81,70,86%,16.4,15.6,16.8,17.1,0,MISSISSIPPI,4712044,4712000,2023
173,Mansfield High School,9-12,Mansfield School District,5%,43%,19%,12%,5%,225,70%,84%,4%,2%,10%,16%,1,58,42,72%,16,17,18.1,18.1,0,SEBASTIAN,6606062,6606000,2023
174,Marion High School,10-12,Marion School District,7%,31%,16%,8%,3%,904,81%,32%,6%,57%,4%,68%,2,310,277,89%,15.6,15.1,16.6,16.4,0,CRITTENDEN,1804015,1804000,2023
175,Marked Tree High School,7-12,Marked Tree School District,6%,16%,22%,6%,RV,220,70%,57%,5%,38%,0%,43%,2,39,32,82%,15.3,13.8,16.2,15.8,0,POINSETT,5604017,5604000,2023
176,Marmaduke High School,7-12,Marmaduke School District,12%,58%,39%,24%,9%,281,55%,96%,2%,0%,1%,4%,2,43,33,77%,17.5,17.3,19.5,19.2,0,GREENE,2803017,2803000,2023
177,Marshall High School,7-12,Searcy County School District,22%,55%,33%,28%,10%,361,70%,91%,4%,1%,4%,9%,1,57,51,89%,18.4,19.3,19.1,19.2,0,SEARCY,6502006,6502000,2023
178,Marvell-Elaine High School,7-12,Marvell-Elaine School District,RV,6%,6%,6%,RV,100,96%,9%,6%,83%,2%,91%,5,17,16,94%,14.8,12.9,13.9,15.8,0,PHILLIPS,5404032,5404000,2023
179,Maumelle Charter High School,8-12,Academics Plus Public Charter Schools,38%,75%,57%,42%,25%,506,18%,74%,5%,13%,9%,26%,3,87,81,93%,19.9,21.7,22,21.4,1,PULASKI,6040703,6040700,2023
180,Maumelle High School,9-12,Pulaski County Special School District,10%,37%,23%,17%,8%,844,41%,34%,7%,51%,8%,66%,3,208,190,91%,16.2,16,17.7,18,0,PULASKI,6003151,6003000,2023
181,Mayflower High School,9-12,Mayflower School District,4%,31%,22%,12%,4%,345,56%,76%,4%,11%,10%,24%,3,95,74,78%,15.7,15,17.4,16.9,0,FAULKNER,2305026,2305000,2023
182,Maynard High School,7-12,Maynard School District,4%,32%,18%,14%,4%,251,70%,93%,5%,0%,2%,7%,2,33,28,85%,15.9,14.7,16.7,17.7,0,RANDOLPH,6102006,6102000,2023
183,McCrory High School,7-12,McCrory School District,22%,60%,38%,32%,19%,248,58%,87%,3%,10%,0%,13%,2,42,37,88%,18,19.1,19.7,19.8,0,WOODRUFF,7403013,7403000,2023
184,McGehee High School,9-12,McGehee School District,5%,24%,15%,9%,3%,324,69%,42%,8%,47%,4%,58%,5,84,67,80%,16.1,14.6,16.1,16.2,0,DESHA,2105028,2105000,2023
185,Melbourne High School,7-12,Melbourne School District,39%,78%,59%,50%,28%,370,51%,96%,2%,0%,2%,4%,2,70,64,91%,19.8,22,22.2,22.3,0,IZARD,3302006,3302000,2023
186,Mena High School,9-12,Mena School District,21%,38%,30%,19%,13%,493,56%,85%,7%,1%,7%,15%,4,126,112,89%,18.2,16.8,18.1,18.8,0,POLK,5703012,5703000,2023
187,Midland High School,7-12,Midland School District,3%,23%,20%,17%,3%,240,60%,94%,3%,1%,1%,6%,2,39,35,90%,15.6,14.2,16.6,17.2,0,INDEPENDENCE,3211035,3211000,2023
188,Mills University Studies High School,9-12,Pulaski County Special School District,5%,24%,20%,13%,5%,671,58%,14%,22%,60%,5%,86%,3,141,120,85%,15.2,14.5,16.2,16.9,0,PULASKI,6003125,6003000,2023
189,Mineral Springs High School,7-12,Mineral Springs School District,RV,13%,7%,3%,RV,195,87%,13%,12%,73%,2%,87%,4,36,31,86%,14.6,13.6,15,15.5,0,HOWARD,3104006,3104000,2023
190,Monticello High School,9-12,Monticello School District,10%,30%,23%,13%,4%,506,49%,55%,5%,39%,2%,45%,5,130,115,88%,16.5,15.3,17.3,17.7,0,DREW,2203012,2203000,2023
191,Morrilton Sr. High School,9-12,South Conway County School District,21%,58%,33%,23%,12%,719,68%,66%,10%,19%,5%,34%,1,163,130,80%,17.9,18.6,18.8,19.2,0,CONWAY,1507036,1507000,2023
192,Mount Ida High School,7-12,Mount Ida School District,21%,52%,27%,12%,9%,203,62%,87%,5%,0%,7%,13%,4,45,33,73%,17.6,17.1,19.2,18.5,0,MONTGOMERY,4902007,4902000,2023
193,Mountain Home Career Academies,8-12,Mountain Home School District,24%,59%,38%,34%,16%,1517,38%,91%,4%,0%,5%,9%,1,300,239,80%,18.6,19,20.1,20.4,0,BAXTER,303703,303000,2023
194,Mountain Pine High School,7-12,Mountain Pine School District,2%,33%,23%,16%,RV,294,80%,79%,5%,9%,7%,21%,3,53,43,81%,15.5,15.4,16.8,17.7,0,GARLAND,2607047,2607000,2023
195,Mountain View High School,9-12,Mountain View School District,10%,45%,32%,14%,8%,329,63%,94%,2%,0%,3%,6%,2,73,62,85%,16.2,17.5,19.1,18,0,STONE,6901007,6901000,2023
196,Mountainburg High School,9-12,Mountainburg School District,5%,40%,26%,16%,3%,185,68%,91%,4%,1%,5%,9%,1,43,38,88%,15.7,16.1,18.9,17.4,0,CRAWFORD,1703013,1703000,2023
197,Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District,RV,15%,8%,RV,RV,166,79%,92%,4%,0%,4%,8%,1,15,13,87%,14.2,13.6,14.2,16.5,0,NEWTON,5106004,5106000,2023
198,Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District,26%,58%,45%,36%,23%,250,70%,95%,1%,3%,1%,5%,3,35,31,89%,19.5,18.8,19.7,19.9,0,FAULKNER,2306030,2306000,2023
199,Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools,23%,46%,39%,23%,15%,117,56%,92%,3%,0%,5%,8%,1,24,13,54%,17.4,17.9,17.6,17.8,0,CRAWFORD,1704017,1704000,2023
200,Murfreesboro High School,7-12,South Pike County School District,4%,44%,20%,11%,4%,323,71%,81%,7%,6%,6%,19%,4,52,46,88%,15.8,16.4,17.3,18.3,0,PIKE,5504015,5504000,2023
201,Nashville High School,10-12,Nashville School District,13%,40%,22%,17%,7%,480,71%,52%,28%,18%,3%,48%,4,162,149,92%,16.6,16.7,17.2,17.9,0,HOWARD,3105011,3105000,2023
202,Nemo Vista High School,9-12,Nemo Vista School District,27%,70%,50%,20%,13%,129,49%,88%,4%,0%,9%,12%,1,30,30,100%,18.6,19.1,19.9,19.4,0,CONWAY,1503017,1503000,2023
203,Nettleton High School,9-12,Nettleton School District,7%,36%,19%,15%,5%,1041,55%,28%,11%,53%,8%,72%,2,246,199,81%,16.3,15.9,17,17.1,0,CRAIGHEAD,1611042,1611000,2023
204,Nevada High  School,7-12,Nevada School District,13%,25%,17%,4%,4%,206,75%,59%,3%,34%,4%,41%,4,28,24,86%,15.7,15,15.9,16.8,0,NEVADA,5008014,5008000,2023
205,Newport High School,6-12,Newport School District,6%,31%,19%,11%,3%,564,76%,48%,9%,35%,8%,52%,2,84,64,76%,15.9,15.6,18,17.6,0,JACKSON,3403013,3403000,2023
206,Norfork High School,7-12,Norfork School District,18%,33%,33%,18%,12%,203,59%,98%,1%,0%,0%,2%,1,40,33,83%,17.1,16,18.8,18,0,BAXTER,304022,304000,2023
207,North Little Rock Center Of Excellence,9-12,North Little Rock School District,12%,37%,24%,15%,9%,465,74%,25%,16%,55%,5%,75%,3,83,67,81%,16.5,16,17.3,18.2,0,PULASKI,6002703,6002000,2023
208,North Little Rock High School,9-12,North Little Rock School District,20%,43%,31%,21%,15%,1680,70%,24%,13%,57%,5%,76%,3,458,329,72%,17.6,17.1,18.6,18.7,0,PULASKI,6002082,6002000,2023
209,Northside High School,9-12,Fort Smith School District,17%,39%,26%,18%,8%,2253,75%,21%,53%,14%,12%,79%,1,580,404,70%,17,16.3,17.6,18.1,0,SEBASTIAN,6601024,6601000,2023
210,Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Ark Classical Academy,34%,69%,49%,37%,17%,238,8%,76%,12%,3%,9%,24%,1,35,35,100%,20,20.5,21.5,20.8,1,BENTON,442703,442700,2023
211,Oark High School,7-12,Jasper School District,RV,8%,25%,8%,RV,70,79%,94%,4%,1%,0%,6%,1,17,12,71%,15.2,13.3,17,16,0,NEWTON,5102024,5102000,2023
212,Oden Schools,P-12,Ouachita River School District,23%,39%,31%,23%,15%,148,73%,82%,6%,0%,11%,18%,4,15,13,87%,17.9,17.5,17.7,17.7,0,POLK,5706009,5706000,2023
213,Omaha High School,7-12,Omaha School District,16%,40%,20%,12%,4%,186,66%,92%,3%,0%,4%,8%,1,31,25,81%,16.8,16.9,17.4,18.2,0,BOONE,504023,504000,2023
214,Osceola High School,9-12,Osceola School District,RV,7%,RV,RV,RV,261,87%,6%,3%,87%,4%,94%,2,69,61,88%,14.9,12.6,15.2,15.1,0,MISSISSIPPI,4713051,4713000,2023
215,Ouachita High School,7-12,Ouachita School District,24%,36%,27%,24%,15%,272,49%,93%,3%,0%,5%,7%,3,45,33,73%,17.5,16.1,17.5,18.8,0,HOT SPRING,3005030,3005000,2023
216,Ozark Jr/Sr High School,8-12,Ozark School District,9%,45%,33%,20%,6%,675,45%,90%,4%,1%,5%,10%,1,134,106,79%,17,17.3,17.9,17.9,0,FRANKLIN,2404017,2404000,2023
217,Ozark Mountain High School,7-12,Ozark Mountain School District,15%,41%,26%,19%,15%,236,73%,94%,3%,0%,3%,6%,1,40,27,68%,17,17.2,19.1,18.9,0,SEARCY,6505021,6505000,2023
218,Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District,5%,36%,20%,7%,3%,356,85%,87%,2%,10%,1%,13%,2,68,59,87%,16.2,15.6,17.8,16.9,0,ST FRANCIS,6205028,6205000,2023
219,Pangburn High School,7-12,Pangburn School District,7%,42%,32%,24%,5%,348,58%,95%,3%,0%,2%,5%,2,67,62,93%,16.4,17,18.6,18.8,0,WHITE,7309039,7309000,2023
220,Paragould High School,9-12,Paragould School District,23%,48%,37%,28%,19%,864,59%,76%,9%,7%,8%,24%,2,215,178,83%,17.9,18.8,18.7,19,0,GREENE,2808043,2808000,2023
221,Paris High School,9-12,Paris School District,6%,30%,21%,16%,4%,302,70%,84%,5%,1%,9%,16%,1,94,71,76%,15.7,14.9,16.7,17.1,0,LOGAN,4203012,4203000,2023
222,Parkers Chapel High School,7-12,Parkers Chapel School District,18%,44%,24%,19%,11%,359,31%,82%,4%,11%,4%,18%,4,68,62,91%,17.3,17,17.9,17.8,0,UNION,7007040,7007000,2023
223,Parkview Magnet High School,9-12,Little Rock School District,7%,31%,21%,10%,5%,1063,70%,12%,11%,76%,2%,88%,3,233,207,89%,15.5,15.3,17.3,16.7,0,PULASKI,6001005,6001000,2023
224,Pea Ridge High School,10-12,Pea Ridge School District,27%,46%,35%,30%,22%,580,26%,87%,7%,2%,4%,13%,1,201,165,82%,18.9,18.2,19,19.4,0,BENTON,407027,407000,2023
225,Perryville High School,7-12,Perryville School District,11%,50%,29%,16%,10%,416,58%,94%,3%,0%,3%,6%,1,71,62,87%,16.8,17.8,19.4,18.7,0,PERRY,5303011,5303000,2023
226,Piggott High School,7-12,Piggott School District,2%,22%,16%,4%,2%,343,58%,95%,3%,1%,2%,5%,2,49,45,92%,15.2,14.6,16.2,16.5,0,CLAY,1104018,1104000,2023
227,Pine Bluff High School,10-12,Pine Bluff School District,3%,19%,9%,6%,2%,780,78%,2%,1%,95%,2%,98%,3,270,163,60%,14.6,13.9,15.1,16.5,0,JEFFERSON,3505042,3505000,2023
228,Pocahontas High School,10-12,Pocahontas School District,18%,44%,26%,21%,14%,384,53%,79%,3%,1%,17%,21%,2,137,124,91%,17.1,17.1,17.4,18,0,RANDOLPH,6103010,6103000,2023
229,Polk County Virtual Academy,K-12,Mena School District,N<10,N<10,N<10,N<10,N<10,15,27%,80%,0%,0%,20%,20%,4,4,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,POLK,5703703,5703000,2023
230,Pottsville High School,10-12,Pottsville School District,13%,40%,33%,27%,7%,395,35%,89%,7%,2%,2%,11%,1,111,93,84%,17.6,17.3,19.2,19,0,POPE,5804014,5804000,2023
231,Poyen High School,7-12,Poyen School District,10%,50%,18%,8%,RV,253,45%,94%,3%,0%,3%,6%,3,41,40,98%,16.6,16.5,17.5,17.9,0,GRANT,2703010,2703000,2023
232,Prairie Grove High School,9-12,Prairie Grove School District,16%,41%,33%,20%,10%,595,29%,82%,10%,2%,6%,18%,1,147,121,82%,17.1,16.6,19.3,18.5,0,WASHINGTON,7206703,7206000,2023
233,Premier High School Of Fort Smith,9-12,Premier High Schools Of Arkansas,RV,26%,RV,RV,RV,98,40%,57%,18%,11%,13%,43%,3,31,19,61%,14.8,13.3,13.7,14.9,1,PULASKI,6053706,6053700,2023
234,Premier High School Of Little Rock,9-12,Responsive Ed Solutions Premier High School Of Little Rock,N<10,N<10,N<10,N<10,N<10,91,82%,0%,1%,99%,0%,100%,1,37,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,1,SEBASTIAN,6053703,6053700,2023
235,Premier High School Of North Little Rock,9-12,Responsive Ed Solutions Premier High School Of North Little Rock,N<10,N<10,N<10,N<10,N<10,90,86%,7%,4%,82%,7%,93%,3,32,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,1,PULASKI,6062703,6062700,2023
236,Premier High School Of Texarkana,9-12,Premier High Schools Of Arkansas,8%,8%,8%,RV,RV,68,68%,44%,3%,47%,6%,56%,4,18,13,72%,14.5,13.2,13.9,15.5,1,MILLER,6053709,6053700,2023
237,Premier High School Online,9-12,Premier High Schools Of Arkansas,RV,9%,9%,RV,RV,277,34%,30%,9%,52%,9%,70%,3,84,22,26%,14.3,12.9,14.6,15.6,1,PULASKI,6053712,6053700,2023
238,Prescott High School,9-12,Prescott School District,1%,35%,14%,8%,RV,303,68%,50%,8%,41%,1%,50%,4,91,86,95%,15.3,15,17.1,17.3,0,NEVADA,5006024,5006000,2023
239,Quitman High School,9-12,Quitman School District,14%,45%,39%,20%,11%,275,40%,95%,1%,1%,2%,5%,2,71,56,79%,17.6,17.4,19.4,19.1,0,CLEBURNE,1203011,1203000,2023
240,Rector High School,7-12,Rector School District,12%,56%,29%,24%,9%,252,66%,95%,3%,0%,2%,5%,2,36,34,94%,16.9,18.5,18.9,18,0,CLAY,1106023,1106000,2023
241,Responsive Ed Solutions Premier High School Of Springdale,9-12,Responsive Ed Solutions Premier High School Of Springdale,7%,7%,3%,RV,RV,73,32%,34%,49%,4%,12%,66%,1,25,29,116%,14.7,11.8,13,14.9,1,WASHINGTON,7242703,7242700,2023
242,Rison High School,7-12,Cleveland County School District,18%,39%,28%,23%,12%,345,51%,72%,3%,21%,4%,28%,5,62,57,92%,17.4,15.9,17.6,18.3,0,CLEVELAND,1305010,1305000,2023
243,River Valley Virtual Academy,K-12,Van Buren School District,8%,39%,31%,8%,8%,105,68%,86%,4%,2%,9%,14%,1,23,13,57%,15.2,16.2,17.3,17.8,0,CRAWFORD,1705703,1705000,2023
244,Riverside High School,7-12,Riverside School District,19%,51%,46%,32%,19%,353,46%,89%,6%,3%,2%,11%,2,42,37,88%,17.1,18.1,19.2,19.8,0,CRAIGHEAD,1613021,1613000,2023
245,Riverview High School,9-12,Riverview School District,3%,20%,15%,8%,2%,316,59%,66%,15%,9%,10%,34%,2,73,66,90%,15.2,14.6,16.4,16.4,0,WHITE,7307032,7307000,2023
246,Rogers Heritage High School,9-12,Rogers School District,12%,34%,18%,15%,7%,2125,49%,39%,52%,2%,7%,61%,1,553,509,92%,16.6,15.9,17.2,17.6,0,BENTON,405052,405000,2023
247,Rogers High School,9-12,Rogers School District,20%,47%,32%,26%,15%,2379,41%,42%,49%,2%,8%,58%,1,620,532,86%,17.7,17.7,19,18.9,0,BENTON,405048,405000,2023
248,Rogers New Technology High School,9-12,Rogers School District,16%,54%,41%,35%,12%,672,42%,40%,54%,2%,5%,60%,1,164,159,97%,17.7,18.5,20.5,20.3,0,BENTON,405703,405000,2023
249,Rose Bud High School,7-12,Rose Bud School District,RV,18%,16%,2%,RV,340,42%,92%,6%,1%,1%,8%,2,51,44,86%,15.9,13.8,16.2,17,0,WHITE,7310043,7310000,2023
250,Rural Special High School,7-12,Mountain View School District,8%,54%,46%,39%,8%,85,67%,89%,11%,0%,0%,11%,2,14,13,93%,17.4,18.5,21.2,19.5,0,STONE,6901012,6901000,2023
251,Russellville High School,10-12,Russellville School District,25%,56%,42%,31%,19%,1284,56%,58%,27%,6%,9%,42%,1,438,351,80%,18.2,19.1,20.2,20,0,POPE,5805024,5805000,2023
252,Salem High School,7-12,Salem School District,14%,61%,45%,33%,10%,416,61%,93%,3%,1%,3%,7%,2,63,51,81%,18.4,19.1,21,19.6,0,FULTON,2502006,2502000,2023
253,School For The Deaf,K-12,Ark. School For The Deaf,RV,RV,RV,RV,RV,102,63%,48%,15%,29%,8%,52%,3,16,11,69%,13.6,11.5,12.2,13.3,0,PULASKI,6092004,6092000,2023
254,Scott Charter School,K-12,Academics Plus Public Charter Schools,27%,46%,36%,36%,27%,204,58%,41%,8%,48%,3%,59%,3,11,11,100%,17.2,16.3,17.3,18.9,1,PULASKI,6040704,6040700,2023
255,Scranton High School,7-12,Scranton School District,21%,38%,33%,33%,17%,207,47%,91%,2%,0%,7%,9%,1,27,24,89%,18,18.1,19.9,19.9,0,LOGAN,4204019,4204000,2023
256,Searcy High School,9-12,Searcy School District,32%,67%,45%,38%,21%,1208,43%,67%,12%,11%,10%,33%,2,311,262,84%,19.5,21,20.7,20.5,0,WHITE,7311052,7311000,2023
257,Sheridan High School,9-12,Sheridan School District,14%,37%,29%,16%,8%,1265,35%,86%,7%,2%,4%,14%,3,329,295,90%,17.3,16.1,18.4,18.4,0,GRANT,2705021,2705000,2023
258,Shirley High School,7-12,Shirley School District,RV,25%,8%,RV,RV,134,81%,94%,1%,4%,1%,6%,1,16,12,75%,14.9,13.6,14,12.8,0,VAN BUREN,7104015,7104000,2023
259,Siloam Springs High School Conversion Charter,9-12,Siloam Springs School District,22%,42%,33%,25%,15%,1449,49%,49%,36%,1%,13%,51%,1,373,301,81%,18.1,17.3,18.6,19.2,0,BENTON,406703,406000,2023
260,Sloan-Hendrix High School,7-12,Sloan-Hendrix School District,15%,54%,33%,26%,5%,353,67%,96%,2%,1%,2%,4%,2,54,39,72%,17.7,18.5,20.5,20.1,0,LAWRENCE,3806019,3806000,2023
261,Smackover High School,9-12,Smackover-Norphlet School District,1%,33%,12%,4%,RV,314,36%,75%,5%,19%,1%,25%,4,85,83,98%,14.9,14.9,16.4,16.3,0,UNION,7008045,7008000,2023
