RCDTS,Type,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - IEP,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Total Per-Pupil Expenditures - Subtotal,$ Site-level Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
080431200220002,School,Galena High School,Galena USD 120,Galena,Jo Daviess,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",236.0,80.5,0.8,15.7,3.0,0.0,0.1,0.1,14.4,5.1,13.6,29.2,0.5,173.0,94.4,0.4,3.2,17.5,92.7,14.0,3.0,33.5,66.5,65.6,61232.0,101613.0,80.0,0.9,16.4,2.7,15111.67,11205.21,516.1,502.8,31.7,33.3,30.0,5.0,2019
080432050260001,School,Warren Jr/Sr High School,Warren CUSD 205,Warren,Jo Daviess,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",189.0,97.9,0.0,0.3,0.0,0.0,0.0,2.1,16.9,0.0,14.3,27.5,0.0,172.0,93.4,5.2,8.9,9.6,90.0,22.0,5.0,68.2,31.8,88.6,45880.0,95803.0,96.9,0.0,3.1,0.0,13771.8008,7611.7413,501.7,508.9,33.3,27.8,22.2,16.7,2019
080432060260003,School,Stockton Sr High School,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",176.0,97.2,0.2,1.7,0.0,0.0,0.0,1.1,14.2,0.0,14.2,36.9,0.0,171.0,94.1,3.4,1.6,16.8,90.0,16.9,4.2,46.6,53.4,84.1,58777.0,89876.0,92.1,0.0,1.1,0.0,13847.0,9338.0,505.6,496.9,33.3,33.3,30.8,2.6,2019
080432100260002,School,River Ridge High School,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",147.0,85.0,2.7,4.8,0.7,0.0,0.7,6.1,17.7,0.4,16.3,39.5,0.0,175.0,93.7,4.8,1.3,11.7,100.0,21.4,5.0,28.9,71.1,82.3,72706.0,123900.0,78.4,4.5,11.4,0.0,22360.53,11392.32,500.6,545.3,14.7,35.3,35.3,14.7,2019
080432110260002,School,Scales Mound High School,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",69.0,92.8,0.0,0.4,1.4,0.0,0.0,5.8,14.5,0.4,8.7,30.4,1.4,171.0,95.4,0.0,1.4,9.6,91.7,11.5,5.0,52.0,48.0,28.1,63800.0,114222.0,93.3,0.0,0.0,0.0,19830.028985505,13525.681159419,488.0,494.0,33.3,33.3,26.7,6.7,2019
080891450220001,School,Freeport High School,Freeport SD 145,Freeport,Stephenson,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",1138.0,53.2,23.5,10.5,1.0,0.3,0.2,11.5,14.6,2.4,12.4,60.3,3.6,169.0,90.8,32.4,9.5,18.5,83.8,35.8,5.0,47.9,51.8,82.4,49786.0,89024.0,46.2,30.9,9.4,0.3,13546.8293,9970.1877,462.1,424.0,61.8,27.5,9.5,1.1,2019
080892000260001,School,Pearl City High School,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",132.0,93.9,0.2,3.0,0.8,0.0,0.0,2.3,17.4,0.8,14.4,28.0,0.0,169.0,94.5,3.0,4.1,15.5,100.0,10.6,5.0,54.2,45.8,91.9,47099.0,113138.0,93.7,1.6,3.2,1.6,15488.05,14359.86,496.4,490.7,25.9,37.0,37.0,0.0,2019
080892010260001,School,Dakota Jr Sr High School,Dakota CUSD 201,Dakota,Stephenson,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",378.0,91.5,1.1,4.0,0.8,0.0,0.5,2.1,8.5,0.0,8.5,27.0,0.3,171.0,94.6,2.8,3.6,15.7,87.3,16.2,5.0,38.2,61.8,89.7,55134.0,111438.0,93.7,1.3,1.3,0.0,10391.1,8767.46,516.5,507.5,26.5,41.2,22.1,10.3,2019
080892020260001,School,Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",248.0,94.4,2.8,2.8,0.1,0.4,0.0,0.5,10.9,0.4,10.9,33.9,0.8,173.0,94.1,1.6,2.0,17.1,87.5,16.3,5.0,52.9,45.5,83.7,46631.0,103251.0,87.6,5.2,6.2,1.0,10568.1297,6188.1012,486.3,476.3,34.9,36.5,25.4,3.2,2019
080892030260001,School,Orangeville High School,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",105.0,99.0,0.6,1.0,0.0,0.0,0.0,1.2,13.3,0.0,11.4,15.2,0.0,171.0,94.0,9.0,0.9,13.7,86.7,18.1,5.0,78.9,21.1,85.1,47531.0,101372.0,92.5,1.9,3.8,0.0,13322.35,11182.07,472.2,492.2,26.1,43.5,30.4,0.0,2019
090100010260001,School,Fisher Jr/Sr High School,Fisher CUSD 1,Fisher,Champaign,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",280.0,93.6,1.4,0.4,0.7,0.0,0.0,3.9,12.1,0.3,8.6,36.8,1.1,174.0,95.1,5.1,4.7,15.1,88.1,13.7,4.9,59.7,38.2,73.2,47459.0,92177.0,90.9,3.9,1.3,0.0,11368.66,5899.91,487.9,488.1,25.6,44.2,27.9,2.3,2019
090100030260001,School,Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,937.0,87.2,1.1,4.7,2.2,0.0,0.1,4.7,13.3,0.9,8.3,18.1,0.1,174.0,93.0,4.8,2.8,20.6,92.8,21.5,5.0,46.6,53.4,81.3,54095.0,103351.0,86.1,2.0,5.3,1.0,10814.92,6658.93,548.1,578.5,17.1,18.1,34.8,30.0,2019
090100040260001,School,Centennial High School,Champaign CUSD 4,Champaign,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,1396.0,35.2,37.8,10.2,11.2,0.1,0.3,5.3,17.6,5.9,12.5,55.7,1.9,171.0,90.2,19.4,7.1,21.2,86.1,32.6,5.0,45.2,54.7,100.0,54160.0,98230.0,33.2,45.4,9.8,3.7,13075.350698157,7344.754940502,490.5,492.4,41.6,23.8,20.5,14.2,2019
090100040260002,School,Central High School,Champaign CUSD 4,Champaign,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,1291.0,44.2,26.6,14.8,8.1,0.2,0.5,5.7,18.3,8.8,12.4,47.9,2.6,171.0,90.2,26.3,6.3,23.4,89.1,27.2,5.0,45.2,54.7,100.0,54160.0,98230.0,33.2,45.4,9.8,3.7,13023.003060135,7317.885921599,501.9,498.5,37.0,23.9,25.9,13.1,2019
090100070260007,School,Unity High School,Tolono CUSD 7,Tolono,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",535.0,91.4,0.9,1.1,0.6,0.7,0.1,5.2,10.3,0.4,10.3,24.7,0.0,174.0,93.8,0.9,2.5,21.6,81.8,19.7,4.2,60.7,39.3,59.3,46276.0,101750.0,85.8,4.6,1.4,1.4,8950.0,5376.0,489.7,488.1,32.8,40.3,23.1,3.7,2019
090100080260001,School,Heritage High School,Heritage CUSD 8,Broadlands,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",159.0,94.3,1.9,0.9,0.4,0.0,0.2,3.8,11.3,0.0,11.3,33.3,1.3,176.0,94.0,9.2,7.7,14.0,87.2,19.8,5.0,76.7,23.3,74.7,51208.0,107622.0,92.9,0.0,0.0,0.0,12708.0,6001.0,476.0,447.5,48.7,35.9,15.4,0.0,2019
090101160220001,School,Urbana High School,Urbana SD 116,Urbana,Champaign,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,1210.0,34.5,36.8,14.0,5.1,1.0,1.4,7.1,13.6,10.3,13.6,64.5,1.8,174.0,86.1,40.3,6.3,24.4,84.7,52.6,5.0,48.7,50.3,57.4,53078.0,110953.0,31.4,46.0,11.2,1.3,13755.4216,8921.2602,476.2,457.6,55.0,24.4,12.4,8.2,2019
090101930170001,School,Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,760.0,40.3,27.8,22.8,0.8,0.0,0.1,8.3,19.6,11.6,15.8,71.1,0.1,174.0,87.7,40.7,7.6,19.3,79.6,48.0,4.0,56.2,43.8,77.0,45955.0,85029.0,40.1,38.7,14.6,0.0,13563.6308,13083.1049,438.3,422.6,66.1,21.6,11.1,1.2,2019
090103050160001,School,St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,HIGH SCHOOL, 9 10 11 12,Exemplary,All Students,Targeted Assistance Title I Program,453.0,93.6,0.9,0.9,1.3,0.0,0.2,3.1,12.4,0.0,7.9,4.9,0.4,175.0,95.5,1.1,1.7,20.8,93.1,9.2,5.0,49.1,50.9,93.4,44378.0,101265.0,89.2,2.7,0.0,0.0,9737.11,9210.27,538.5,567.5,9.1,30.9,43.6,16.4,2019
090270050260001,School,GCMS High School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,300.0,91.0,0.2,2.7,1.3,0.0,0.0,5.0,8.0,2.0,8.0,32.3,0.0,175.0,95.5,4.0,4.0,17.8,86.8,10.1,5.0,65.1,33.7,88.0,50655.0,94668.0,91.9,0.0,2.5,0.6,11152.0,5924.0,516.6,522.9,21.1,36.8,35.5,6.6,2019
090270100260001,School,Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",462.0,92.0,1.3,4.5,0.9,0.9,0.0,0.4,14.5,0.4,14.5,38.5,0.2,175.0,92.3,8.7,5.8,19.7,86.1,24.4,5.0,51.5,48.5,80.7,45844.0,102469.0,88.9,3.5,4.9,0.0,11219.77,7821.17,499.4,500.8,28.3,40.7,27.4,3.5,2019
11012002C260001,School,Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",379.0,94.7,0.8,1.8,0.8,0.5,0.3,1.1,22.2,1.1,16.4,29.6,1.1,175.0,93.8,5.6,4.2,18.0,92.6,17.5,5.0,61.8,37.1,71.0,42223.0,75778.0,93.5,0.4,0.4,1.1,9645.9116,5573.6633,506.3,492.6,27.4,42.1,27.4,3.2,2019
11012003C260001,School,Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",165.0,96.4,0.0,2.4,0.6,0.6,0.0,0.7,21.2,0.0,19.4,56.4,3.0,175.0,93.0,13.2,1.9,10.8,82.5,25.1,5.0,79.5,20.5,62.0,40107.0,101550.0,98.7,0.0,1.3,0.0,11139.313793011,7668.110085772,491.0,468.6,33.3,47.6,19.0,0.0,2019
11012004C260001,School,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",394.0,96.2,0.5,1.8,1.0,0.3,0.0,0.3,14.5,0.4,12.4,50.8,5.8,170.0,94.3,7.8,5.1,17.4,80.6,16.6,5.0,67.3,29.2,70.6,45135.0,86543.0,97.1,1.5,0.7,0.7,10610.59,6362.11,478.9,478.4,36.1,34.4,27.9,1.6,2019
110150010260001,School,Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",811.0,87.2,3.9,4.1,1.0,0.0,0.2,3.6,19.2,0.4,15.8,39.7,3.7,176.0,91.3,7.7,6.8,24.9,85.8,33.9,5.0,49.0,51.0,65.0,35834.0,88745.0,82.1,7.8,4.2,1.1,9543.0,5392.0,500.2,488.1,32.1,35.3,28.3,4.3,2019
110150020260001,School,Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",954.0,88.1,3.9,4.1,0.3,0.0,0.1,3.7,13.5,0.5,13.5,47.4,1.7,178.0,96.1,8.5,3.0,19.4,84.8,9.7,5.0,43.9,56.1,79.9,55743.0,94861.0,84.2,6.9,3.5,0.5,11138.0,6953.0,480.8,481.0,35.5,28.6,32.5,3.5,2019
110150050260002,School,Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",73.0,89.0,1.4,4.1,0.0,0.0,0.0,5.5,11.0,0.0,9.6,42.5,1.4,175.0,94.4,4.1,2.6,12.1,84.4,17.8,5.0,58.0,42.0,59.4,47212.0,75418.0,93.5,3.2,0.0,0.0,17109.3481,9127.6267,488.1,443.8,50.0,50.0,0.0,0.0,2019
110180030260001,School,Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,336.0,95.2,1.2,0.9,0.9,0.0,0.3,1.5,17.3,0.2,14.3,4.2,1.8,174.0,92.7,10.4,3.3,20.7,81.7,26.0,4.6,59.0,41.0,71.8,50569.0,89179.0,94.7,0.9,1.8,0.0,9160.7717,6076.0292,521.9,500.2,27.1,39.6,31.3,2.1,2019
110180770260001,School,Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",269.0,98.1,0.2,0.1,0.4,0.0,0.4,1.1,10.4,0.4,9.3,38.7,1.5,174.0,94.3,8.8,1.0,15.0,92.1,16.1,5.0,54.4,44.1,77.2,53885.0,87517.0,97.8,0.0,0.0,0.0,10951.74,9151.72,486.2,474.6,36.2,37.7,21.7,4.3,2019
110213010260001,School,Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",287.0,93.0,1.0,2.8,1.7,0.1,0.0,1.4,8.0,1.4,8.0,33.8,0.3,173.0,95.0,3.7,2.7,15.2,77.2,14.8,5.0,45.8,54.2,92.7,48254.0,98250.0,92.1,0.8,5.6,0.0,10225.06,10003.51,492.6,484.6,29.4,41.2,29.4,0.0,2019
110213020260001,School,Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",193.0,98.4,0.6,0.5,0.5,0.0,0.0,0.5,21.2,1.2,14.5,34.7,0.5,175.0,93.3,2.6,2.8,16.0,78.4,27.6,5.0,67.4,32.6,60.1,41780.0,103425.0,90.6,2.3,4.7,0.0,9837.4259,5003.8331,475.6,453.8,50.9,34.5,10.9,3.6,2019
110213050260001,School,Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,Arthur,Douglas,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,322.0,93.5,1.6,2.5,0.1,0.0,0.2,2.5,14.3,1.6,14.3,39.1,4.3,176.0,92.3,8.9,2.3,16.5,80.6,22.7,5.0,74.9,25.1,52.3,45434.0,84188.0,91.2,1.5,1.0,0.0,10291.540121949,6385.512591463,470.5,468.7,41.0,34.6,17.9,6.4,2019
110213060260001,School,Arcola High School,Arcola CUSD 306,Arcola,Douglas,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",332.0,53.0,0.6,45.2,0.6,0.3,0.0,0.3,8.4,6.9,8.4,47.0,1.2,175.0,94.5,9.9,2.0,16.9,77.5,14.8,5.0,73.9,26.1,78.6,46058.0,111333.0,52.3,1.1,46.6,0.0,12462.98,9135.09,478.2,452.7,45.5,45.5,9.1,0.0,2019
110230010260001,School,Shiloh High School,Shiloh CUSD 1,Hume,Edgar,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,183.0,95.6,0.0,0.3,0.0,0.0,0.0,4.4,18.6,0.0,14.2,47.0,0.5,173.0,93.3,7.6,6.3,11.0,78.3,21.9,3.7,63.8,36.2,47.2,46260.0,137405.0,93.9,0.0,0.0,0.0,11193.0,5076.0,452.9,419.5,57.1,38.1,4.8,0.0,2019
110230030260001,School,Kansas High School,Kansas CUSD 3,Kansas,Edgar,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",102.0,99.0,2.0,1.0,0.5,0.0,0.0,0.0,12.7,0.0,12.7,48.0,0.5,175.0,92.7,9.7,7.6,15.1,62.9,24.2,5.0,68.9,31.1,75.1,47030.0,77185.0,100.0,0.0,0.0,0.0,11568.9649,9457.1757,469.2,438.3,41.7,50.0,8.3,0.0,2019
110230060260001,School,Chrisman High School,Edgar County CUD 6,Chrisman,Edgar,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",100.0,94.0,1.0,2.0,2.0,0.0,0.0,1.0,24.0,0.0,24.0,38.0,5.0,175.0,94.9,11.1,4.7,9.5,82.4,19.1,5.0,89.5,10.5,63.7,39298.0,77071.0,97.8,1.1,0.0,0.0,12061.72,7138.94,448.4,419.6,68.0,24.0,8.0,0.0,2019
110238000800001,School,Paris Cooperative High School,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,,559.0,95.0,0.0,0.9,1.4,0.0,0.4,2.3,12.0,0.0,10.4,43.5,5.2,,93.8,,4.5,16.4,90.4,,,66.9,33.1,66.5,46335.0,90988.0,0.0,0.0,0.0,0.0,,,484.2,472.8,40.7,33.0,21.1,4.9,2019
110703000260004,School,Sullivan High School,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,304.0,94.1,0.7,1.6,0.7,0.0,0.0,3.0,11.2,0.0,9.9,39.1,0.3,172.0,94.3,1.6,2.5,17.6,82.8,13.1,5.0,63.8,35.5,84.2,45886.0,84539.0,92.8,3.3,2.0,0.7,9899.73,8278.67,474.9,450.6,49.9,34.6,13.9,1.4,2019
110703020260001,School,Okaw Valley High School,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",157.0,96.2,0.0,0.0,0.0,0.0,0.6,3.2,5.1,0.0,5.1,43.3,3.2,175.0,93.5,8.0,3.3,12.7,92.3,22.6,3.2,82.5,17.5,72.7,38847.0,83845.0,98.1,0.0,0.0,0.0,11167.917,8365.5218,456.6,436.8,51.3,38.5,10.3,0.0,2019
110870010260002,School,Windsor Jr & Sr High School,Windsor CUSD 1,Windsor,Shelby,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",145.0,97.9,0.3,0.0,0.0,0.3,0.0,2.1,16.6,0.0,9.0,40.0,1.1,176.0,94.3,3.4,5.5,12.7,73.0,18.5,5.0,69.7,30.3,60.0,43002.0,100138.0,91.1,1.8,0.0,0.0,10455.886648862,7932.268064084,451.6,440.5,52.6,42.1,0.0,5.3,2019
11087003A260001,School,Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,HIGH SCHOOL,PK 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,211.0,99.5,0.0,0.5,0.3,0.3,0.0,0.8,12.3,0.3,12.3,64.0,1.9,175.0,94.9,2.9,2.5,11.6,89.4,18.8,4.7,81.4,18.6,69.0,42146.0,75389.0,93.2,0.0,4.5,2.3,10053.030408467,5671.385979808,438.7,448.7,43.5,43.5,13.0,0.0,2019
110870040260001,School,Shelbyville High School,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",312.0,96.2,0.3,1.9,0.3,0.0,0.3,1.0,9.6,0.0,9.6,41.7,0.6,175.0,93.6,11.2,3.2,16.3,86.8,24.9,5.0,62.7,37.3,80.5,51030.0,96172.0,94.0,0.7,2.6,2.0,9178.3901,4744.2794,495.4,497.8,34.8,31.9,29.0,4.3,2019
11087005A260001,School,Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,HIGH SCHOOL, 9 10 11 12,,,Schoolwide Title I Program,110.0,100.0,0.0,0.5,0.0,0.0,0.0,1.1,17.3,0.3,16.4,29.1,1.8,175.0,95.1,6.4,5.2,17.0,92.9,13.7,5.0,58.1,41.9,79.6,44836.0,93441.0,98.3,0.0,0.0,0.0,10563.58,6384.37,503.5,498.8,29.4,35.3,35.3,0.0,2019
110870210260001,School,Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",223.0,93.7,3.6,0.0,0.1,0.0,0.0,2.7,10.3,0.0,10.3,34.5,1.3,174.0,95.0,4.5,2.4,13.9,91.8,16.1,5.0,58.5,41.5,72.7,49921.0,84696.0,94.7,1.5,0.0,0.0,12104.52,10908.7,490.0,462.5,46.4,32.1,21.4,0.0,2019
120130100260002,School,Clay City High School,Clay City CUSD 10,Clay City,Clay,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",51.0,94.1,3.9,2.0,0.0,0.0,0.0,1.0,15.7,0.0,15.7,58.8,13.7,175.0,93.8,13.3,9.4,13.6,83.3,22.2,5.0,77.9,22.1,87.0,41926.0,106372.0,100.0,0.0,0.0,0.0,10819.75,7171.78,459.2,441.7,41.7,41.7,16.7,0.0,2019
120130250260001,School,North Clay Community High School,North Clay CUSD 25,Louisville,Clay,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",191.0,97.4,0.0,0.5,0.2,0.0,0.0,2.1,15.2,0.0,13.6,40.8,3.1,176.0,96.9,7.7,9.3,16.9,91.9,10.8,4.9,76.3,23.7,71.1,41942.0,78123.0,99.1,0.0,0.0,0.0,11743.6675,8112.169,468.7,459.8,34.0,46.8,19.1,0.0,2019
120130350260001,School,Flora High School,Flora CUSD 35,Flora,Clay,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",352.0,93.2,0.1,2.0,2.0,0.3,0.3,2.3,9.7,0.2,8.8,40.1,3.4,175.0,94.7,9.2,6.9,17.6,93.5,18.3,5.0,67.5,32.5,76.7,50889.0,89061.0,94.1,0.4,0.8,0.4,10723.5469,5110.8518,470.7,433.0,51.8,39.3,8.9,0.0,2019
120170010260001,School,Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",108.0,91.7,0.3,1.9,0.0,0.0,0.0,6.5,17.6,0.0,13.9,47.2,9.3,174.0,96.4,3.0,3.6,12.1,69.0,9.0,5.0,67.8,32.2,58.6,36964.0,86007.0,86.2,1.7,3.4,0.0,12703.993,5813.2885,474.6,454.6,51.9,29.6,14.8,3.7,2019
120170020260001,School,Robinson High School,Robinson CUSD 2,Robinson,Crawford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",460.0,90.9,1.1,3.7,0.9,0.4,0.0,3.0,13.9,0.2,13.0,38.3,3.5,174.0,94.9,7.1,2.3,19.8,91.6,15.8,5.0,54.8,43.3,71.6,49318.0,105398.0,90.9,1.5,2.7,0.0,10430.88,8163.59,480.1,456.7,45.7,37.1,11.4,5.7,2019
120170030260001,School,Palestine High School,Palestine CUSD 3,Palestine,Crawford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",85.0,100.0,0.6,0.0,0.0,1.0,0.0,0.0,14.1,0.0,10.6,40.0,9.4,174.0,93.3,7.1,3.3,10.4,95.7,23.6,5.0,62.0,38.0,85.3,42596.0,76844.0,100.0,0.0,0.0,0.0,13303.21,7901.83,501.4,465.2,47.6,19.0,28.6,4.8,2019
120170040260001,School,Oblong High School,Oblong CUSD 4,Oblong,Crawford,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",173.0,95.4,0.6,1.7,1.2,0.0,0.0,1.2,18.5,0.0,16.2,40.5,3.5,174.0,94.0,6.7,5.6,14.3,88.1,19.5,5.0,54.3,45.7,71.7,42211.0,79382.0,95.3,0.9,2.8,0.0,10960.098677517,5592.762654297,476.3,471.7,40.0,35.0,20.0,5.0,2019
120400010260001,School,Newton Comm High School,Jasper County CUD 1,Newton,Jasper,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,453.0,97.6,0.2,1.3,0.7,0.0,0.0,0.4,10.4,0.2,8.4,36.6,3.1,175.0,92.8,3.3,2.7,23.9,88.6,26.1,5.0,49.1,49.5,77.5,52491.0,91072.0,96.2,0.0,2.2,0.5,9687.4654,5730.6946,486.6,474.0,32.5,45.3,17.1,5.1,2019
