School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Houston H S,San Antonio ISD,421.0,416.0,<200,<225,100.0,<25,1.0,<25,5.5,Texas,29.4253751,-98.3992038,4635 East Houston Street,78220,Bexar County,San Antonio,48029,"4635 East Houston Street, San Antonio, Texas, 78220",130900,48029130900,2020.0,130900.0,Bexar County,Texas,468.0,90.0,259.0,119.0,0.0,3056.0,132.0,348.0,1142.0,923.0,187.0,259.0,65.0,19.2,55.3,25.4,0.0,4.3,11.4,37.4,30.2,6.1,8.5,2.1,1576.0,36176.0,47232.0,5437.0,2696.0,49.6,2741.0,50.4,291.0,5.4,2027.0,37.3,0.0,0.0,105.0,1.9,0.0,0.0,16.0,0.3,302.0,5.6
Jefferson H S,San Antonio ISD,433.0,427.0,331,351,100.0,5,1.4,15,4.3,Texas,29.4651291,-98.5386161,723 Donaldson Avenue,78201,Bexar County,San Antonio,48029,"723 Donaldson Avenue, San Antonio, Texas, 78201",180102,48029180102,2020.0,180102.0,Bexar County,Texas,110.0,7.0,50.0,47.0,6.0,1509.0,48.0,34.0,453.0,272.0,75.0,304.0,323.0,6.4,45.5,42.7,5.5,3.2,2.3,30.0,18.0,5.0,20.1,21.4,737.0,87031.0,104174.0,1962.0,1496.0,76.2,466.0,23.8,435.0,22.2,20.0,1.0,0.0,0.0,11.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Lanier H S,San Antonio ISD,422.0,413.0,<350,<350,97.1,<25,1.5,<25,4.9,Texas,29.4221294,-98.51540759999999,1514 West César E Chávez Boulevard,78207,Bexar County,San Antonio,48029,"1514 West CÃ©sar E ChÃ¡vez Boulevard, San Antonio, Texas, 78207",170200,48029170200,2020.0,170200.0,Bexar County,Texas,524.0,79.0,223.0,222.0,0.0,3696.0,1198.0,894.0,871.0,429.0,211.0,80.0,13.0,15.1,42.6,42.4,0.0,32.4,24.2,23.6,11.6,5.7,2.2,0.4,1735.0,22126.0,33279.0,5513.0,5439.0,98.7,74.0,1.3,59.0,1.1,10.0,0.2,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Travis Early College H S,San Antonio ISD,559.0,529.0,<100,<100,100.0,<25,20.7,<50,48.9,Texas,29.4475201,-98.4949556,1915 North Main Avenue,78212,Bexar County,San Antonio,48029,"1915 North Main Avenue, San Antonio, Texas, 78212",190200,48029190200,2020.0,190200.0,Bexar County,Texas,360.0,15.0,190.0,115.0,40.0,3735.0,49.0,97.0,1125.0,715.0,287.0,777.0,685.0,4.2,52.8,31.9,11.1,1.3,2.6,30.1,19.1,7.7,20.8,18.3,2080.0,52375.0,92347.0,4418.0,2594.0,58.7,1824.0,41.3,1365.0,30.9,232.0,5.3,14.0,0.3,0.0,0.0,25.0,0.6,0.0,0.0,188.0,4.3
Young Women's Leadership Academy,San Antonio ISD,607.0,605.0,<50,<75,100.0,<50,57.4,<75,92.6,Texas,29.4588288,-98.5343991,2123 West Huisache Avenue,78201,Bexar County,San Antonio,48029,"2123 West Huisache Avenue, San Antonio, Texas, 78201",180101,48029180101,2020.0,180101.0,Bexar County,Texas,565.0,26.0,113.0,411.0,15.0,3900.0,245.0,240.0,1032.0,1030.0,347.0,544.0,462.0,4.6,20.0,72.7,2.7,6.3,6.2,26.5,26.4,8.9,13.9,11.8,1811.0,53669.0,67599.0,5245.0,3694.0,70.4,1551.0,29.6,1507.0,28.7,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,39.0,0.7
Cooper Academy At Navarro,San Antonio ISD,442.0,437.0,<150,<75,37.2,<25,1.8,<25,7.3,Texas,29.41962909999999,-98.5030487,623 South Pecos La Trinidad,78207,Bexar County,San Antonio,48029,"623 South Pecos La Trinidad, San Antonio, Texas, 78207",110500,48029110500,2020.0,110500.0,Bexar County,Texas,191.0,72.0,66.0,49.0,4.0,1225.0,220.0,352.0,264.0,219.0,50.0,98.0,22.0,37.7,34.6,25.7,2.1,18.0,28.7,21.6,17.9,4.1,8.0,1.8,838.0,10518.0,21277.0,2430.0,2160.0,88.9,270.0,11.1,84.0,3.5,125.0,5.1,0.0,0.0,61.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
St Philip's College Early College,San Antonio ISD,501.0,486.0,<75,<75,100.0,<25,8.5,<25,23.7,Texas,29.4159911,-98.453515,1801 Martin Luther King Drive,78203,Bexar County,San Antonio,48029,"1801 Martin Luther King Drive, San Antonio, Texas, 78203",130500,48029130500,2020.0,130500.0,Bexar County,Texas,349.0,70.0,186.0,78.0,15.0,2638.0,452.0,267.0,1063.0,494.0,108.0,119.0,135.0,20.1,53.3,22.3,4.3,17.1,10.1,40.3,18.7,4.1,4.5,5.1,1570.0,25047.0,35498.0,4384.0,2960.0,67.5,1424.0,32.5,184.0,4.2,1144.0,26.1,17.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.8
Advanced Learning Academy,San Antonio ISD,552.0,493.0,14,15,100.0,6,40.0,9,60.0,Texas,29.4359604,-98.4988891,621 West Euclid Avenue,78212,Bexar County,San Antonio,48029,"621 West Euclid Avenue, San Antonio, Texas, 78212",110700,48029110700,2020.0,110700.0,Bexar County,Texas,79.0,7.0,45.0,27.0,0.0,791.0,181.0,111.0,200.0,125.0,31.0,93.0,50.0,8.9,57.0,34.2,0.0,22.9,14.0,25.3,15.8,3.9,11.8,6.3,534.0,18700.0,27271.0,1079.0,866.0,80.3,213.0,19.7,137.0,12.7,44.0,4.1,28.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4
Texans Can Academy At Highlands H,San Antonio ISD,369.0,364.0,<75,<25,32.7,<25,,<25,,Texas,29.3775559,-98.53748809999999,1807 Centennial Boulevard,78211,Bexar County,San Antonio,48029,"1807 Centennial Boulevard, San Antonio, Texas, 78211",160901,48029160901,2020.0,160901.0,Bexar County,Texas,355.0,54.0,111.0,190.0,0.0,2127.0,399.0,295.0,545.0,568.0,114.0,131.0,75.0,15.2,31.3,53.5,0.0,18.8,13.9,25.6,26.7,5.4,6.2,3.5,863.0,35298.0,44241.0,3024.0,3014.0,99.7,10.0,0.3,0.0,0.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brewer Academy,San Antonio ISD,,,<25,<25,50.0,<25,,<25,,Texas,29.4040686,-98.46229869999999,,N/A,Bexar County,San Antonio,48029,,130300,48029130300,2020.0,130300.0,Bexar County,Texas,285.0,64.0,103.0,118.0,0.0,1689.0,509.0,134.0,390.0,296.0,153.0,172.0,35.0,22.5,36.1,41.4,0.0,30.1,7.9,23.1,17.5,9.1,10.2,2.1,894.0,33148.0,42487.0,2860.0,2307.0,80.7,553.0,19.3,74.0,2.6,467.0,16.3,0.0,0.0,8.0,0.3,0.0,0.0,0.0,0.0,4.0,0.1
Healy-Murphy,San Antonio ISD,409.0,383.0,<50,<25,22.5,<25,,<25,,Texas,29.4282002,-98.48038939999999,618 Live Oak Street,78202,Bexar County,San Antonio,48029,"618 Live Oak Street, San Antonio, Texas, 78202",191900,48029191900,2020.0,191900.0,Bexar County,Texas,380.0,79.0,82.0,177.0,42.0,3563.0,307.0,621.0,894.0,490.0,108.0,664.0,479.0,20.8,21.6,46.6,11.1,8.6,17.4,25.1,13.8,3.0,18.6,13.4,1841.0,48972.0,80653.0,4925.0,2888.0,58.6,2037.0,41.4,1280.0,26.0,667.0,13.5,0.0,0.0,41.0,0.8,3.0,0.1,0.0,0.0,46.0,0.9
South San Antonio H S,South San Antonio ISD,457.0,443.0,<550,<450,81.9,<25,1.4,<75,11.5,Texas,29.3631755,-98.56111419999999,,N/A,Bexar County,N/A,48029,,160901,48029160901,2020.0,160901.0,Bexar County,Texas,355.0,54.0,111.0,190.0,0.0,2127.0,399.0,295.0,545.0,568.0,114.0,131.0,75.0,15.2,31.3,53.5,0.0,18.8,13.9,25.6,26.7,5.4,6.2,3.5,863.0,35298.0,44241.0,3024.0,3014.0,99.7,10.0,0.3,0.0,0.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somerset H S,Somerset ISD,452.0,449.0,<250,<225,87.1,<25,4.3,<50,15.8,Texas,29.229135,-98.6508724,7650 South Loop 1604 West,78069,Bexar County,Somerset,48029,"7650 South Loop 1604 West, Somerset, Texas, 78069",162003,48029162003,2020.0,162003.0,Bexar County,Texas,461.0,84.0,233.0,133.0,11.0,3238.0,407.0,494.0,1318.0,528.0,130.0,203.0,158.0,18.2,50.5,28.9,2.4,12.6,15.3,40.7,16.3,4.0,6.3,4.9,1194.0,56900.0,67593.0,4821.0,3763.0,78.1,1058.0,21.9,901.0,18.7,105.0,2.2,27.0,0.6,22.0,0.5,0.0,0.0,0.0,0.0,3.0,0.1
Shirleen Zacharias Early Clge Lead,Somerset ISD,553.0,504.0,<25,<25,100.0,<25,18.2,<25,22.7,Texas,29.2281804,-98.6537776,7791 East 6th Street,78069,Bexar County,Somerset,48029,"7791 East 6th Street, Somerset, Texas, 78069",162003,48029162003,2020.0,162003.0,Bexar County,Texas,461.0,84.0,233.0,133.0,11.0,3238.0,407.0,494.0,1318.0,528.0,130.0,203.0,158.0,18.2,50.5,28.9,2.4,12.6,15.3,40.7,16.3,4.0,6.3,4.9,1194.0,56900.0,67593.0,4821.0,3763.0,78.1,1058.0,21.9,901.0,18.7,105.0,2.2,27.0,0.6,22.0,0.5,0.0,0.0,0.0,0.0,3.0,0.1
Legacy Of Educational Excellence H,North East ISD,526.0,510.0,600,349,58.2,80,22.9,147,42.1,Texas,29.5075199,-98.5159549,1400 Jackson Keller Road,78213,Bexar County,San Antonio,48029,"1400 Jackson Keller Road, San Antonio, Texas, 78213",191003,48029191003,2020.0,191003.0,Bexar County,Texas,1099.0,108.0,359.0,618.0,14.0,5449.0,486.0,562.0,1577.0,1490.0,384.0,681.0,269.0,9.8,32.7,56.2,1.3,8.9,10.3,28.9,27.3,7.0,12.5,4.9,3011.0,37002.0,43525.0,9124.0,7106.0,77.9,2018.0,22.1,1453.0,15.9,404.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.1,149.0,1.6
Macarthur H S,North East ISD,535.0,516.0,<550,<375,65.0,<100,22.9,<150,42.1,Texas,29.5292913,-98.44038309999999,2923 MacArthur View,78217,Bexar County,San Antonio,48029,"2923 MacArthur View, San Antonio, Texas, 78217",161000,48029161000,2020.0,161000.0,Bexar County,Texas,496.0,45.0,144.0,307.0,0.0,2742.0,515.0,505.0,998.0,454.0,161.0,89.0,20.0,9.1,29.0,61.9,0.0,18.8,18.4,36.4,16.6,5.9,3.2,0.7,1057.0,31893.0,42124.0,4353.0,3864.0,88.8,489.0,11.2,476.0,10.9,8.0,0.2,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Churchill H S,North East ISD,555.0,533.0,590,452,76.6,149,33.0,245,54.2,Texas,29.5505813,-98.5132895,12049 Blanco Road,78216,Bexar County,San Antonio,48029,"12049 Blanco Road, San Antonio, Texas, 78216",191408,48029191408,2020.0,191408.0,Bexar County,Texas,274.0,38.0,78.0,106.0,52.0,1852.0,21.0,114.0,496.0,454.0,316.0,345.0,106.0,13.9,28.5,38.7,19.0,1.1,6.2,26.8,24.5,17.1,18.6,5.7,1414.0,43167.0,49092.0,2593.0,1327.0,51.2,1266.0,48.8,721.0,27.8,237.0,9.1,0.0,0.0,199.0,7.7,0.0,0.0,0.0,0.0,109.0,4.2
Roosevelt H S,North East ISD,530.0,512.0,627,370,59.0,91,24.6,142,38.4,Texas,29.508362,-98.3892326,5110 Walzem Road,78218,Bexar County,San Antonio,48029,"5110 Walzem Road, San Antonio, Texas, 78218",121403,48029121403,2020.0,121403.0,Bexar County,Texas,327.0,47.0,192.0,83.0,5.0,3634.0,130.0,210.0,973.0,1126.0,413.0,580.0,202.0,14.4,58.7,25.4,1.5,3.6,5.8,26.8,31.0,11.4,16.0,5.6,1924.0,42526.0,52176.0,5307.0,2262.0,42.6,3045.0,57.4,1020.0,19.2,1593.0,30.0,19.0,0.4,280.0,5.3,0.0,0.0,0.0,0.0,133.0,2.5
Madison H S,North East ISD,519.0,502.0,733,515,70.3,81,15.7,182,35.3,Texas,29.5817677,-98.39135399999999,5005 Stahl Road,78247,Bexar County,San Antonio,48029,"5005 Stahl Road, San Antonio, Texas, 78247",121808,48029121808,2020.0,121808.0,Bexar County,Texas,169.0,42.0,64.0,63.0,0.0,2355.0,104.0,135.0,553.0,508.0,286.0,415.0,354.0,24.9,37.9,37.3,0.0,4.4,5.7,23.5,21.6,12.1,17.6,15.0,1092.0,76336.0,106008.0,3196.0,1159.0,36.3,2037.0,63.7,1730.0,54.1,161.0,5.0,0.0,0.0,28.0,0.9,0.0,0.0,0.0,0.0,118.0,3.7
Reagan H S,North East ISD,594.0,587.0,838,703,83.9,353,50.2,507,72.1,Texas,29.6192837,-98.4881625,19000 Ronald Reagan Drive,78258,Bexar County,San Antonio,48029,"19000 Ronald Reagan Drive, San Antonio, Texas, 78258",191818,48029191818,2020.0,191818.0,Bexar County,Texas,386.0,0.0,77.0,88.0,221.0,3669.0,65.0,41.0,372.0,723.0,409.0,1536.0,523.0,0.0,19.9,22.8,57.3,1.8,1.1,10.1,19.7,11.1,41.9,14.3,2273.0,80024.0,102412.0,4955.0,2104.0,42.5,2851.0,57.5,2225.0,44.9,169.0,3.4,6.0,0.1,352.0,7.1,0.0,0.0,35.0,0.7,64.0,1.3
Academy Of Creative Ed,North East ISD,461.0,439.0,<150,<25,15.6,<25,4.5,<25,13.6,Texas,29.5386133,-98.4198935,3736 Perrin Central Boulevard,78217,Bexar County,San Antonio,48029,"3736 Perrin Central Boulevard, San Antonio, Texas, 78217",121204,48029121204,2020.0,121204.0,Bexar County,Texas,539.0,129.0,211.0,177.0,22.0,5956.0,234.0,348.0,1689.0,1562.0,550.0,932.0,641.0,23.9,39.1,32.8,4.1,3.9,5.8,28.4,26.2,9.2,15.6,10.8,4028.0,38662.0,47434.0,7878.0,2973.0,37.7,4905.0,62.3,2661.0,33.8,1694.0,21.5,0.0,0.0,329.0,4.2,0.0,0.0,11.0,0.1,210.0,2.7
International School Of America,North East ISD,593.0,578.0,<125,<125,98.3,<75,47.9,<100,70.1,Texas,29.5075658,-98.51593009999999,1400 Jackson Keller Road,78213,Bexar County,San Antonio,48029,"1400 Jackson Keller Road, San Antonio, Texas, 78213",191003,48029191003,2020.0,191003.0,Bexar County,Texas,1099.0,108.0,359.0,618.0,14.0,5449.0,486.0,562.0,1577.0,1490.0,384.0,681.0,269.0,9.8,32.7,56.2,1.3,8.9,10.3,28.9,27.3,7.0,12.5,4.9,3011.0,37002.0,43525.0,9124.0,7106.0,77.9,2018.0,22.1,1453.0,15.9,404.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.1,149.0,1.6
Johnson H S,North East ISD,581.0,576.0,726,599,82.5,255,42.6,429,71.6,Texas,29.6576624,-98.4344464,23203 Bulverde Road,78259,Bexar County,San Antonio,48029,"23203 Bulverde Road, San Antonio, Texas, 78259",121905,48029121905,2020.0,121905.0,Bexar County,Texas,344.0,47.0,117.0,129.0,51.0,3835.0,29.0,48.0,586.0,782.0,321.0,1248.0,821.0,13.7,34.0,37.5,14.8,0.8,1.3,15.3,20.4,8.4,32.5,21.4,2167.0,98391.0,124890.0,5354.0,2118.0,39.6,3236.0,60.4,2508.0,46.8,187.0,3.5,0.0,0.0,318.0,5.9,0.0,0.0,54.0,1.0,169.0,3.2
Nimitz Middle,North East ISD,,,<25,<25,,<25,100.0,<25,100.0,Texas,29.5012244,-98.5073078,5426 Blanco Road,78216,Bexar County,San Antonio,48029,"5426 Blanco Road, San Antonio, Texas, 78216",191004,48029191004,2020.0,191004.0,Bexar County,Texas,578.0,144.0,223.0,185.0,26.0,2669.0,353.0,603.0,702.0,498.0,144.0,193.0,176.0,24.9,38.6,32.0,4.5,13.2,22.6,26.3,18.7,5.4,7.2,6.6,1378.0,33148.0,38841.0,4641.0,4016.0,86.5,625.0,13.5,403.0,8.7,152.0,3.3,0.0,0.0,70.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
East Central H S,East Central ISD,496.0,489.0,743,341,45.9,38,11.1,103,30.2,Texas,29.3536687,-98.2961504,7173 Farm to Market Road 1628,78263,Bexar County,San Antonio,48029,"7173 Farm to Market Road 1628, San Antonio, Texas, 78263",141900,48029141900,2020.0,141900.0,Bexar County,Texas,373.0,0.0,91.0,256.0,26.0,2760.0,222.0,248.0,1103.0,526.0,166.0,311.0,184.0,0.0,24.4,68.6,7.0,8.0,9.0,40.0,19.1,6.0,11.3,6.7,1347.0,63051.0,74000.0,4216.0,1943.0,46.1,2273.0,53.9,2124.0,50.4,71.0,1.7,0.0,0.0,0.0,0.0,29.0,0.7,0.0,0.0,49.0,1.2
Southwest H S,Southwest ISD,460.0,444.0,<450,<400,86.6,<25,6.2,<75,13.7,Texas,29.3087035,-98.67316849999999,11914 Dragon Lane,78252,Bexar County,San Antonio,48029,"11914 Dragon Lane, San Antonio, Texas, 78252",161901,48029161901,2020.0,161901.0,Bexar County,Texas,38.0,2.0,25.0,11.0,0.0,669.0,40.0,84.0,331.0,156.0,30.0,18.0,10.0,5.3,65.8,28.9,0.0,6.0,12.6,49.5,23.3,4.5,2.7,1.5,265.0,48417.0,68674.0,1015.0,809.0,79.7,206.0,20.3,204.0,20.1,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwest Legacy H S,Southwest ISD,424.0,411.0,<425,<350,80.8,<25,0.6,<25,6.8,Texas,29.2969406,-98.58791819999999,4495 Verano Parkway,78073,Bexar County,Von Ormy,48029,"4495 Verano Parkway, Von Ormy, Texas, 78073",161200,48029161200,2020.0,161200.0,Bexar County,Texas,403.0,86.0,195.0,91.0,31.0,1796.0,320.0,333.0,582.0,280.0,114.0,112.0,55.0,21.3,48.4,22.6,7.7,17.8,18.5,32.4,15.6,6.3,6.2,3.1,816.0,45417.0,55632.0,3447.0,3097.0,89.8,350.0,10.2,240.0,7.0,82.0,2.4,0.0,0.0,8.0,0.2,0.0,0.0,0.0,0.0,20.0,0.6
Southwest Academy,Southwest ISD,,,<25,<25,,<25,,<25,,Texas,29.3087035,-98.67316849999999,11914 Dragon Lane,78252,Bexar County,San Antonio,48029,"11914 Dragon Lane, San Antonio, Texas, 78252",161901,48029161901,2020.0,161901.0,Bexar County,Texas,38.0,2.0,25.0,11.0,0.0,669.0,40.0,84.0,331.0,156.0,30.0,18.0,10.0,5.3,65.8,28.9,0.0,6.0,12.6,49.5,23.3,4.5,2.7,1.5,265.0,48417.0,68674.0,1015.0,809.0,79.7,206.0,20.3,204.0,20.1,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Allred Stacey Jr/Sr H S,Lackland ISD,519.0,508.0,40,45,100.0,12,26.7,19,42.2,Texas,29.3785467,-98.61389679999999,2460 Kenly Avenue,78236,Bexar County,Lackland Air Force Base,48029,"2460 Kenly Avenue, Lackland Air Force Base, Texas, 78236",161400,48029161400,2020.0,161400.0,Bexar County,Texas,3935.0,52.0,2288.0,1540.0,55.0,1534.0,19.0,41.0,192.0,483.0,341.0,343.0,115.0,1.3,58.1,39.1,1.4,1.2,2.7,12.5,31.5,22.2,22.4,7.5,355.0,79420.0,80836.0,6305.0,1454.0,23.1,4851.0,76.9,2742.0,43.5,1146.0,18.2,5.0,0.1,391.0,6.2,134.0,2.1,0.0,0.0,433.0,6.9
Robert G Cole Middle/High School,Ft Sam Houston ISD,530.0,504.0,92,80,87.0,10,12.5,29,36.3,Texas,29.4796081,-98.4198267,4001 Winans Road,78234,Bexar County,San Antonio,48029,"4001 Winans Road, San Antonio, Texas, 78234",120100,48029120100,2020.0,120100.0,Bexar County,Texas,999.0,3.0,497.0,444.0,55.0,2065.0,7.0,5.0,193.0,667.0,253.0,592.0,348.0,0.3,49.7,44.4,5.5,0.3,0.2,9.3,32.3,12.3,28.7,16.9,954.0,80781.0,94693.0,4946.0,1219.0,24.6,3727.0,75.4,2729.0,55.2,554.0,11.2,23.0,0.5,173.0,3.5,0.0,0.0,0.0,0.0,248.0,5.0
Holmes H S,Northside ISD,464.0,458.0,<650,<600,94.8,<50,6.2,<100,15.4,Texas,29.4651584,-98.6161674,6500 Ingram Road,78238,Bexar County,San Antonio,48029,"6500 Ingram Road, San Antonio, Texas, 78238",181602,48029181602,2020.0,181602.0,Bexar County,Texas,539.0,112.0,282.0,140.0,5.0,4033.0,371.0,383.0,1489.0,986.0,292.0,392.0,120.0,20.8,52.3,26.0,0.9,9.2,9.5,36.9,24.4,7.2,9.7,3.0,2159.0,47083.0,52493.0,6747.0,5827.0,86.4,920.0,13.6,315.0,4.7,312.0,4.6,0.0,0.0,147.0,2.2,53.0,0.8,8.0,0.1,85.0,1.3
Jay H S,Northside ISD,469.0,467.0,627,585,93.3,63,10.8,139,23.8,Texas,29.4184088,-98.6407119,7611 Marbach Road,78227,Bexar County,San Antonio,48029,"7611 Marbach Road, San Antonio, Texas, 78227",171700,48029171700,2020.0,171700.0,Bexar County,Texas,961.0,212.0,393.0,356.0,0.0,5692.0,304.0,460.0,1612.0,1751.0,923.0,428.0,214.0,22.1,40.9,37.0,0.0,5.3,8.1,28.3,30.8,16.2,7.5,3.8,2693.0,41004.0,50138.0,9391.0,7591.0,80.8,1800.0,19.2,607.0,6.5,654.0,7.0,0.0,0.0,81.0,0.9,0.0,0.0,24.0,0.3,434.0,4.6
Marshall H S,Northside ISD,496.0,489.0,527,500,94.9,71,14.2,146,29.2,Texas,29.513627,-98.61986900000001,8000 Lobo Lane,78240,Bexar County,San Antonio,48029,"8000 Lobo Lane, San Antonio, Texas, 78240",181817,48029181817,2020.0,181817.0,Bexar County,Texas,168.0,42.0,44.0,73.0,9.0,2887.0,196.0,306.0,831.0,490.0,309.0,507.0,248.0,25.0,26.2,43.5,5.4,6.8,10.6,28.8,17.0,10.7,17.6,8.6,1338.0,62727.0,78690.0,3649.0,2164.0,59.3,1485.0,40.7,808.0,22.1,279.0,7.6,6.0,0.2,293.0,8.0,0.0,0.0,0.0,0.0,99.0,2.7
Holmgreen Center,Northside ISD,560.0,567.0,<25,<25,,<25,,<25,100.0,Texas,29.5191083,-98.5785557,8580 Ewing Halsell Drive,78229,Bexar County,San Antonio,48029,"8580 Ewing Halsell Drive, San Antonio, Texas, 78229",181402,48029181402,2020.0,181402.0,Bexar County,Texas,349.0,0.0,100.0,86.0,163.0,2217.0,73.0,150.0,383.0,340.0,281.0,508.0,482.0,0.0,28.7,24.6,46.7,3.3,6.8,17.3,15.3,12.7,22.9,21.7,1408.0,44789.0,53102.0,2914.0,1373.0,47.1,1541.0,52.9,821.0,28.2,211.0,7.2,0.0,0.0,443.0,15.2,0.0,0.0,0.0,0.0,66.0,2.3
Clark H S,Northside ISD,530.0,522.0,644,648,100.0,161,24.8,300,46.3,Texas,29.5654954,-98.5809493,5150 De Zavala Road,78249,Bexar County,San Antonio,48029,"5150 De Zavala Road, San Antonio, Texas, 78249",181813,48029181813,2020.0,181813.0,Bexar County,Texas,1278.0,185.0,258.0,517.0,318.0,5317.0,144.0,142.0,1152.0,1422.0,525.0,1410.0,522.0,14.5,20.2,40.5,24.9,2.7,2.7,21.7,26.7,9.9,26.5,9.8,3430.0,46295.0,59266.0,8770.0,4418.0,50.4,4352.0,49.6,2259.0,25.8,1217.0,13.9,0.0,0.0,437.0,5.0,0.0,0.0,0.0,0.0,439.0,5.0
Health Careers H S,Northside ISD,642.0,626.0,<200,<200,100.0,<150,71.3,<175,86.2,Texas,29.5206111,-98.578575,4646 Hamilton Wolfe,78229,Bexar County,San Antonio,48029,"4646 Hamilton Wolfe, San Antonio, Texas, 78229",181402,48029181402,2020.0,181402.0,Bexar County,Texas,349.0,0.0,100.0,86.0,163.0,2217.0,73.0,150.0,383.0,340.0,281.0,508.0,482.0,0.0,28.7,24.6,46.7,3.3,6.8,17.3,15.3,12.7,22.9,21.7,1408.0,44789.0,53102.0,2914.0,1373.0,47.1,1541.0,52.9,821.0,28.2,211.0,7.2,0.0,0.0,443.0,15.2,0.0,0.0,0.0,0.0,66.0,2.3
Taft H S,Northside ISD,515.0,493.0,515,507,98.4,82,16.2,164,32.3,Texas,29.4979709,-98.72144779999999,11600 Farm to Market Road 471,78253,Bexar County,San Antonio,48029,"11600 Farm to Market Road 471, San Antonio, Texas, 78253",172005,48029172005,2020.0,172005.0,Bexar County,Texas,695.0,27.0,247.0,345.0,76.0,4904.0,114.0,126.0,822.0,1339.0,466.0,1384.0,653.0,3.9,35.5,49.6,10.9,2.3,2.6,16.8,27.3,9.5,28.2,13.3,2600.0,90321.0,107019.0,8176.0,4736.0,57.9,3440.0,42.1,2209.0,27.0,587.0,7.2,0.0,0.0,465.0,5.7,0.0,0.0,0.0,0.0,179.0,2.2
Alternative H S,Northside ISD,410.0,414.0,<25,<25,,<25,,<25,,Texas,29.4378134,-98.6679874,144 Hunt Lane,78245,Bexar County,San Antonio,48029,"144 Hunt Lane, San Antonio, Texas, 78245",171927,48029171927,2020.0,171927.0,Bexar County,Texas,847.0,83.0,265.0,362.0,137.0,6278.0,228.0,417.0,1897.0,1616.0,446.0,1281.0,393.0,9.8,31.3,42.7,16.2,3.6,6.6,30.2,25.7,7.1,20.4,6.3,3697.0,49729.0,56711.0,10191.0,7151.0,70.2,3040.0,29.8,1548.0,15.2,837.0,8.2,0.0,0.0,312.0,3.1,0.0,0.0,235.0,2.3,108.0,1.1
