,,,,,, ACT Scores and College Preparedness 2022-23 ,,,,,,,,,,,,,,,,,,,,
116,Gurdon High School,9-12,Gurdon School District, 17.65 ,34%, 209 ,72%,51%,20%,26%,3%,49%,4,209 ,34%,18.13 ,16.35 ,16.39 ,19.03 ,17.65 , 33 , 34 ,RV,0,1003018,1003000
117,Guy Berry College And Career Academy,6-12,Mountain Home School District, 13.80 ,, 53 ,77%,89%,8%,0%,4%,11%,1,46 ,,11.80 ,13.40 ,15.00 ,14.80 ,13.80 , N/A , N/A ,N/A,0,0303706,0303000
118,Guy-Perkins High School,7-12,Guy-Perkins School District, 16.92 ,40%, 149 ,65%,85%,1%,11%,3%,15%,3,107 ,40%,16.92 ,15.62 ,17.27 ,17.31 ,16.92 , N<10 , 12 ,RV,0,2304022,2304000
119,Haas Hall Academy,7-12,Haas Hall Academy, 28.14 ,61%, 433 ,5%,65%,9%,4%,22%,35%,1,289 ,61%,29.18 ,28.79 ,26.61 ,27.38 ,28.14 , 235 , 609 ,60%,1,7240703,7240700
120,Haas Hall Academy At The Lane,7-12,Haas Hall Academy, 27.49 ,52%, 255 ,15%,64%,17%,2%,17%,36%,1,167 ,52%,29.63 ,28.14 ,25.31 ,26.29 ,27.49 , 121 , 218 ,66%,1,7240709,7240700
121,Haas Hall Academy Jones Center,7-12,Haas Hall Academy, 22.55 ,58%, 155 ,17%,51%,35%,4%,10%,49%,1,118 ,58%,23.24 ,22.39 ,21.27 ,22.45 ,22.55 , 87 , 166 ,59%,1,7240706,7240700
122,Haas Hall Bentonville,7-12,Haas Hall Academy, 27.47 ,58%, 405 ,4%,51%,9%,4%,36%,49%,1,248 ,58%,28.38 ,28.30 ,26.72 ,26.13 ,27.47 , 215 , 466 ,71%,1,7240712,7240700
123,Hackett High School,7-12,Hackett School District, 18.03 ,34%, 327 ,64%,87%,3%,1%,9%,13%,1,231 ,34%,19.19 ,17.35 ,16.70 ,18.41 ,18.03 , 27 , 35 ,RV,0,6603048,6603000
124,Hamburg High School,9-12,Hamburg School District, 17.75 ,50%, 498 ,56%,58%,20%,21%,2%,42%,5,498 ,50%,17.92 ,16.87 ,17.38 ,18.02 ,17.75 , 74 , 102 ,21%,0,0203018,0203000
125,Hampton High School,7-12,Hampton School District, 17.03 ,39%, 258 ,72%,69%,5%,25%,1%,31%,4,168 ,39%,17.65 ,15.84 ,15.61 ,18.19 ,17.03 , 28 , 28 ,RV,0,0701002,0701000
126,Har-Ber High School,10-12,Springdale School District, 20.49 ,57%," 2,274 ",53%,42%,43%,2%,13%,58%,1,"2,273 ",57%,21.17 ,20.28 ,19.36 ,20.58 ,20.49 , 749 ," 1,204 ",61%,0,7207062,7207000
127,Harmony Grove High School,7-12,Harmony Grove School District (Ouachita), 17.96 ,49%, 423 ,35%,76%,4%,17%,3%,24%,4,284 ,49%,18.26 ,17.28 ,16.81 ,18.60 ,17.96 , 18 , 17 ,71%,0,5205029,5205000
128,Harmony Grove High School,10-12,Harmony Grove School District (Saline), 17.85 ,66%, 299 ,27%,92%,4%,2%,2%,8%,3,299 ,66%,18.10 ,16.84 ,17.58 ,18.27 ,17.85 , 62 , 99 ,RV,0,6304030,6304000
129,Harrisburg High School,7-12,Harrisburg School District, 18.53 ,39%, 480 ,70%,90%,5%,4%,2%,10%,2,300 ,39%,19.32 ,17.00 ,18.19 ,18.91 ,18.53 , 30 , 38 ,32%,0,5602009,5602000
130,Harrison High School,9-12,Harrison School District, 20.49 ,49%, 868 ,42%,91%,5%,1%,4%,9%,1,868 ,49%,21.01 ,20.29 ,19.79 ,20.33 ,20.49 , 82 , 82 ,57%,0,0503019,0503000
131,Hazen High School,7-12,Hazen School District, 17.26 ,57%, 271 ,70%,80%,3%,14%,2%,20%,5,176 ,57%,17.83 ,16.66 ,17.00 ,17.00 ,17.26 , 17 , 22 ,RV,0,5903012,5903000
132,Heber Springs High School,9-12,Heber Springs School District, 21.07 ,39%, 484 ,40%,92%,5%,0%,2%,8%,2,484 ,39%,21.29 ,21.08 ,19.81 ,21.51 ,21.07 , 48 , 46 ,39%,0,1202006,1202000
133,Hector High School,7-12,Hector School District, 19.41 ,33%, 306 ,72%,94%,4%,0%,2%,6%,1,192 ,33%,20.48 ,18.62 ,18.31 ,19.66 ,19.41 , N<10 , 13 ,77%,0,5803010,5803000
134,Hermitage High School,7-12,Hermitage School District, 15.87 ,46%, 211 ,68%,57%,29%,13%,0%,43%,5,142 ,46%,15.52 ,14.19 ,16.16 ,17.03 ,15.87 , 11 , 13 ,RV,0,0601007,0601000
135,Highland High School,9-12,Highland School District, 18.24 ,44%, 526 ,71%,93%,3%,1%,3%,7%,2,525 ,44%,18.79 ,17.35 ,17.83 ,18.56 ,18.24 , 56 , 67 ,54%,0,6804010,6804000
136,Hillcrest High School,7-12,Hillcrest School District, 17.23 ,40%, 181 ,59%,96%,3%,0%,1%,4%,2,122 ,40%,16.86 ,17.64 ,16.59 ,17.23 ,17.23 , N<10 , 11 ,RV,0,3809023,3809000
137,Hope High School,9-12,Hope School District, 16.79 ,41%, 590 ,73%,22%,34%,42%,2%,78%,4,588 ,41%,18.04 ,15.37 ,15.69 ,17.47 ,16.79 , 45 , 53 ,RV,0,2903012,2903000
138,Horatio High School,7-12,Horatio School District, 17.49 ,42%, 321 ,81%,68%,27%,1%,4%,32%,4,221 ,42%,18.03 ,15.60 ,16.80 ,18.69 ,17.49 , 41 , 78 ,RV,0,6703013,6703000
139,Hot Springs World Class High School,10-12,Hot Springs School District, 16.99 ,51%, 739 ,73%,31%,24%,34%,11%,69%,3,734 ,51%,17.82 ,16.20 ,16.04 ,17.49 ,16.99 , 48 , 59 ,51%,0,2603703,2603000
140,Hoxie High School,7-12,Hoxie School District, 17.56 ,54%, 366 ,67%,91%,2%,2%,5%,9%,2,263 ,54%,18.14 ,17.32 ,16.43 ,17.62 ,17.56 , 35 , 53 ,RV,0,3804010,3804000
141,Huntsville High School,9-12,Huntsville School District, 17.37 ,37%, 622 ,62%,78%,11%,1%,9%,22%,1,622 ,37%,17.42 ,16.42 ,16.88 ,18.01 ,17.37 , 66 , 66 ,32%,0,4401003,4401000
142,Izard Co. Cons. High School,9-12,Izard County Consolidated School District, 18.09 ,37%, 193 ,72%,94%,3%,1%,2%,6%,2,193 ,37%,17.88 ,17.15 ,17.94 ,18.64 ,18.09 , 10 , 12 ,RV,0,3306015,3306000
143,Jacksonville High School,9-12,Jacksonville North Pulaski School District, 16.16 ,37%," 1,168 ",57%,29%,8%,58%,4%,71%,3,"1,168 ",37%,16.70 ,14.89 ,15.89 ,16.72 ,16.16 , 162 , 184 ,23%,0,6004009,6004000
144,Jacksonville Lighthouse College Prep Academy High,7-12,Jacksonville Lighthouse Charter, 16.63 ,39%, 179 ,46%,15%,11%,70%,4%,85%,3,116 ,39%,17.54 ,16.17 ,15.33 ,17.17 ,16.63 , 13 , 10 ,RV,1,6050703,6050700
145,Jasper High School,7-12,Jasper School District, 16.38 ,45%, 208 ,61%,99%,0%,1%,0%,1%,1,145 ,45%,17.13 ,15.06 ,16.28 ,16.69 ,16.38 , N/A , N/A ,N/A,0,5102006,5102000
146,Jessieville High School,9-12,Jessieville School District, 19.17 ,40%, 273 ,66%,83%,5%,2%,10%,17%,3,273 ,40%,19.77 ,18.92 ,17.90 ,19.73 ,19.17 , 75 , 118 ,25%,0,2604030,2604000
147,Joe T. Robinson High School,9-12,Pulaski County Special School District, 19.53 ,51%, 783 ,24%,54%,9%,33%,4%,46%,3,782 ,51%,20.59 ,19.27 ,17.74 ,19.97 ,19.53 , 232 , 357 ,31%,0,6003127,6003000
148,Junction City High School,7-12,Junction City School District, 16.25 ,53%, 318 ,68%,54%,3%,42%,1%,46%,4,209 ,53%,16.83 ,15.35 ,15.25 ,16.93 ,16.25 , 25 , 20 ,RV,0,7003028,7003000
149,Kingston High School,7-12,Jasper School District, 15.73 ,43%, 109 ,51%,90%,3%,0%,7%,10%,1,80 ,43%,16.53 ,14.93 ,14.27 ,16.27 ,15.73 , N/A , N/A ,N/A,0,5102008,5102000
150,KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools, 18.00 ,64%, 134 ,86%,11%,7%,76%,6%,89%,5,75 ,64%,17.81 ,17.94 ,17.44 ,18.31 ,18.00 , N/A , N/A ,N/A,1,5440706,5440700
151,KIPP Delta Collegiate High School,9-12,KIPP Delta Public Schools, 16.53 ,57%, 199 ,88%,3%,1%,95%,1%,97%,5,199 ,57%,15.91 ,15.97 ,16.09 ,17.47 ,16.53 , N/A , N/A ,N/A,1,5440703,5440700
152,Kirby High School,7-12,Kirby School District, 17.30 ,41%, 198 ,70%,82%,13%,1%,5%,18%,4,130 ,41%,18.17 ,16.30 ,16.78 ,17.39 ,17.30 , N/A , N/A ,N/A,0,5503011,5503000
153,Lafayette County High School,7-12,Lafayette County School District, 16.04 ,35%, 252 ,82%,36%,6%,54%,4%,64%,4,156 ,35%,16.61 ,13.93 ,15.61 ,17.43 ,16.04 , 15 , 15 ,RV,0,3704013,3704000
154,Lake Hamilton High School,10-12,Lake Hamilton School District, 19.47 ,79%, 936 ,59%,75%,14%,3%,8%,25%,3,936 ,79%,19.91 ,18.91 ,18.71 ,19.86 ,19.47 , 226 , 421 ,29%,0,2605034,2605000
155,Lakeside High School,9-12,Lakeside School District (Chicot), 15.38 ,43%, 267 ,78%,7%,16%,75%,1%,93%,5,267 ,43%,15.56 ,13.82 ,14.93 ,16.57 ,15.38 , 21 , 20 ,RV,0,0903018,0903000
156,Lakeside High School,9-12,Lakeside School District (Garland), 19.93 ,53%," 1,112 ",41%,72%,13%,8%,8%,28%,3,"1,109 ",53%,20.55 ,19.90 ,18.38 ,20.20 ,19.93 , 246 , 503 ,56%,0,2606044,2606000
157,Lamar High School,9-12,Lamar School District, 18.39 ,33%, 358 ,59%,88%,6%,2%,4%,12%,1,358 ,33%,18.49 ,17.28 ,17.46 ,19.79 ,18.39 , 21 , 24 ,RV,0,3604019,3604000
158,Lavaca High School,9-12,Lavaca School District, 19.53 ,50%, 260 ,43%,81%,9%,1%,9%,19%,1,260 ,50%,20.08 ,18.94 ,19.20 ,19.45 ,19.53 , 42 , 49 ,RV,0,6605057,6605000
159,Lead Hill High School,7-12,Lead Hill School District, 21.00 ,24%, 190 ,72%,93%,1%,0%,6%,7%,1,126 ,24%,22.56 ,21.31 ,18.75 ,20.69 ,21.00 , N/A , N/A ,N/A,0,0506032,0506000
160,Lee High School,7-12,Lee County School District, 14.25 ,39%, 255 ,87%,7%,4%,90%,0%,93%,5,171 ,39%,13.45 ,13.75 ,14.15 ,15.20 ,14.25 , N<10 , 12 ,RV,0,3904011,3904000
161,Lincoln High School,9-12,Lincoln School District, 18.68 ,38%, 349 ,65%,77%,11%,1%,11%,23%,1,349 ,38%,19.61 ,17.55 ,16.98 ,19.75 ,18.68 , 14 , 19 ,RV,0,7205706,7205000
162,LISA Academy Arkansas Hybrid School,K-12,LISA Academy, 15.62 ,56%, 222 ,56%,25%,11%,54%,10%,75%,3,77 ,56%,16.23 ,14.54 ,14.69 ,16.62 ,15.62 , N<10 , 4 ,RV,1,6041709,6041700
163,LISA Academy North High School,9-12,LISA Academy, 19.77 ,64%, 299 ,57%,25%,27%,39%,9%,75%,3,299 ,64%,19.77 ,19.23 ,19.43 ,20.30 ,19.77 , 83 , 126 ,51%,1,6041706,6041700
164,LISA Academy West High  School,9-12,LISA Academy, 18.83 ,64%, 412 ,67%,14%,38%,40%,8%,86%,3,412 ,64%,18.90 ,18.30 ,18.67 ,18.79 ,18.83 , 149 , 293 ,30%,1,6041703,6041700
165,Little Rock Hall Steam Magnet High School,9-12,Little Rock School District, 14.98 ,24%, 335 ,76%,9%,13%,77%,1%,91%,3,335 ,24%,15.38 ,13.72 ,14.50 ,15.84 ,14.98 , 33 , 30 ,RV,0,6001083,6001000
166,Little Rock Southwest High School,9-12,Little Rock School District, 14.25 ,31%," 2,014 ",79%,4%,31%,64%,1%,96%,3,"2,013 ",31%,14.13 ,12.66 ,14.65 ,15.06 ,14.25 , 306 , 302 ,8%,0,6001082,6001000
167,Little Rock West High School Of Innovation,9-12,Little Rock School District, 17.20 ,38%, 325 ,62%,30%,8%,56%,6%,70%,3,325 ,38%,17.92 ,16.16 ,16.33 ,17.74 ,17.20 , 76 , 152 ,32%,0,6001081,6001000
168,Lonoke High School,9-12,Lonoke School District, 18.98 ,40%, 487 ,60%,63%,9%,25%,3%,37%,3,487 ,40%,19.96 ,17.91 ,17.91 ,19.44 ,18.98 , 62 , 76 ,18%,0,4301029,4301000
169,Magazine High School,7-12,Magazine School District, 18.93 ,38%, 209 ,71%,91%,2%,1%,5%,9%,1,143 ,38%,19.07 ,18.18 ,17.68 ,19.96 ,18.93 , 11 , 13 ,RV,0,4202008,4202000
170,Magnet Cove High School,7-12,Magnet Cove School District, 18.77 ,49%, 326 ,35%,92%,2%,1%,5%,8%,3,205 ,49%,19.00 ,18.36 ,17.69 ,19.51 ,18.77 , 26 , 25 ,60%,0,3003014,3003000
171,Magnolia High School,9-12,Magnolia School District, 17.37 ,47%, 780 ,58%,36%,6%,54%,4%,64%,4,780 ,47%,17.45 ,16.48 ,16.89 ,17.99 ,17.37 , 112 , 197 ,34%,0,1402009,1402000
172,Malvern High School,9-12,Malvern School District, 17.80 ,35%, 575 ,66%,46%,11%,31%,11%,54%,3,572 ,35%,18.81 ,16.62 ,16.88 ,18.17 ,17.80 , 137 , 174 ,10%,0,3004023,3004000
173,Mammoth Spring High School,7-12,Mammoth Spring School District, 17.44 ,41%, 223 ,72%,96%,2%,0%,2%,4%,2,147 ,41%,18.06 ,16.78 ,17.11 ,17.72 ,17.44 , N<10 , 13 ,RV,0,2501002,2501000
174,Manila High School,7-12,Manila School District, 18.57 ,67%, 466 ,57%,96%,3%,0%,0%,4%,2,315 ,67%,19.03 ,17.60 ,17.68 ,19.57 ,18.57 , 55 , 74 ,14%,0,4712044,4712000
175,Mansfield High School,9-12,Mansfield School District, 19.15 ,41%, 254 ,61%,85%,4%,2%,9%,15%,1,254 ,41%,21.00 ,17.98 ,17.81 ,19.23 ,19.15 , 13 , 24 ,RV,0,6606062,6606000
176,Marion High School,10-12,Marion School District, 17.45 ,65%, 850 ,77%,36%,6%,53%,5%,64%,2,850 ,65%,17.87 ,16.80 ,16.85 ,17.62 ,17.45 , 268 , 381 ,17%,0,1804015,1804000
177,Marked Tree High School,7-12,Marked Tree School District, 15.33 ,68%, 234 ,71%,59%,4%,36%,1%,41%,2,152 ,68%,15.89 ,13.17 ,15.28 ,16.42 ,15.33 , 17 , 42 ,RV,0,5604017,5604000
178,Marmaduke High School,7-12,Marmaduke School District, 17.42 ,40%, 299 ,52%,96%,3%,0%,0%,4%,2,207 ,40%,17.77 ,16.21 ,16.42 ,18.74 ,17.42 , N<10 , N/A ,N/A,0,2803017,2803000
179,Marshall High School,7-12,Searcy County School District, 17.83 ,46%, 358 ,70%,90%,5%,0%,5%,10%,1,246 ,46%,18.91 ,17.81 ,16.26 ,17.96 ,17.83 , 21 , 23 ,RV,0,6502006,6502000
180,Marvell-Elaine High School,7-12,Marvell-Elaine School District, 13.65 ,45%, 127 ,97%,6%,4%,89%,1%,94%,5,83 ,45%,13.10 ,12.00 ,13.35 ,15.25 ,13.65 , 12 , 11 ,RV,0,5404032,5404000
181,Maumelle Charter High School,8-12,Academics Plus Public Charter Schools, 21.51 ,60%, 454 ,22%,72%,5%,13%,11%,28%,3,323 ,60%,21.59 ,21.33 ,20.69 ,21.78 ,21.51 , 167 , 235 ,35%,1,6040703,6040700
182,Maumelle High School,9-12,Pulaski County Special School District, 18.18 ,44%, 844 ,40%,38%,7%,48%,6%,62%,3,844 ,44%,18.85 ,17.36 ,17.20 ,18.77 ,18.18 , 163 , 210 ,27%,0,6003151,6003000
183,Mayflower High School,9-12,Mayflower School District, 17.45 ,42%, 357 ,57%,77%,4%,10%,9%,23%,3,357 ,42%,17.77 ,16.71 ,16.84 ,17.80 ,17.45 , 41 , 60 ,30%,0,2305026,2305000
184,Maynard High School,7-12,Maynard School District, 16.79 ,47%, 240 ,70%,96%,3%,0%,1%,4%,2,144 ,47%,16.85 ,15.94 ,15.85 ,18.21 ,16.79 , 30 , 41 ,RV,0,6102006,6102000
185,McCrory High School,7-12,McCrory School District, 19.42 ,44%, 253 ,53%,87%,3%,10%,0%,13%,2,165 ,44%,20.53 ,18.61 ,18.19 ,19.61 ,19.42 , 20 , 33 ,RV,0,7403013,7403000
186,McGehee High School,9-12,McGehee School District, 17.47 ,42%, 320 ,69%,39%,8%,49%,4%,61%,5,320 ,42%,17.94 ,17.10 ,16.45 ,17.82 ,17.47 , 48 , 61 ,RV,0,2105028,2105000
187,Melbourne High School,7-12,Melbourne School District, 21.55 ,45%, 390 ,44%,96%,2%,1%,1%,4%,2,267 ,45%,22.47 ,21.36 ,20.23 ,21.96 ,21.55 , 23 , 35 ,RV,0,3302006,3302000
188,Mena High School,9-12,Mena School District, 19.34 ,44%, 498 ,53%,86%,7%,1%,7%,14%,4,498 ,44%,19.95 ,18.40 ,18.60 ,19.83 ,19.34 , 84 , 116 ,34%,0,5703012,5703000
189,Midland High School,7-12,Midland School District, 16.80 ,47%, 234 ,58%,92%,4%,2%,1%,8%,2,152 ,47%,18.90 ,14.57 ,15.63 ,17.53 ,16.80 , 15 , 17 ,RV,0,3211035,3211000
190,Mills University Studies High School,9-12,Pulaski County Special School District, 15.21 ,36%, 640 ,58%,15%,21%,60%,4%,85%,3,638 ,36%,15.29 ,13.93 ,14.91 ,16.11 ,15.21 , 70 , 80 ,14%,0,6003125,6003000
191,Miner Academy,6-12,Bauxite School District, 17.26 ,91%, 48 ,31%,92%,6%,0%,2%,8%,3,45 ,91%,17.74 ,16.63 ,15.94 ,18.69 ,17.26 , N/A , N/A ,N/A,0,6301703,6301000
192,Mineral Springs High School,7-12,Mineral Springs School District, 14.43 ,38%, 171 ,87%,15%,10%,73%,2%,85%,4,118 ,38%,14.38 ,13.00 ,14.43 ,15.57 ,14.43 , N/A , N/A ,N/A,0,3104006,3104000
193,Monticello High School,9-12,Monticello School District, 19.12 ,47%, 510 ,49%,57%,4%,37%,2%,43%,5,510 ,47%,20.42 ,18.34 ,17.39 ,19.62 ,19.12 , 73 , 125 ,22%,0,2203012,2203000
194,Morrilton Sr. High School,9-12,South Conway County School District, 17.98 ,39%, 751 ,68%,70%,9%,16%,5%,30%,1,751 ,39%,18.34 ,17.30 ,16.98 ,18.80 ,17.98 , 118 , 166 ,38%,0,1507036,1507000
195,Mount Ida High School,7-12,Mount Ida School District, 18.50 ,39%, 212 ,54%,90%,4%,0%,7%,10%,4,136 ,39%,18.65 ,17.50 ,18.27 ,18.85 ,18.50 , 20 , 20 ,RV,0,4902007,4902000
196,Mountain Home Career Academies,8-12,Mountain Home School District, 19.85 ,43%," 1,518 ",38%,89%,5%,0%,6%,11%,1,"1,226 ",43%,20.47 ,19.26 ,18.64 ,20.41 ,19.85 , 232 , 266 ,26%,0,0303703,0303000
197,Mountain Pine High School,7-12,Mountain Pine School District, 17.79 ,22%, 299 ,80%,79%,5%,8%,8%,21%,3,204 ,22%,17.96 ,16.38 ,16.46 ,19.46 ,17.79 , 13 , 13 ,RV,0,2607047,2607000
198,Mountain View High School,9-12,Mountain View School District, 19.59 ,47%, 319 ,63%,95%,2%,0%,3%,5%,2,319 ,47%,20.58 ,19.09 ,17.69 ,20.20 ,19.59 , 31 , 40 ,30%,0,6901007,6901000
199,Mountainburg High School,9-12,Mountainburg School District, 17.83 ,40%, 206 ,68%,91%,4%,0%,5%,9%,1,206 ,40%,19.37 ,16.51 ,16.37 ,18.63 ,17.83 , 14 , 12 ,RV,0,1703013,1703000
200,Mt. Judea K-12 School,K-12,Deer/Mt. Judea School District, 16.58 ,30%, 166 ,79%,93%,6%,0%,1%,7%,1,71 ,30%,17.17 ,15.67 ,16.00 ,17.17 ,16.58 , N/A , N/A ,N/A,0,5106004,5106000
201,Mt. Vernon/Enola High School,7-12,Mt. Vernon/Enola School District, 19.07 ,50%, 251 ,55%,96%,1%,2%,1%,4%,3,175 ,50%,19.85 ,18.15 ,18.11 ,19.33 ,19.07 , 31 , 43 ,RV,0,2306030,2306000
202,Mulberry High School,9-12,Mulberry/Pleasant View Bi-County Schools, 17.56 ,52%, 124 ,56%,94%,2%,1%,3%,6%,1,124 ,52%,18.28 ,16.88 ,15.84 ,18.34 ,17.56 , 34 , 42 ,RV,0,1704017,1704000
203,Murfreesboro High School,7-12,South Pike County School District, 18.57 ,42%, 297 ,71%,82%,7%,5%,5%,18%,4,181 ,42%,19.74 ,18.17 ,16.91 ,18.87 ,18.57 , N/A , N/A ,N/A,0,5504015,5504000
204,Nashville High School,10-12,Nashville School District, 18.05 ,71%, 465 ,71%,49%,29%,20%,2%,51%,4,465 ,71%,18.27 ,17.40 ,17.23 ,18.63 ,18.05 , 100 , 116 ,RV,0,3105011,3105000
205,Nemo Vista High School,9-12,Nemo Vista School District, 19.77 ,44%, 136 ,52%,92%,1%,0%,7%,8%,1,136 ,44%,20.62 ,19.19 ,19.58 ,19.77 ,19.77 , N<10 , N/A ,N/A,0,1503017,1503000
206,Nettleton High School,9-12,Nettleton School District, 18.04 ,44%, 981 ,68%,31%,12%,50%,7%,69%,2,980 ,44%,18.79 ,17.62 ,16.80 ,18.38 ,18.04 , 121 , 169 ,34%,0,1611042,1611000
207,Nevada High  School,7-12,Nevada School District, 16.59 ,48%, 184 ,74%,61%,2%,31%,6%,39%,4,110 ,48%,16.77 ,15.91 ,15.64 ,17.18 ,16.59 , 21 , 23 ,RV,0,5008014,5008000
208,Newport High School,6-12,Newport School District, 16.28 ,45%, 612 ,76%,48%,8%,36%,7%,52%,2,346 ,45%,17.00 ,14.74 ,15.72 ,17.16 ,16.28 , 103 , 137 ,7%,0,3403013,3403000
209,Norfork High School,7-12,Norfork School District, 18.50 ,44%, 217 ,56%,98%,1%,0%,0%,2%,1,147 ,44%,19.09 ,17.81 ,17.50 ,19.47 ,18.50 , N<10 , 12 ,92%,0,0304022,0304000
210,North Little Rock Center Of Excellence,9-12,North Little Rock School District, 16.74 ,37%, 372 ,74%,21%,14%,59%,6%,79%,3,372 ,37%,17.26 ,15.56 ,16.21 ,17.34 ,16.74 , 120 , 111 ,23%,0,6002703,6002000
211,North Little Rock High School,9-12,North Little Rock School District, 17.72 ,37%," 1,949 ",70%,27%,12%,56%,5%,73%,3,"1,948 ",37%,18.32 ,16.89 ,17.00 ,18.13 ,17.72 , 308 , 468 ,43%,0,6002082,6002000
212,Northside High School,9-12,Fort Smith School District, 18.08 ,37%," 2,433 ",74%,22%,52%,15%,12%,78%,1,"2,432 ",37%,18.78 ,17.18 ,17.09 ,18.59 ,18.08 , 478 , 742 ,43%,0,6601024,6601000
213,Northwest Arkansas Classical Academy High,7-12,Responsive Ed Solutions Northwest Ark Classical Academy, 23.25 ,31%, 250 ,9%,74%,12%,3%,11%,26%,1,123 ,31%,23.75 ,23.56 ,21.94 ,23.06 ,23.25 , 45 , 72 ,33%,1,0442703,0442700
214,Oark High School,7-12,Jasper School District, 16.90 ,38%, 68 ,85%,96%,3%,1%,0%,4%,1,47 ,38%,18.80 ,14.90 ,15.30 ,18.30 ,16.90 , N/A , N/A ,N/A,0,5102024,5102000
215,Oden Schools,P-12,Ouachita River School District, 22.71 ,32%, 164 ,76%,82%,7%,0%,11%,18%,4,56 ,32%,25.00 ,24.00 ,19.86 ,21.71 ,22.71 , N<10 , 12 ,RV,0,5706009,5706000
216,Omaha High School,7-12,Omaha School District, 22.05 ,46%, 174 ,68%,92%,3%,0%,5%,8%,1,120 ,46%,22.36 ,22.55 ,20.50 ,22.14 ,22.05 , N/A , N/A ,N/A,0,0504023,0504000
217,Osceola High School,9-12,Osceola School District, 14.45 ,42%, 271 ,87%,6%,3%,88%,4%,94%,2,271 ,42%,14.53 ,12.71 ,15.09 ,15.07 ,14.45 , 10 , 13 ,RV,0,4713051,4713000
218,Ouachita High School,7-12,Ouachita School District, 18.38 ,46%, 271 ,47%,94%,2%,0%,4%,6%,3,199 ,46%,19.10 ,17.59 ,17.31 ,18.95 ,18.38 , 30 , 35 ,RV,0,3005030,3005000
219,Ozark Jr/Sr High School,8-12,Ozark School District, 18.74 ,41%, 700 ,46%,90%,4%,0%,6%,10%,1,565 ,41%,19.76 ,17.86 ,17.31 ,19.18 ,18.74 , 36 , 41 ,39%,0,2404017,2404000
220,Palestine-Wheatley Senior High,7-12,Palestine-Wheatley School District, 17.53 ,39%, 349 ,86%,86%,2%,11%,1%,14%,2,223 ,39%,17.79 ,17.65 ,16.44 ,17.56 ,17.53 , N<10 , 12 ,100%,0,6205028,6205000
221,Pangburn High School,7-12,Pangburn School District, 18.53 ,48%, 362 ,54%,95%,3%,0%,2%,5%,2,260 ,48%,19.39 ,17.71 ,17.84 ,18.45 ,18.53 , N<10 , 12 ,83%,0,7309039,7309000
222,Paragould High School,9-12,Paragould School District, 19.07 ,41%, 870 ,59%,77%,9%,7%,6%,23%,2,870 ,41%,19.37 ,18.53 ,18.28 ,19.39 ,19.07 , 171 , 252 ,52%,0,2808043,2808000
223,Paris High School,9-12,Paris School District, 17.97 ,41%, 335 ,70%,86%,5%,2%,7%,14%,1,334 ,41%,17.94 ,17.41 ,17.50 ,18.26 ,17.97 , 31 , 41 ,34%,0,4203012,4203000
224,Parkers Chapel High School,7-12,Parkers Chapel School District, 20.24 ,44%, 359 ,31%,83%,3%,11%,4%,17%,4,238 ,44%,20.93 ,20.43 ,18.71 ,20.02 ,20.24 , 88 , 131 ,24%,0,7007040,7007000
225,Parkview Magnet High School,9-12,Little Rock School District, 18.43 ,48%," 1,081 ",70%,12%,12%,75%,2%,88%,3,"1,081 ",48%,19.36 ,17.56 ,17.26 ,19.04 ,18.43 , 324 , 532 ,40%,0,6001005,6001000
226,Pea Ridge High School,10-12,Pea Ridge School District, 18.50 ,64%, 566 ,24%,88%,7%,1%,4%,12%,1,566 ,64%,19.19 ,17.04 ,17.86 ,19.30 ,18.50 , 187 , 274 ,38%,0,0407027,0407000
227,Perryville High School,7-12,Perryville School District, 17.86 ,47%, 429 ,54%,92%,4%,0%,4%,8%,1,283 ,47%,18.29 ,17.41 ,16.85 ,18.58 ,17.86 , 39 , 38 ,RV,0,5303011,5303000
228,Piggott High School,7-12,Piggott School District, 16.40 ,52%, 361 ,49%,95%,2%,1%,2%,5%,2,228 ,52%,16.65 ,15.75 ,15.73 ,17.10 ,16.40 , N<10 , N/A ,N/A,0,1104018,1104000
229,Pine Bluff High School,10-12,Pine Bluff School District, 15.48 ,47%, 583 ,78%,2%,2%,95%,2%,98%,3,583 ,47%,15.77 ,14.30 ,14.96 ,16.35 ,15.48 , 96 , 158 ,RV,0,3505042,3505000
230,Pocahontas High School,10-12,Pocahontas School District, 18.22 ,66%, 411 ,47%,82%,3%,0%,14%,18%,2,411 ,66%,18.26 ,18.30 ,17.41 ,18.36 ,18.22 , 133 , 188 ,20%,0,6103010,6103000
231,Polk County Virtual Academy,K-12,Mena School District, 15.80 ,, 8 ,38%,88%,13%,0%,0%,13%,4,7 ,,15.60 ,13.20 ,16.40 ,17.40 ,15.80 , N/A , N/A ,N/A,0,5703703,5703000
232,Pottsville High School,10-12,Pottsville School District, 19.13 ,68%, 379 ,28%,88%,8%,3%,2%,12%,1,379 ,68%,19.58 ,18.97 ,18.07 ,19.25 ,19.13 , 93 , 128 ,53%,0,5804014,5804000
233,Poyen High School,7-12,Poyen School District, 17.87 ,55%, 240 ,50%,94%,3%,0%,4%,6%,3,164 ,55%,18.13 ,17.10 ,17.17 ,18.17 ,17.87 , N/A , N/A ,N/A,0,2703010,2703000
