School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Excel Academy Charter (District) - Excel Academy Charter School,4100205,142,465,474,419,22.9,1388,49.4,50.6,11.3,19.2,67.2,4100000,6.1,1.4,77.9,12.7,0.5,0.5,0.9,Excel Academy Charter (District),"          $27,284,356.75",1395.8,"              $19,547.89","          $27,284,356.75",1395.8,"              $19,547.89",2021
Fairhaven - Fairhaven High,940505,53,575,591,354,15.2,631,51.4,48.5,0.2,10.3,33.3,940000,2.1,2.4,5.4,86.9,0.5,0,2.9,Fairhaven,"          $27,815,244.39",1900.8,"              $14,633.44","          $30,134,077.96",1971.2,"              $15,287.17",2021
Fall River - B M C Durfee High,950505,154,518,510,1026,19.9,2519,49.3,50.5,18.8,12.9,77,950000,10.6,4.4,29.3,49,0.1,0,6.6,Fall River,"         $171,466,464.00",10182.6,"              $16,839.16","         $207,446,303.00",12271.3,"              $16,905.00",2021
Falmouth - Falmouth High,960505,110,583,570,680,14.6,816,47.9,51.2,4.2,18.1,36.9,960000,5.8,2.2,7.8,78.9,0.5,0,4.8,Falmouth,"          $68,041,618.24",3004.4,"              $22,647.32","          $73,902,546.24",3231.7,"              $22,868.01",2021
Fitchburg - Fitchburg High,970505,103,519,503,538,18.1,1271,48.1,51.9,10.6,20.1,70.6,970000,8.1,6,55.9,23.1,0,0,6.9,Fitchburg,"          $78,861,999.27",5083.9,"              $15,512.11","          $95,252,901.84",5829.9,"              $16,338.69",2021
Foxborough - Foxborough High,990505,198,554,568,498,14.4,805,47.3,52.4,1.1,16.2,20.9,990000,8.3,3.6,6.5,79,0.6,0,2,Foxborough,"          $47,346,335.29",2462,"              $19,230.84","          $53,939,920.20",2615.8,"              $20,620.81",2021
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,50,560,534,667,20.3,1657,52.4,47.6,6.2,9.5,43.6,4460000,55.8,8.9,6.5,23.2,0.3,0.2,5.1,Foxborough Regional Charter (District),"          $26,045,590.75",1694.8,"              $15,367.85","          $26,045,590.75",1694.8,"              $15,367.85",2021
Framingham - Framingham High School,1000515,197,592,612,1182,16.9,2562,50,49.9,23.4,17.9,51.5,1000000,6.4,4.7,38.7,46,0,0.1,4,Framingham,"         $176,103,873.73",8690.7,"              $20,263.49","         $202,448,898.73",9463,"              $21,393.73",2021
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,64,604,554,237,16.6,379,57.5,42,0,15.3,12.9,4780000,2.1,2.4,4,88.1,0,0,3.4,Francis W. Parker Charter Essential (District),"           $7,669,396.19",394.7,"              $19,432.43","           $7,669,396.19",394.7,"              $19,432.43",2021
Franklin - Franklin High,1010505,531,580,571,953,15.6,1683,49.7,49.7,0.9,10.5,11.4,1010000,1.7,7.7,4.8,83.4,0.1,0.2,2,Franklin,"          $77,060,494.71",4821.8,"              $15,981.69","          $90,620,844.71",5310.9,"              $17,063.18",2021
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,11,503,514,321,13,566,39.6,60.4,0.4,23.7,44.9,8180000,1.2,0,6.9,88.7,0.2,0.5,2.5,Franklin County Regional Vocational Technical,"          $13,666,743.00",540.2,"              $25,299.41","          $13,693,427.00",545.4,"              $25,107.13",2021
Freetown-Lakeville - Apponequet Regional High,6650505,90,575,569,368,14.9,699,52.9,46.6,0.1,15.7,21,6650000,2.9,0.6,3,91.6,0,0.1,1.9,Freetown-Lakeville,"          $40,084,574.00",2705,"              $14,818.70","          $43,386,107.01",2816.9,"              $15,402.08",2021
Frontier - Frontier Regional,6700505,13,616,596,581,11.5,612,48.2,51.8,0.3,18.8,27.9,6700000,1.6,2.5,7.2,84.3,0,0.2,4.3,Frontier,"          $11,790,319.88",647.8,"              $18,200.56","          $13,930,466.22",737.5,"              $18,888.77",2021
Gardner - Gardner High,1030505,61,512,504,351,15.8,707,46,53.8,3.4,18.5,60.8,1030000,4.1,2.1,23.2,62.2,0.1,0,8.2,Gardner,"          $33,261,033.21",2187.8,"              $15,202.96","          $38,050,716.14",2462.1,"              $15,454.58",2021
Gateway - Gateway Regional High,6720505,13,583,559,249,7,179,48,51.4,1.1,25.1,46.4,6720000,1.1,0,5.6,90.5,1.1,0,1.7,Gateway,"          $15,250,531.00",756,"              $20,172.66","          $16,378,583.00",859.2,"              $19,062.60",2021
Georgetown - Georgetown High School,1050505,114,577,569,48,2.8,21,38.1,61.9,23.8,14.3,42.9,1050000,0,4.8,38.1,57.1,0,0,0,Georgetown,"          $20,807,552.29",1222.7,"              $17,017.71","          $22,832,784.57",1279.3,"              $17,847.87",2021
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,13,538,511,321,16.8,510,51,49,9.6,11.8,72,4960000,12.6,1.6,47.8,32.8,0.6,0,4.7,Global Learning Charter Public (District),"           $8,587,367.81",500.4,"              $17,159.64","           $8,587,367.81",500.4,"              $17,159.64",2021
Gloucester - Gloucester High,1070505,95,542,532,436,14.3,844,44.9,54.5,8.8,28.9,46.7,1070000,1.5,1.3,13.3,79.5,0.6,0.5,3.3,Gloucester,"          $55,618,406.76",2768.3,"              $20,091.18","          $62,406,172.45",3100,"              $20,131.02",2021
Grafton - Grafton High School,1100505,163,581,588,406,17.9,903,50.6,49.3,1.9,12.6,18.4,1100000,2.2,10.4,6.6,77.6,0.1,0.1,2.9,Grafton,"          $45,843,209.43",3153.2,"              $14,538.63","          $48,782,787.68",3268.1,"              $14,926.96",2021
Granby - Granby Jr Sr High School,1110505,34,554,558,208,13.4,310,41.3,57.7,1.3,16.1,29.7,1110000,0.3,1.3,8.1,89,0,0,1.3,Granby,"          $11,932,542.00",710.1,"              $16,804.03","          $13,120,991.00",799.9,"              $16,403.29",2021
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,57,525,506,886,15.5,1403,43.5,56.2,1.3,9.3,47.8,8210000,3.2,1.9,14,74.3,0.7,0,5.8,Greater Fall River Regional Vocational Technical,"          $31,044,112.00",1459.7,"              $21,267.46","          $31,119,454.00",1472.4,"              $21,135.19",2021
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,37,504,492,1507,18.4,2275,48.8,50.4,7.5,16.8,56.7,8280000,5.7,17.5,36.6,36.8,0.3,0,3.2,Greater Lowell Regional Vocational Technical,"          $50,500,697.30",2323,"              $21,739.43","          $50,695,821.30",2356.6,"              $21,512.27",2021
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,12,543,533,1987,15.2,2102,47.5,52.5,4.7,10.3,52.2,8250000,8.7,1.2,26.5,57.6,0.2,0.1,5.7,Greater New Bedford Regional Vocational Technical,"          $47,416,664.45",2065.6,"              $22,955.40","          $47,455,164.45",2073.3,"              $22,888.71",2021
Groton-Dunstable - Groton Dunstable Regional,6730505,264,600,621,406,16,711,48.1,51.2,0.6,13.2,10.1,6730000,1,7.3,3.1,85.9,0.1,0.3,2.3,Groton-Dunstable,"          $41,440,573.07",2256.4,"              $18,365.79","          $44,875,682.07",2365.8,"              $18,968.50",2021
Hadley - Hopkins Academy,1170505,14,595,575,145,13.3,230,48.3,50.9,2.6,11.3,23,1170000,3.9,3.9,9.1,76.1,0.4,3.9,2.6,Hadley,"           $8,615,487.95",502.9,"              $17,131.61","          $10,766,908.08",627,"              $17,172.10",2021
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,124,592,587,288,14.2,490,53.5,46.5,0,10,9.6,6750000,0.6,4.5,4.7,88,0,0,2.2,Hamilton-Wenham,"          $31,172,170.57",1666.6,"              $18,704.05","          $35,470,365.58",1726.5,"              $20,544.67",2021
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,4990305,42,538,532,290,17.4,553,48.6,51.2,4.9,13.9,62.9,4990000,29.5,3.1,38.9,24.6,1.3,0,2.7,Hampden Charter School of Science East (District),"           $8,532,333.65",537,"              $15,888.59","           $8,532,333.65",537,"              $15,888.59",2021
Hampden-Wilbraham - Minnechaug Regional High,6800505,290,557,566,514,16.1,1010,51.5,48.5,0.1,12.3,20.9,6800000,3.8,3.2,8.9,80.2,0.5,0,3.5,Hampden-Wilbraham,"          $48,002,473.00",2886,"              $16,632.87","          $50,289,782.00",2963.3,"              $16,970.87",2021
Hampshire - Hampshire Regional High,6830505,53,604,576,601,11.8,689,54.3,45.3,2,21.3,21.5,6830000,0.3,1.2,4.5,90.4,0.3,0,3.3,Hampshire,"          $14,958,995.60",679.2,"              $22,024.43","          $17,059,925.02",782.2,"              $21,810.18",2021
Hanover - Hanover High,1220505,208,561,558,353,15,709,47,53,0.7,17.8,13.1,1220000,1.6,2.8,1.3,93.7,0,0,0.7,Hanover,"          $37,460,810.70",2546,"              $14,713.59","          $40,125,059.80",2627.9,"              $15,268.87",2021
Harvard - Bromfield,1250505,80,632,628,318,15.2,584,52.4,47.4,1.2,8.9,8.2,1250000,2.4,13.2,3.6,77.2,0,0,3.6,Harvard,"          $19,626,385.97",1008.1,"              $19,468.69","          $22,236,955.75",1058.6,"              $21,006.00",2021
Haverhill - Haverhill High,1280505,110,547,545,858,17.2,2020,47.9,51.9,8.1,21.2,53.8,1280000,5.5,1.8,37.4,53.2,0.2,0.3,1.5,Haverhill,"         $125,298,322.30",7773.7,"              $16,118.23","         $141,167,506.03",8450.5,"              $16,705.23",2021
Hingham - Hingham High,1310505,365,619,615,622,14.2,1201,47,52.5,0.1,8.7,8.6,1310000,1.8,3.3,3.8,87.7,0.1,0,3.3,Hingham,"          $63,333,292.00",3877.5,"              $16,333.54","          $68,543,560.00",3957.6,"              $17,319.48",2021
Holliston - Holliston High,1360505,204,601,601,439,16.1,823,49.9,49.2,1.1,14.5,10.7,1360000,0.9,8.8,6.7,80.6,0.5,0,2.7,Holliston,"          $40,459,641.82",2770.6,"              $14,603.21","          $45,478,237.05",2874.3,"              $15,822.37",2021
Holyoke - Holyoke High,1370505,30,542,493,1054,15.2,1434,47.8,51.7,20.4,25.1,81.9,1370000,3.4,0.6,80.1,14.9,0.1,0,1.1,Holyoke,"          $98,333,119.41",5175.7,"              $18,999.00","         $121,009,496.56",6460.1,"              $18,731.83",2021
Hoosac Valley Regional - Hoosac Valley High School,6030505,30,525,531,193,13.9,337,49,50.7,0.6,22.3,54.3,6030000,4.2,0,3,90.2,0.6,0,2.1,Hoosac Valley Regional,"          $18,860,152.94",1013.8,"              $18,603.43","          $20,999,373.28",1228.7,"              $17,090.72",2021
Hopedale - Hopedale Jr Sr High,1380505,81,583,565,324,13.7,470,48.5,51.1,2.3,17.7,23.4,1380000,1.5,2.8,11.1,82.3,0.2,0.4,1.7,Hopedale,"          $17,557,552.30",1095,"              $16,034.29","          $19,113,503.30",1160.4,"              $16,471.48",2021
Hopkinton - Hopkinton High,1390505,344,625,640,1009,18.1,1213,50.2,49.5,0.8,13.4,7.8,1390000,0.9,19.1,4.2,71.9,0.4,0,3.5,Hopkinton,"          $60,732,572.27",3947.8,"              $15,383.90","          $63,611,990.89",4008.3,"              $15,870.07",2021
Hudson - Hudson High,1410505,150,558,538,501,14.3,857,53.3,46.3,10,16,35.6,1410000,2.6,1.5,14.4,78.7,0.1,0,2.8,Hudson,"          $46,806,166.46",2424.4,"              $19,306.29","          $53,220,728.04",2676.7,"              $19,882.96",2021
Hull - Hull High,1420505,47,575,550,235,9.5,248,43.6,55.7,1.6,19.4,35.9,1420000,1.2,1.2,4,92.3,0,0,1.2,Hull,"          $19,982,813.63",801.2,"              $24,941.11","          $22,367,418.63",855.2,"              $26,154.61",2021
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,17,672,702,426,18.4,772,52.5,47.3,2.7,23.2,26.9,4350000,7.8,8.8,11.1,65.8,0.4,0,6.1,Innovation Academy Charter (District),"          $13,287,375.00",785.3,"              $16,920.56","          $13,287,375.00",785.3,"              $16,920.56",2021
Ipswich - Ipswich High,1440505,145,575,572,390,11.7,528,51.9,47.9,1.1,13.3,18.6,1440000,1.5,1.5,6.4,86.4,0.2,0,4,Ipswich,"          $32,139,697.81",1605.7,"              $20,016.00","          $34,454,029.81",1665.5,"              $20,686.90",2021
King Philip - King Philip Regional High,6900505,461,576,556,486,17,1172,49.8,50,0.5,13.7,15.4,6900000,2.7,3.2,4.8,86.5,0.2,0,2.7,King Philip,"          $33,126,216.96",1929.3,"              $17,170.07","          $40,117,360.80",2014.1,"              $19,918.26",2021
Lawrence - Lawrence High School,1490515,13,537,541,1548,17.3,2935,47.6,52.1,38.5,14.6,84.5,1490000,1.6,1.5,93.9,2.6,0,0,0.3,Lawrence,"         $223,780,648.64",13167,"              $16,995.57","         $264,767,479.85",15279.1,"              $17,328.74",2021
Lee - Lee Middle/High School,1500505,63,546,542,241,11,332,47,53,4.5,16.6,47,1500000,0.6,3.9,11.8,80.1,0,0,3.6,Lee,"          $14,354,816.00",671.8,"              $21,367.69","          $15,276,566.00",781.5,"              $19,547.75",2021
Leicester - Leicester High,1510505,48,550,535,216,18.2,433,49.4,50.6,2.5,12.7,27,1510000,5.1,3.7,14.3,74.4,0,0,2.5,Leicester,"          $21,043,583.69",1372.2,"              $15,335.65","          $24,548,706.69",1530.5,"              $16,039.66",2021
Lenox - Lenox Memorial High,1520505,26,600,582,368,11.8,424,50.2,49.8,2.4,8.5,25.2,1520000,0.5,4.5,9,82.3,0,0,3.8,Lenox,"          $16,282,229.54",744.7,"              $21,864.15","          $16,730,753.54",791.5,"              $21,138.03",2021
Leominster - Center For Technical Education Innovation,1530605,18,583,592,150,13.7,748,35.4,64.6,8.7,27.7,56.8,1530000,9,2.8,41.6,43.5,0,0.1,3.1,Leominster,"          $83,427,036.30",5829,"              $14,312.41","          $94,922,537.75",6253.6,"              $15,178.86",2021
Leominster - Leominster High School,1530505,85,541,540,643,19.2,1718,49.4,50.4,9.6,20.4,53,1530000,8.7,4.1,39,44.8,0.1,0.1,3.2,Leominster,"          $83,427,036.30",5829,"              $14,312.41","          $94,922,537.75",6253.6,"              $15,178.86",2021
Lexington - Lexington High,1550505,639,667,689,1141,18.3,2287,51,48.7,2,12.2,7,1550000,4,43.4,4.4,41.7,0,0,6.5,Lexington,"         $137,855,051.85",6884.1,"              $20,025.14","         $150,614,599.59",7001.6,"              $21,511.45",2021
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,449,629,645,1237,18.1,1520,50.3,49.4,0.6,19.6,8.9,6950000,5.7,4.7,5.5,74.7,0.1,0.1,9.1,Lincoln-Sudbury,"          $31,226,602.76",1491.6,"              $20,934.97","          $37,563,584.76",1561.2,"              $24,060.71",2021
Littleton - Littleton High School,1580505,87,615,620,220,14.6,446,49.3,49.8,0.5,12.3,11.4,1580000,1.6,9.9,4.3,80.5,0.2,0,3.6,Littleton,"          $25,432,345.00",1563.5,"              $16,266.29","          $29,731,580.00",1672.4,"              $17,777.79",2021
Longmeadow - Longmeadow High,1590505,138,615,619,401,17.5,900,48.1,51.4,0.2,17.7,12.1,1590000,2.7,10,6.3,77.8,0,0.1,3.1,Longmeadow,"          $43,995,851.95",2753.4,"              $15,978.74","          $46,904,828.15",2807.9,"              $16,704.59",2021
Lowell - Lowell High,1600505,151,523,533,2103,19.6,3180,47.3,52.6,22.8,14.2,70.1,1600000,10.9,29.1,35.6,20.6,0,0,3.8,Lowell,"         $231,735,503.35",13964.8,"              $16,594.26","         $270,614,931.37",16263.5,"              $16,639.40",2021
Ludlow - Ludlow Senior High,1610505,170,551,541,403,14.5,835,49.5,50.3,2.8,16.2,33.4,1610000,1.9,0.5,8.5,85.5,0,0.1,3.5,Ludlow,"          $41,364,522.98",2367.9,"              $17,468.86","          $44,937,642.67",2487,"              $18,069.02",2021
Lunenburg - Lunenburg High,1620505,53,573,581,235,15.3,460,47.4,52.4,1.3,9.8,21.3,1620000,1.3,1.5,11.5,82,0.4,0.9,2.4,Lunenburg,"          $23,949,443.25",1575.5,"              $15,201.17","          $25,836,968.07",1699.7,"              $15,200.90",2021
Lynn - Classical High,1630505,54,538,528,608,19.9,1738,46.4,53.5,29.9,14.2,71.3,1630000,7.5,8.5,65.8,14.9,0.4,0,3,Lynn,"         $248,625,847.52",15549.5,"              $15,989.31","         $290,774,849.52",17774.1,"              $16,359.47",2021
Lynn - Lynn English High,1630510,44,543,528,734,20.3,2078,47.6,52.3,34.2,12,74.3,1630000,8.7,7.7,72.3,8.6,0.3,0,2.5,Lynn,"         $248,625,847.52",15549.5,"              $15,989.31","         $290,774,849.52",17774.1,"              $16,359.47",2021
Lynn - Lynn Vocational Technical Institute,1630605,17,488,480,724,19.6,1517,46.9,52.8,11.8,22,72.3,1630000,6.5,5.1,72.5,12.7,0.4,0,2.9,Lynn,"         $248,625,847.52",15549.5,"              $15,989.31","         $290,774,849.52",17774.1,"              $16,359.47",2021
Lynnfield - Lynnfield High,1640505,168,562,565,262,14.6,568,51.1,48.8,1.6,18.1,10.7,1640000,1.4,6.7,4.8,85.6,0,0,1.6,Lynnfield,"          $36,702,225.69",2172.7,"              $16,892.45","          $38,713,076.69",2204.8,"              $17,558.54",2021
MATCH Charter Public School (District) - MATCH Charter Public School,4690505,72,455,503,340,20.9,1225,51.5,48.5,17.3,21.5,78.1,4690000,48.2,0.7,46.9,1.3,0.2,0.2,2.4,MATCH Charter Public School (District),"          $29,407,847.00",1223.5,"              $24,035.64","          $29,407,847.00",1223.5,"              $24,035.64",2021
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,62,721,770,19,15.8,50,46,54,0,0,2,4680000,0,62,4,34,0,0,0,,,,,,,,2021
Malden - Malden High,1650505,80,554,584,783,22,1844,50.3,49.6,14.6,15.8,65.4,1650000,20.8,22,30,23.9,0.2,0,3,Malden,"          $96,343,422.32",6020.7,"              $16,002.03","         $116,104,612.60",6932.6,"              $16,747.63",2021
Manchester Essex Regional - Manchester Essex Regional High School,6980510,60,617,626,279,11.8,449,47.9,51.5,0,8.2,14.3,6980000,0.2,1.8,0.7,96.2,0,0,1.1,Manchester Essex Regional,"          $26,527,248.79",1265.6,"              $20,960.22","          $28,317,397.15",1300.6,"              $21,772.56",2021
Mansfield - Mansfield High,1670505,280,587,587,679,14.4,1108,48,51.8,0.5,11.8,19.2,1670000,5,6.6,5.7,79.3,0.1,0,3.3,Mansfield,"          $64,522,781.05",3498.3,"              $18,444.04","          $70,712,659.10",3639.1,"              $19,431.36",2021
Marblehead - Marblehead High,1680505,289,608,599,615,14.7,937,48.7,50.7,2.8,13.7,13.7,1680000,3.5,1.2,6.7,86.2,0.1,0.1,2.1,Marblehead,"          $50,920,947.22",2698.5,"              $18,870.09","          $56,047,389.22",2865.7,"              $19,558.01",2021
Marlborough - Marlborough High,1700505,149,526,515,628,13.6,1137,43.3,56.4,28.8,12.9,57.7,1700000,3.7,0.7,62.7,29.8,0,0,3.1,Marlborough,"          $84,803,745.18",4695.1,"              $18,062.18","          $98,149,605.57",5365.8,"              $18,291.70",2021
Marshfield - Marshfield High,1710505,272,574,569,550,17.8,1237,49.4,50.6,0.7,17.5,17.1,1710000,0.7,0.8,3.1,93.3,0.2,0.1,1.9,Marshfield,"          $59,752,257.90",3784.4,"              $15,789.10","          $64,488,978.82",3902.1,"              $16,526.74",2021
Martha's Vineyard - Martha's Vineyard Regional High,7000505,136,572,564,406,13,728,44.8,55.2,14.4,18.4,42.2,7000000,5.2,1.1,24.9,61.7,1.8,0,5.4,Martha's Vineyard,"          $22,174,980.00",676.3,"              $32,788.67","          $25,252,351.00",729.6,"              $34,611.23",2021
Masconomet - Masconomet Regional High School,7050505,282,592,601,612,13.6,1035,52.8,47.2,0.4,15.4,10.7,7050000,0.7,4,4,89.4,0,0.2,1.8,Masconomet,"          $34,259,323.53",1667.7,"              $20,542.86","          $38,399,261.03",1733.5,"              $22,151.29",2021
Mashpee - Mashpee High,1720505,40,575,564,310,11.6,448,47.3,52.5,0.9,15,35.7,1720000,5.4,2.7,3.8,73.2,6.3,0.2,8.5,Mashpee,"          $31,730,745.00",1474.4,"              $21,521.12","          $34,960,857.00",1656.1,"              $21,110.35",2021
Maynard - Maynard High,1740505,31,640,621,212,13.2,327,49.9,48.9,5.8,17.1,23.9,1740000,2.5,2.5,18.7,73.1,0.3,0,3.1,Maynard,"          $23,699,030.18",1173.7,"              $20,191.73","          $28,556,760.87",1344.9,"              $21,233.37",2021
Medfield - Medfield Senior High,1750505,299,588,599,386,16.8,751,50.3,49.7,0.4,10.8,6.8,1750000,0.8,5.3,3.2,86.2,0.3,0,4.3,Medfield,"          $43,950,855.94",2482.9,"              $17,701.42","          $46,270,124.94",2509.9,"              $18,435.05",2021
Medford - Medford High,1760505,179,552,555,688,13,1242,46.2,53.4,11.8,19,44.7,1760000,14.3,9.7,15.4,56.6,0.1,0,4,Medford,"          $80,685,085.65",3943,"              $20,462.87","          $93,080,821.80",4473,"              $20,809.48",2021
Medway - Medway High,1770505,239,580,584,312,15.3,637,50.6,49.1,0.6,12.9,11.9,1770000,1.7,3,5.8,86.5,0.5,0.2,2.4,Medway,"          $35,619,135.33",2073.3,"              $17,179.92","          $39,196,348.88",2180.8,"              $17,973.38",2021
Melrose - Melrose High,1780505,150,597,563,384,16.4,928,50.8,49,1.8,15.4,15.1,1780000,7.5,5.2,5.2,77.1,0,0,5.1,Melrose,"          $52,635,969.48",3693.3,"              $14,251.74","          $60,295,556.12",4015.4,"              $15,016.08",2021
Mendon-Upton - Nipmuc Regional High,7100510,249,573,551,351,14,633,51.2,48.7,1.3,15.6,13.4,7100000,1,2.1,6.2,88.5,0,0,2.4,Mendon-Upton,"          $35,847,842.63",2158.2,"              $16,610.07","          $39,995,081.30",2271.2,"              $17,609.67",2021
Methuen - Methuen High,1810505,144,551,544,1071,17.5,1967,48.5,51.4,10.8,10.2,47.9,1810000,2.9,3.9,46.3,43,0,0,3.9,Methuen,"          $91,104,644.48",6553.3,"              $13,902.10","         $110,356,788.48",6939.4,"              $15,902.93",2021
Middleborough - Middleborough High,1820505,216,545,526,463,15.7,887,49.6,50.2,1.5,14.7,35.7,1820000,3.5,1.4,4.2,85.8,1,0.1,4.1,Middleborough,"          $45,539,031.15",2910.5,"              $15,646.46","          $50,230,401.64",3100.9,"              $16,198.65",2021
Milford - Milford High,1850505,70,581,556,625,17.8,1323,45.4,54.6,19.1,12.9,50.7,1850000,3,1.7,34,56.4,1.7,0,3.2,Milford,"          $67,782,607.41",4204.8,"              $16,120.29","          $76,061,436.41",4610.5,"              $16,497.44",2021
Millbury - Millbury Junior/Senior High,1860505,54,529,517,417,16.4,754,48.9,50.8,3.3,21.5,37.9,1860000,4.5,4.2,11.7,73.9,0,0.1,5.6,Millbury,"          $28,397,296.00",1576.1,"              $18,017.45","          $31,537,333.00",1665.3,"              $18,937.93",2021
Millis - Millis High School,1870505,72,563,573,171,13.1,329,49.5,49.5,0.3,11.3,20.4,1870000,1.8,2.1,10,81.2,0,0,4.9,Millis,"          $20,997,006.00",1161.3,"              $18,080.60","          $22,518,835.81",1221.4,"              $18,436.91",2021
Milton - Milton High,1890505,289,597,594,535,17,1107,49.1,50.6,2.2,19.2,18.8,1890000,16.3,6.5,6.3,67.2,0.2,0.2,3.3,Milton,"          $68,108,300.16",4351.2,"              $15,652.76","          $74,378,521.16",4412.7,"              $16,855.56",2021
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,41,572,541,541,12.6,643,36.2,62.1,0.6,30.2,20.7,8300000,3.9,4.4,9.3,75.9,0.3,0,6.2,Minuteman Regional Vocational Technical,"          $20,991,677.00",645.4,"              $32,525.07","          $21,048,943.00",648.4,"              $32,462.90",2021
Mohawk Trail - Mohawk Trail Regional School,7170505,33,581,557,278,9,276,49.6,49.6,0.7,29,47.8,7170000,0,0.7,6.2,88.4,0,0,4.7,Mohawk Trail,"          $18,211,558.54",729.6,"              $24,961.02","          $21,412,637.54",916,"              $23,376.24",2021
Monomoy Regional School District - Monomoy Regional High School,7120515,77,598,570,438,14.4,683,50.7,48.9,2.2,15.2,35.4,7120000,6.3,1.3,9.2,77.9,0.7,0.3,4.3,Monomoy Regional School District,"          $37,371,207.61",1749.6,"              $21,359.86","          $41,108,941.83",1978.9,"              $20,773.63",2021
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,8320605,57,562,546,632,17.9,1393,49.3,50,0.6,15.7,36,8320000,2,1.4,18.1,73.3,0,0.1,5.1,Montachusett Regional Vocational Technical,"          $30,995,262.31",1398.4,"              $22,164.80","          $31,329,484.31",1447.2,"              $21,648.34",2021
Mount Greylock - Mt Greylock Regional High,7150505,54,618,578,385,13.1,528,53,46,1,15.3,21.6,7150000,3.4,2.3,5.7,85,0,0,3.6,Mount Greylock,"          $22,586,580.07",1074.5,"              $21,020.55","          $23,583,935.61",1132.9,"              $20,817.31",2021
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,107,576,594,781,23.4,1582,51.8,48.2,1.6,10.7,30.8,4700000,18.7,26.6,10.9,38.5,0.3,0.1,4.9,Mystic Valley Regional Charter (District),"          $24,393,134.00",1626.1,"              $15,001.00","          $24,393,134.00",1626.1,"              $15,001.00",2021
Nantucket - Nantucket High,1970505,125,524,507,304,15.4,574,47.2,52.8,12.7,12.5,37.8,1970000,10.1,1.6,36.9,47,0.4,0,4,Nantucket,"          $40,793,215.00",1636.9,"              $24,921.02","          $41,751,570.00",1652.4,"              $25,267.23",2021
Narragansett - Narragansett Regional High,7200505,17,588,606,248,15.2,423,45.6,53.7,0.5,16.8,42.1,7200000,0.7,0.7,9.7,83.7,0.2,0.2,4.7,Narragansett,"          $19,624,506.00",1331,"              $14,744.18","          $22,018,292.00",1468.8,"              $14,990.67",2021
Nashoba - Nashoba Regional,7250505,333,595,593,530,13.4,890,50.5,49.1,1.7,12.6,11.4,7250000,1.6,5.1,6.3,85.2,0,0.2,1.7,Nashoba,"          $58,630,521.56",3080.6,"              $19,032.18","          $62,640,033.95",3212.3,"              $19,500.06",2021
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,15,561,536,411,13.4,707,38.2,60.7,0.4,31.5,30.8,8520000,2.1,1.1,8.2,84.7,0.4,0.1,3.3,Nashoba Valley Regional Vocational Technical,"          $15,019,151.08",721.3,"              $20,822.34","          $15,077,875.08",723.9,"              $20,828.67",2021
Natick - Natick High,1980505,377,607,603,917,16.1,1689,47.5,51.7,2.7,18.6,14.4,1980000,3.6,8.1,6.6,76,0.1,0,5.7,Natick,"          $84,613,578.39",5265,"              $16,070.96","          $93,979,094.66",5402.1,"              $17,396.77",2021
Nauset - Nauset Regional High,6600505,163,564,534,528,12.7,824,54.3,45.2,1.9,14.8,28.5,6600000,5.7,2.2,4.4,85,0.1,0.1,2.6,Nauset,"          $31,794,624.00",1407.4,"              $22,591.04","          $35,952,163.08",1545.7,"              $23,259.47",2021
Needham - Needham High,1990505,356,629,645,728,16.9,1671,50.4,48.8,1.2,17.1,7.6,1990000,1.7,8.6,6.6,77.9,0.1,0.1,5,Needham,"         $111,679,487.23",5531,"              $20,191.55","         $119,127,012.65",5633.4,"              $21,146.56",2021
Neighborhood House Charter (District) - Neighborhood House Charter School,4440205,94,440,448,396,16.6,802,50,50,10.5,24.1,63.6,4440000,53.2,2.1,26.4,11.1,0.8,0,6.4,Neighborhood House Charter (District),"          $17,160,653.00",802.2,"              $21,392.79","          $17,160,653.00",802.2,"              $21,392.79",2021
